"108年各類型電臺目標聽眾-年齡層","","","","","","","","",""
"","","","","","","","","",""
"（無）為非聯播網；（聯）為聯播網。
資料來源：本研究問卷調查整理(N=104)","","","","","","","","",""
"N","R","R","R","R","R","R","R","R","R"
"","%","%","%","%","%","%","%","%","%"
"","0","0","0","0","0","0","0","0","0"
"電臺類型","15歲以下","16~19歲","20~29歲","30~39歲","40~49歲","50~59歲","60~64歲","65歲以上","無設定"
"跨區及大功率","0","0","0","0","100","100","100","0","0"
"小功率(無)","0","0","4.760000000000001","14.29","38.1","71.43","71.43","61.9","14.29"
"小功率(聯)","0","0","13.33","20","36.67","33.33","16.669999999999998","13.33","30"
"中功率(無)","0","0","15.379999999999999","38.46","53.849999999999994","46.150000000000006","23.080000000000002","23.080000000000002","15.379999999999999"
"中功率(聯)","0","4","8","40","48","44","8","4","16"
"公營","0","0","0","40","40","60","20","0","60"
"調幅","0","0","0","0","44.440000000000005","88.89","77.78","55.559999999999995","11.110000000000001"
