"110年各類型電臺目標聽眾-年齡層","","","","","","","","",""
"","","","","","","","","",""
"（無）為非聯播網；（聯）為聯播網。
資料來源：本研究問卷調查整理(N=96)","","","","","","","","",""
"N","R","R","R","R","R","R","R","R","R"
"","%","%","%","%","%","%","%","%","%"
"","0","0","0","0","0","0","0","0","0"
"電臺類型","15歲以下","16~19歲","20~29歲","30~39歲","40~49歲","50~59歲","60~64歲","65歲以上","無設定"
"跨區及大功率","0","0","50","100","100","50","50","50","0"
"小功率(無)","0","0","12","16","48","68","68","72","24"
"小功率(聯)","0","5.88","17.65","41.18","35.29","47.06","35.29","29.41","35.29"
"中功率(無)","0","6.25","0","18.75","50","62.5","56.25","50","37.5"
"中功率(聯)","0","0","23.08","53.85","69.23","46.15","15.38","7.69","23.08"
"公營","0","0","0","0","12.5","25","25","0","62.5"
"調幅","0","0","0","0","27.27","100","90.91","72.73","0"
