"109年廣播電台目標聽眾-工作性質",""
"",""
"資料來源：本研究問卷調查整理(N=96)",""
"N","R"
"","%"
"","0"
"聽眾類型","比重"
"學生","4.17"
"工作男性者(內勤工作者)","26.04"
"工作男性者(開車族)","46.88"
"有工作的女性","29.17"
"家庭主婦","36.46"
"沒有工作/退休","32.29"
"無設定","29.17"
