"110年各類型電臺目標聽眾-族群","","","","","",""
"","","","","","",""
"資料來源：本研究問卷調查整理(N=96)","","","","","",""
"N","R","R","R","R","R","R"
"","%","%","%","%","%","%"
"","0","0","0","0","0","0"
"電臺類型","閩南人","客家人","外省人","原住民","新住民(外配及工作者)","無設定"
"跨區及大功率","100","0","0","0","0","100"
"小功率(無)","66.67","14.29","4.760000000000001","9.520000000000001","4.76","19.05"
"小功率(聯)","36","12","32","20","0","32"
"中功率(無)","33.33","16.67","16.67","8.33","0","66.67"
"中功率(聯)","30","12","25","0","0","45"
"公營","16.67","16.67","16.67","0","0","83.33"
"調幅","100","27.27","54.55","9.09","18.18","9.09"
