序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,來生再見未名的我們,2024/11/08,希望影視行銷股份有限公司,Beijing Monar Films Co.  Ltd.,14,392,-22.22%,"91,990",896,"209,729"
2,日本,黑之牛,2024/11/08,木林電影有限公司,木林電影有限公司##台北市電影委員會##文化內容策進院,19,262,-37.32%,"58,440",680,"152,897"
3,泰國,荊棘天堂,2024/11/08,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 COMPANY LIMITED,30,953,-34.50%,"238,320","2,408","603,600"
4,美國,幕前幕後：范克萊本鋼琴大賽,2024/11/08,造次文化有限公司,cliburn media LLC,11,"1,390",114.84%,"349,002","2,037","503,467"
5,南韓,幸福國度,2024/11/08,采昌國際多媒體股份有限公司,CONTENTS PANDA,46,893,-44.40%,"207,582","2,499","586,324"
6,日本,五等分的新娘*,2024/11/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,46,"2,269",-42.40%,"572,706","6,208","1,582,528"
7,荷蘭,靠近維梅爾,2024/11/08,燕翼企業有限公司,Deckert Distribution GmbH,15,"1,024",26.58%,"224,649","1,833","402,988"
8,美國,霸愛之路,2024/11/08,本萃電影有限公司,Deux Dames Entertainment,17,68,-33.33%,"14,865",170,"38,646"
9,日本,成為星星的少女,2024/11/08,薩摩亞商雄讚股份有限公司台灣分公司,Aniplex,59,"3,022",-27.29%,"792,420","7,178","1,910,981"
10,南韓,在熙的男，朋友,2024/11/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,70,"2,401",-9.57%,"606,489","5,056","1,267,499"
11,香港,焚城,2024/11/08,華映國際文創股份有限公司,上海阿里巴巴影業有限公司##安樂影片有限公司##北京阿里巴巴影業文化有限公司##安樂（北京）電影發行有限公司##中國電影股份有限公司##北京復星影業有限公司,90,"25,693",4.14%,"6,645,610","50,365","12,873,515"
12,美國,紅色一號,2024/11/07,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,98,"50,964",-10.52%,"13,672,824","107,921","29,283,891"
13,中華民國,曦曦,2024/11/07,宇宙子媒體藝術有限公司,宇宙子媒體藝術有限公司,1,10,-78.72%,"2,560",57,"11,490"
14,美國,保羅‧賽門：無眠樂章,2024/11/02,捷傑有限公司,ALTITUDE FILM SALES LIMITED,7,48,0.00%,"11,626",163,"41,526"
15,中華民國,鬼們之蝴蝶大廈,2024/11/01,松露文化創意有限公司,松露文化創意有限公司##東森電視事業股份有限公司##雲諾運動文教股份有限公司##文化內容策進院,86,"8,040",-55.26%,"2,015,205","39,581","9,937,859"
16,英國,布勒合唱團：溫布利球場演唱會,2024/11/01,好威映象有限公司,Altitude Film Sales Limited,7,106,-69.28%,"25,355",891,"250,377"
17,美國,超／人：克里斯多夫李維傳奇故事,2024/11/01,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,17,107,-80.62%,"26,990","1,335","343,097"
18,日本,仇雲殺機,2024/11/01,天馬行空數位有限公司,NIKKATSU CORPORATION,10,68,-85.59%,"14,910","1,342","299,037"
