序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,記憶殺神,2022/04/29,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",76,"5,821",-39.43%,"1,349,777","15,431","3,609,101"
2,中華民國,售命,2022/04/29,老頑童娛樂有限公司,"老頑童娛樂有限公司,太極影音科技股份有限公司,鹿橋文化事業股份有限公司",57,"7,343",-17.00%,"1,252,964","16,520","2,967,565"
3,美國,死間行動,2022/04/29,車庫娛樂股份有限公司,RELAY MOTION KFT.,61,"2,728",-42.93%,"614,214","7,508","1,713,488"
4,日本,燃燒的劍,2022/04/29,采昌國際多媒體股份有限公司,"Toho Co.,Ltd.",32,"1,348",-23.28%,"304,432","3,105","705,649"
5,南韓,超跑斯特拉,2022/04/29,英屬維京群島商高捷全球開發有限公司 台灣分公司,"FINECUT CO.,LTD",51,962,-45.92%,"220,294","2,741","637,826"
6,日本,決戰星期天,2022/04/29,可樂藝術文創股份有限公司,"TBS GLOWDIA,INC.",30,681,-18.54%,"154,971","1,517","343,620"
7,義大利,真愛超能力,2022/04/29,海鵬影業有限公司,True Colours Glorious Films Srl,14,430,27.60%,"90,650",767,"162,429"
8,日本,鳶,2022/04/29,天馬行空數位有限公司,KADOKAWA,17,386,-2.77%,"80,970",783,"169,768"
9,日本,告白,2022/04/29,車庫娛樂股份有限公司,"TOHO CO.,LTD.",14,167,-43.58%,"38,682",463,"103,369"
10,南韓,春川神秘中邪事件,2022/04/29,水元素文化傳媒有限公司,"INOLMEDIA Co.,Ltd",14,146,-44.49%,"35,125",409,"100,188"
11,加拿大,藥命回憶,2022/04/29,車庫娛樂股份有限公司,PROTAGONIST PICTURES LIMITED,22,81,-33.06%,"17,729",202,"46,683"
12,美國,媽的多重宇宙,2022/04/22,薩摩亞商雄讚股份有限公司台灣分公司,A24 INTERNATIONAL LLC,90,"45,933",-49.55%,"11,371,333","186,368","45,919,848"
13,美國,超吉任務,2022/04/22,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,62,"4,132",-70.52%,"901,465","31,636","7,421,047"
14,香港,重慶森林 4K數位修復版,2022/04/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Jet Tone Films Limited,19,"2,103",-47.29%,"503,149","8,716","2,391,463"
15,越南,越驚,2022/04/22,采昌國際多媒體股份有限公司,Atrium Productions Kft.,36,598,-77.36%,"142,743","6,710","1,590,188"
16,日本,急急復雞雞,2022/04/22,華映娛樂股份有限公司,Avex Picture Inc.,34,231,-78.55%,"54,836","4,437","1,019,623"
