序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,法國,無人相信的真相,2023/03/11,佳映娛樂國際股份有限公司,LE PETIT BUREAU S.A.S,13,435,30.63%,"103,140",768,"256,320"
2,美國,屍蹤天使,2023/03/10,車庫娛樂股份有限公司,RELAY MOTION KFT.,44,807,-34.81%,"187,864","2,045","488,745"
3,南韓,8釐米：詛咒影帶,2023/03/10,車庫娛樂股份有限公司,RELAY MOTION KFT.,55,"3,655",-33.83%,"901,344","9,179","2,285,583"
4,德國,蓋世棋蹟,2023/03/10,車庫娛樂股份有限公司,STUDIOCANAL,21,255,-17.74%,"55,051",565,"123,743"
5,法國,尋找第5味,2023/03/10,天馬行空數位有限公司,MPM PREMIUM,11,213,18.33%,"43,310",393,"82,712"
6,南韓,超完美狗保姆,2023/03/10,采昌國際多媒體股份有限公司,Atrium Productions Kft.,34,"1,408",-37.73%,"334,295","3,669","873,357"
7,美國,驚聲尖叫 6,2023/03/10,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,91,"10,124",3.56%,"2,485,229","19,900","4,893,758"
8,日本,怪談比留子,2023/03/10,輝洪開發股份有限公司,NIKKATSU CORPORATION,11,307,-35.64%,"71,841",784,"194,880"
9,泰國,天生一對2 大電影：再續前緣,2023/03/10,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Joint Venture Destiny The Movie,15,807,-3.12%,"203,276","1,640","423,271"
10,中華民國,黑的教育,2023/03/10,禾豐九路娛樂有限公司,禾豐九路娛樂有限公司##麻吉砥加電影有限公司##岸上影像有限公司,87,"11,684",-21.04%,"2,912,269","27,563","6,611,731"
11,香港,斷網,2023/03/08,華映國際文創股份有限公司,"廣東昇格傳媒服份有限公司,寰亞電影發行（北京）有限公司,浙江聯瑞木馬文化傳媒有限公司,銀都機構有限公司,無限動力實業有限公司,浙江橫店影業有限公司,上海影爵文化傳媒有限公司,廣東一晟影業投資有限公司,珠海市橫琴星匯影院經營管理有限公司,深圳市浩志文化傳媒有限公司,深圳廣電影視股份有限公司,深圳市中影南方電影新幹線有限公司,廈門昇格鑫映影視文化傳媒有限公司,北京微夢創科網絡技術有限公司,帆娛文化（上海）有限公司,海南國梵影視文化傳播有限公司,北京人間指南影業有限公司,深圳瀾瓊影視文化傳媒有限公司,北京大美寰宇影業有限公司,北京林夕影業有限公司,北京樂桃傳媒有限公司,銀都機構（廣州）影視文化有限公司",66,"2,933",-28.62%,"681,840","7,042","1,715,576"
12,美國,金牌拳手III,2023/03/03,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,55,"2,448",-70.23%,"621,877","20,271","5,249,853"
