序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,偶慾,2024/04/12,英屬維京群島商映畫聯合有限公司台灣分公司,RELAY MOTION KFT.,3,13,-18.75%,"2,710",29,"5,985"
2,美國,窒命危機,2024/04/12,車庫娛樂股份有限公司,RELAY MOTION KFT.,67,"6,931",-7.27%,"1,647,486","14,405","3,465,603"
3,日本,孤島診療所2022,2024/04/12,車庫娛樂股份有限公司,FUJI CREATIVE CORPORATION,54,"1,005",0.00%,"235,551","1,005","235,551"
4,香港,但願人長久,2024/04/12,香港商甲上娛樂有限公司台灣分公司,GOLDEN SCENE COMPANY LIMITED,60,"6,507",1.72%,"1,597,729","13,223","3,297,669"
5,日本,搬家 4K數位修復版,2024/04/12,中影股份有限公司,MK2 FILMS,17,674,5.97%,"148,627","1,310","287,609"
6,越南,再愛一次,2024/04/12,傳影互動股份有限公司,CJ HK Entertainment Company Ltd,46,"10,448",-10.72%,"2,626,724","22,492","5,680,991"
7,波蘭,禁忌之慾,2024/04/12,天馬行空數位有限公司,MONOLITH FILMS LTD.,12,199,-46.79%,"43,953",573,"126,642"
8,美國,紀伯倫哈利勒：先知,2024/04/12,輝洪開發股份有限公司,CINEMA MANAGEMENT GROUP,10,136,49.45%,"32,510",227,"53,564"
9,義大利,盜墓奇美拉,2024/04/12,海鵬影業有限公司,The Match Factory GmbH,17,712,0.00%,"155,948",712,"155,948"
10,美國,瓊拜雅：三重人格,2024/04/11,造次文化有限公司,Magnolia Pictures LLC,5,235,-60.30%,"53,295","1,077","246,381"
11,南韓,SUGA | Agust D TOUR ‘D-DAY’ THE MOVIE,2024/04/10,美麗華娛樂股份有限公司,Trafalgar Releasing,2,88,-98.62%,"51,750","6,475","3,710,080"
12,中華民國,莎莉,2024/4/3,伯樂影業股份有限公司,伯樂影業股份有限公司##中環國際娛樂事業股份有限公司##文化內容策進院##中華電信股份有限公司##艾慕影藝股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##華映娛樂股份有限公司##十宜影樂有限公司##畢業生有限公司,84,"5,984",-41.16%,"1,495,955","29,820","7,481,132"
13,香港,白晝如焚,2024/04/04,華映國際文創股份有限公司,無限動力實業有限公司,67,845,-56.24%,"197,561","3,281","927,702"
14,美國,功夫熊貓 4,2024/04/04,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,93,"23,897",-25.80%,"6,113,513","151,520","38,527,681"
15,美國,天魔：惡之初,2024/04/03,博偉電影股份有限公司,BUENA VISTA INTERNATIONAL  INC.,83,"1,482",-73.26%,"384,919","19,582","5,028,056"
16,南韓,屍咒,2024/04/03,車庫娛樂股份有限公司,RELAY MOTION KFT.,70,"2,844",-67.71%,"700,736","28,816","7,164,819"
17,澳洲,超危險警探,2024/04/03,車庫娛樂股份有限公司,RELAY MOTION KFT.,62,"2,896",-53.43%,"656,081","21,312","5,040,358"
18,美國,魔鬼剋星：冰天凍地,2024/04/03,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,21,512,-63.27%,"124,631","39,136","9,775,932"
19,日本,劇場版 森林家族 來自芙蕾雅的禮物 中文版,2024/04/03,木棉花國際股份有限公司,KING RECORD CO.  LTD.,8,75,-53.99%,"19,090",859,"219,062"
20,日本,超人力霸王布雷薩 THE MOVIE：大怪獸東京決戰,2024/03/30,野獸國股份有限公司,Tsuburaya Productions Co.  Ltd.,18,748,-50.03%,"199,019","6,398","2,160,592"
21,日本,特別總集篇 名偵探柯南 vs. 怪盜基德,2024/03/29,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,83,"11,702",-21.98%,"2,958,403","97,763","24,700,780"
22,英國,老鬼當家,2024/03/29,可樂藝術文創股份有限公司,Cinema Management Group##UC,2,10,-79.17%,"2,280","1,368","325,502"
23,泰國,鬼面女,2024/03/29,車庫娛樂股份有限公司,RELAY MOTION KFT.,7,206,-74.06%,"52,730","10,409","2,676,427"
24,美國,彼岸的真相,2024/03/29,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Angel Studios Licensing  LLC,3,79,-57.07%,"17,905","1,604","366,695"
25,日本,冰室蓮司：日本統一 台灣篇,2024/03/25,希望影視行銷股份有限公司,RIGHTS CUBE Inc.,6,13,-87.00%,"2,995",984,"221,633"
26,日本,OUT,2024/03/25,原創娛樂股份有限公司,KADOKAWA CORPORATION,23,198,-45.60%,"44,675",562,"126,875"
27,中華民國,看到靈魂的那隻眼 師公,2024/03/22,春暉映像有限公司,壹捌玖伍電影有限公司,5,113,-65.86%,"26,235","10,964","2,500,696"
28,英國,老橡樹酒館,2024/03/22,捷傑有限公司,GOODFELAS,7,127,-48.37%,"28,210","1,760","376,867"
29,香港,詩,2024/03/22,佳映娛樂國際股份有限公司,GOLDEN SCENE COMPANY LIMITED,3,1,-97.14%,230,977,"237,464"
30,美國,鬼聖胎,2024/03/22,車庫娛樂股份有限公司,RELAY MOTION KFT.,5,116,-56.23%,"28,995","20,749","5,109,482"
31,美國,哥吉拉與金剛 : 新帝國,2024/3/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"61,428",-39.66%,"16,526,949","805,510","226,893,014"
32,日本,GIVEN被贈與的未來劇場版：柊mix,2024/03/18,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,24,"5,131",-8.52%,"1,361,269","20,635","5,527,884"
33,日本,坂本龍一：OPUS,2024/03/15,采昌國際多媒體股份有限公司,Film Constellation Ltd.,2,84,-69.12%,"18,480","11,632","3,186,754"
34,日本,劇場版 排球少年!! 垃圾場的決戰,2024/03/15,薩摩亞商羚邦(亞洲)有限公司台灣分公司,Dentsu Tec Inc.,97,"218,803",-8.56%,"64,418,819","476,569","139,793,130"
35,日本,北極百貨的秋乃小姐,2024/03/14,薩摩亞商雄讚股份有限公司台灣分公司,Aniplex  Inc.,3,60,-63.41%,"16,012","4,730","1,186,347"
36,中華民國,青春18×2 通往有你的旅程,2024/03/14,牽猴子股份有限公司,翻滾吧男孩電影有限公司##百聿數碼創意股份有限公司##眾合千澄影視文化傳媒有限公司##有戲娛樂股份有限公司##米神國際股份有限公司##霹靂國際多媒體股份有限公司##CyberAgent  Inc.##Cygames  Inc.##Happinet Phantom Studios Corporation##KDDI CORPORATION##Kansai Television Co. Ltd.##JR East Marketing ## Communications  Inc.,83,"6,807",-46.52%,"1,698,916","281,069","72,218,080"
37,美國,極限長征,2024/03/11,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,12,331,-59.29%,"78,595","29,671","7,129,474"
38,西班牙,兩萬種蜜蜂,2024/03/08,海鵬影業有限公司,LUXBOX,1,69,0.00%,"19,440",851,"185,440"
39,美國,伏慄熊,2024/03/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,10,-47.37%,"2,810","20,705","5,033,886"
40,南韓,破墓,2024/03/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,70,"15,504",-34.90%,"4,055,327","405,745","105,742,831"
41,德國,失控教室,2024/03/01,光年映畫有限公司,BE FOR FILMS,1,1,-75.00%,290,"2,329","530,649"
42,中華民國,尋找湯德章,2024/3/15,希望影視行銷股份有限公司,角子影音製作有限公司,11,"1,509",46.79%,"334,076","11,873","2,648,485"
43,日本,怪物樵夫,2024/02/23,網銀國際影視股份有限公司,Warner Bros. Pictures Japan,45,"1,622",48.67%,"404,726","2,713","705,146"
44,法國,給我個機會,2024/02/23,天馬行空數位有限公司,INDIE SALES COMPANY,1,46,0.00%,"10,120",775,"164,724"
45,日本,「鬼滅之刃」 絆之奇蹟，邁向柱訓練,2024/02/23,木棉花國際股份有限公司,Aniplex Inc.,11,206,-47.58%,"54,727","185,002","48,916,512"
46,法國,墜惡真相,2024/02/23,好威映象有限公司,MK2 Films,2,121,-45.50%,"33,040","22,163","5,781,424"
47,法國,再見機器人,2024/02/23,東昊影業有限公司,elle Driver,17,"1,974",-17.34%,"498,857","42,325","10,729,931"
48,美國,沙丘：第二部,2024/2/28,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,65,"6,680",-48.46%,"2,207,496","711,985","230,912,785"
49,美國,飛鴨向前衝,2024/02/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,116,"5,700.00%","6,380","79,089","19,711,847"
50,美國,可憐的東西,2024/02/08,博偉電影股份有限公司,BUENA VISTA INTERNATIONAL  INC.,11,525,-55.05%,"136,937","197,853","52,644,011"
51,英國,夢想集中營,2024/02/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,2,36,-56.63%,"8,810","12,618","3,185,931"
52,日本,鬼太郎誕生：咯咯咯之謎,2024/02/06,采昌國際多媒體股份有限公司,TOEI ANIMATION CO.  LTD.,5,150,-56.65%,"37,915","74,262","19,363,236"
53,西班牙,在路上男情難未了,2024/02/02,聯影企業股份有限公司,MPM Premium,8,68,0.00%,"14,480",68,"14,480"
54,日本,去唱卡拉OK吧！,2024/02/02,天馬行空數位有限公司,KADOKAWA CORPORATION,7,194,-37.62%,"49,101","25,141","6,414,281"
55,美國,愛愛愛上你,2024/02/02,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,259,28.22%,"21,905","20,751","5,190,246"
56,美國,機密特務:阿蓋爾,2024/01/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,3,406,515.15%,"35,570","166,104","44,687,523"
57,香港,源生罪,2024/01/26,華映國際文創股份有限公司,宏寰文化傳播有限公司,1,5,-84.85%,"1,220",595,"138,684"
58,泰國,邪妓,2024/01/26,仲業股份有限公司,Hollywood(Thailand)Co. Ltd,1,130,4.00%,"7,150","5,903","1,435,441"
59,中國大陸,石門,2024/3/29,傳影互動股份有限公司,Beijing Monar Films Co.  Ltd,2,7,-95.30%,"1,670","1,490","328,312"
60,日本,邪惡根本不存在,2024/01/20,東昊影業有限公司,m-appeal,7,366,-49.86%,"82,730","6,029","1,451,646"
61,日本,SPY x FAMILY CODE: White,2024/01/19,木棉花國際股份有限公司,TOHO Co.  Ltd.,6,132,-23.26%,"34,504","472,789","123,185,829"
62,保加利亞,我不是教你詐,2024/01/19,燕翼企業有限公司,LevelK ApS,1,36,-60.87%,"1,980","2,077","368,945"
63,香港,潛行,2024/01/19,華映國際文創股份有限公司,上海笨小孩影視傳媒有限公司##北京阿里巴巴影業文化有限公司##北京上獅文化傳播有限公司##寰宇娛樂有限公司##夢造者娛樂有限公司##北京壞猴子文化產業發展有限公司##華文映像（北京）影業有限公司,2,536,15.52%,"54,840","133,162","33,229,345"
64,日本,月,2024/01/05,天馬行空數位有限公司,Free Stone Productions Co. Ltd.,1,74,0.00%,"21,460","1,046","232,791"
65,英國,藍色的你,2023/12/29,傳影互動股份有限公司,FILM CONSTELLATION LTD.,1,120,0.00%,"24,000","1,444","315,921"
66,美國,星願,2023/12/29,台灣華特迪士尼股份有限公司,BUENA VISTA INTERNATIONAL  INC.,3,220,-9.09%,"21,230","203,476","50,834,522"
67,日本,日安，我的母親,2023/12/25,原創娛樂股份有限公司,Shochiku.  Ltd.,1,18,0.00%,"3,240","1,305","260,269"
68,美國,水行俠 失落王國,2023/12/20,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,4,529,-30.21%,"48,260","734,471","199,698,355"
69,法國,人犬,2023/12/28,傳影互動股份有限公司,KINOLOGY,2,84,-49.09%,"8,115","32,893","8,035,480"
70,中華民國,赤心巔峰,2023/12/15,活水文化事業有限公司,活水文化事業有限公司,1,170,-38.41%,"39,100","47,002","11,124,474"
71,香港,年少日記,2023/12/08,光年映畫有限公司,MM2 STUDIOS HONG KONG  LTD,1,32,-11.11%,"5,760","12,256","2,921,717"
72,美國,旺卡,2023/12/06,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,4,329,31.08%,"36,340","384,805","102,315,554"
73,中華民國,(真)新的一天,2024/3/22,紅色製作有限公司,紅色製作有限公司##海鵬影業有限公司##新騎資訊有限公司,1,4,-94.52%,"1,090","2,718","634,840"
74,德國,五月的35日,2023/12/01,鴻聯國際開發股份有限公司,WARNER BROS. ENTERTAINMENT GmbH##EYRIE ENTERTAINMENT GmbH,1,5,-86.11%,640,971,"206,642"
