序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,法國,追兇12夜,2023/03/25,海鵬影業有限公司,MEMENTO INTERNATIONAL,1,59,28.26%,"12,850",105,"22,150"
2,英國,杏仁與海馬,2023/03/24,薩摩亞商雄讚股份有限公司台灣分公司,Bankside Films Ltd,21,181,-7.65%,"39,850",377,"86,258"
3,日本,名偵探柯南 灰原哀物語〜黑鐵的神祕列車〜,2023/03/24,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,55,"15,396",12.03%,"3,842,464","29,139","7,242,561"
4,中華民國,守護黑面琵鷺,2023/03/24,采昌國際多媒體股份有限公司,鴻奇文化事業有限公司,30,"1,122",-32.16%,"247,941","4,081","969,404"
5,法國,販愛天堂,2023/03/24,原創娛樂股份有限公司,"PATHE FILMS S.A.S,ORANGE STUDIO S.A",20,378,3.00%,"79,045",745,"157,281"
6,香港,毒舌大狀,2023/03/24,華映國際文創股份有限公司,"安樂影片有限公司,萬誘引力乙有限公司,阿里巴巴影業娛樂傳媒有限公司,香港電影發展基金",35,"1,657",0.98%,"399,212","3,298","793,033"
7,日本,艾莉絲旅館,2023/03/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,18,192,34.27%,"42,176",335,"71,790"
8,美國,捍衛任務4,2023/03/22,車庫娛樂股份有限公司,RELAY MOTION KFT.,74,"226,844",-18.77%,"59,959,410","506,115","135,680,073"
9,南韓,闇黑對決,2023/03/17,車庫娛樂股份有限公司,RELAY MOTION KFT.,29,199,-86.42%,"44,350","4,166","972,370"
10,法國,聖蛛,2023/03/17,捷傑有限公司,WILD BUNCH INTERNATIONAL,5,80,-78.84%,"17,155",834,"184,785"
11,美國,致蕾絲莉,2023/03/17,光年映畫有限公司,GEM Entertainment Kft.,17,721,18.78%,"152,135","1,415","297,235"
12,香港,流水落花,2023/03/17,香港商甲上娛樂有限公司台灣分公司,流水落花製作有限公司,10,68,-79.52%,"15,435",760,"176,442"
13,日本,人體動物圖鑑：烏龜的殼其實是肋骨,2023/03/17,仲業股份有限公司,"ASMIK ACE , INC",3,8,-83.67%,"1,900",125,"28,852"
14,義大利,若愛重來,2023/03/17,鴻聯國際開發股份有限公司,Lotus Production SRL,4,56,-84.95%,"11,480",709,"152,548"
15,美國,噩夢輓歌 4K數位修復版,2023/03/17,車庫娛樂股份有限公司,RELAY MOTION KFT.,8,119,-68.77%,"30,385",814,"199,552"
16,美國,熊蓋毒,2023/03/17,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,88,"1,062",-71.71%,"248,728","9,854","2,361,900"
17,美國,沙贊！眾神之怒,2023/03/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"13,113",-61.72%,"3,196,687","112,064","28,614,868"
18,中華民國,夢遊樂園,2023/03/15,想飛的魚電影製作有限公司,"想飛的魚電影製作有限公司,東睿貨物通運企業股份有限公司,瑞陞運通有限公司",6,16,-94.07%,"3,540","1,939","442,300"
19,法國,無人相信的真相,2023/03/11,佳映娛樂國際股份有限公司,LE PETIT BUREAU S.A.S,6,109,-63.91%,"25,190","1,179","349,000"
20,泰國,天生一對2 大電影：再續前緣,2023/03/10,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Joint Venture Destiny The Movie,4,33,-68.27%,"7,900","1,777","458,246"
21,日本,怪談比留子,2023/03/10,輝洪開發股份有限公司,NIKKATSU CORPORATION,2,12,-82.61%,"2,610",865,"213,260"
22,美國,驚聲尖叫 6,2023/03/10,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,72,877,-72.55%,"215,434","23,972","5,891,065"
23,南韓,8釐米：詛咒影帶,2023/03/10,車庫娛樂股份有限公司,RELAY MOTION KFT.,13,181,-76.28%,"42,005","10,123","2,512,396"
24,法國,尋找第5味,2023/03/10,天馬行空數位有限公司,MPM PREMIUM,3,15,-75.41%,"2,940",469,"96,847"
25,南韓,超完美狗保姆,2023/03/10,采昌國際多媒體股份有限公司,Atrium Productions Kft.,6,196,-24.90%,"43,237","4,126","978,750"
26,美國,屍蹤天使,2023/03/10,車庫娛樂股份有限公司,RELAY MOTION KFT.,2,70,48.94%,"14,840","2,162","515,189"
27,香港,斷網,2023/03/08,華映國際文創股份有限公司,"廣東昇格傳媒服份有限公司,寰亞電影發行（北京）有限公司,浙江聯瑞木馬文化傳媒有限公司,銀都機構有限公司,無限動力實業有限公司,浙江橫店影業有限公司,上海影爵文化傳媒有限公司,廣東一晟影業投資有限公司,珠海市橫琴星匯影院經營管理有限公司,深圳市浩志文化傳媒有限公司,深圳廣電影視股份有限公司,深圳市中影南方電影新幹線有限公司,廈門昇格鑫映影視文化傳媒有限公司,北京微夢創科網絡技術有限公司,帆娛文化（上海）有限公司,海南國梵影視文化傳播有限公司,北京人間指南影業有限公司,深圳瀾瓊影視文化傳媒有限公司,北京大美寰宇影業有限公司,北京林夕影業有限公司,北京樂桃傳媒有限公司,銀都機構（廣州）影視文化有限公司",8,66,-85.68%,"14,704","7,569","1,842,807"
28,英國,小熊維尼：血與蜜,2023/03/03,可樂藝術文創股份有限公司,PREMIERE ENTERTAINMENT GROUP LLC,2,8,-84.31%,"1,740","5,954","1,443,406"
29,美國,金牌拳手III,2023/03/03,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,125,-67.19%,"31,328","20,777","5,373,655"
30,中華民國,本日公休,2023/03/03,威視股份有限公司,"伯樂影業股份有限公司 ,華文創股份有限公司 ,有余企劃製作有限公司 ,得利影視股份有限公司 ,中環國際娛樂事業股份有限公司 ,意妍堂製作股份有限公司",53,"3,857",-43.35%,"907,854","62,547","14,255,956"
31,南韓,維特:音樂劇,2023/03/03,仲業股份有限公司,Wys En Scene,3,9,-79.55%,"4,620","2,892","1,590,120"
32,美國,火線埋伏,2023/03/03,采昌國際多媒體股份有限公司,ATRIUM PRODUCTIONS KFT.,1,4,-98.05%,895,"2,236","511,363"
33,義大利,配樂大師顏尼歐,2023/02/27,海鵬影業有限公司,Piano B Prosuzioni s.r.l.,14,"1,271",-37.45%,"292,931","4,637","1,166,922"
34,馬來西亞,孩子， 你好嗎 ?  山頂小屋,2023/02/25,香港商甲上娛樂有限公司台灣分公司,小黃花慈善基金Little Yellow Flower Foundation,4,467,0.00%,"88,630",642,"121,880"
35,馬來西亞,孩子， 你好嗎 ? 我的名字叫李心潔,2023/02/25,香港商甲上娛樂有限公司台灣分公司,小黃花慈善基金Little Yellow Flower Foundation,3,902,0.00%,"168,050","1,077","201,300"
36,美國,TÁR 塔爾,2023/02/25,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,20,"1,335",-38.39%,"335,089","11,110","2,812,488"
37,日本,鈴芽之旅,2023/02/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",76,"69,113",-13.61%,"17,382,037","749,962","196,400,816"
38,美國,法貝爾曼,2023/02/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,30,-71.15%,"7,352","7,176","1,757,836"
39,美國,所有的美麗與血淚,2023/02/24,好威映象有限公司,Altitude Film Sales Limited,3,149,-67.25%,"37,180","1,890","421,806"
