序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,路卡的夏天,2021/08/06,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",87,"13,706",65.15%,"3,350,058","22,005","5,400,442"
2,日本,甲子園：夢想競技場,2021/08/06,佳映娛樂國際股份有限公司,NIKKATSU CORPORATION,2,68,353.33%,"13,910",83,"16,665"
3,日本,青春：第50屆日本全國高中棒球錦標賽,2021/08/06,佳映娛樂國際股份有限公司,NIKKATSU CORPORATION,2,28,366.67%,"5,735",34,"6,835"
4,南韓,妻子的101次結婚,2021/08/06,英屬維京群島商映畫聯合有限公司台灣分公司,STUDIO BONANZA INC.,3,5,-58.33%,"1,260",17,"4,245"
5,中國大陸,合法伴侶,2021/08/06,秀泰國際娛樂有限公司,"上海尚世影業有限公司,上海三次元影業有限公司,天津貓眼微影文化傳媒有限公司,英國澤風影業,杭州蝸牛投資管理有限公司,北京樂波影業有限公司,英皇影視文化傳媒有限公司,英皇影業有限公司",2,7,-30.00%,"1,250",17,"3,470"
6,美國,自殺突擊隊：集結,2021/08/05,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"79,528",36.81%,"20,183,012","137,657","35,404,345"
7,美國,驅魔禁區,2021/08/05,車庫娛樂股份有限公司,RELAY MOTION KFT.,45,865,-11.28%,"217,814","1,840","462,142"
8,南韓,BLACKPINK THE MOVIE,2021/08/04,威秀影城股份有限公司,"CJ 4DPLEX CO.,Ltd.",12,860,-60.98%,"404,400","3,064","1,448,760"
9,美國,叢林奇航,2021/07/30,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",94,"11,024",-54.00%,"2,710,898","56,460","14,181,603"
10,美國,詭老,2021/07/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,87,"2,865",-58.07%,"716,218","14,570","3,596,155"
11,南韓,怪奇大廈,2021/07/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,25,216,-82.42%,"53,936","2,380","591,185"
12,日本,罪之聲,2021/07/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,16,225,-51.19%,"49,265","1,120","253,356"
13,日本,太陽出來之後,2021/07/30,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GAGA Corporation,13,76,-67.66%,"15,200",472,"98,806"
14,法國,理髮師的男人 經典數位修復,2021/07/30,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,7,68,-54.67%,"12,880",316,"61,769"
15,伊朗,淘寶少年,2021/07/30,傳影互動股份有限公司,CELLULOID DREAMS SARL,6,55,-72.91%,"10,100",380,"77,512"
16,法國,小王子公主心,2021/07/30,東昊影業有限公司,MK2 Films,5,33,-66.33%,"6,765",205,"43,638"
17,中國大陸,除暴,2021/07/30,華藝電影有限公司,"珠江影業傳媒股份有限公司,北京國影縱橫電影發行有限公司,廣東昇格傳媒股份有限公司,英皇(北京)影視文化傳媒有限公司,英皇影業有限公司,正夫影業有限公司,天津聯瑞影業有限公司,正夫君澤影視傳媒有限公司",3,6,-86.36%,"1,480",82,"19,337"
18,日本,破碎的瞬間,2021/07/30,可樂藝術文創股份有限公司,PONY CANYON INC.,3,4,-90.91%,880,96,"21,530"
19,美國,厲陰宅3：是惡魔逼我的,2021/07/22,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,83,"8,604",-17.72%,"2,233,153","43,846","11,084,819"
