序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,萬花嬉春,2020/06/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,49,"1,708",5.24%,"401,899","3,331","783,785"
2,美國,慾望街車,2020/06/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,49,839,-8.11%,"185,880","1,752","392,545"
3,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",79,"18,710",-45.81%,"4,300,362","53,237","12,248,645"
4,美國,天后小助理,2020/06/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,84,"10,724",-25.95%,"2,490,276","25,207","5,837,863"
5,日本,福島50英雄,2020/06/24,薩摩亞商雄讚股份有限公司台灣分公司,KADOKAWA CORPORATION,63,"5,831",-43.49%,"1,305,053","16,150","3,619,278"
6,中華民國,驚夢49天,2020/06/24,原創娛樂股份有限公司,世華文化創意事業有限公司,30,"4,637",-58.20%,"1,056,474","15,906","3,614,399"
7,美國,捕魔網,2020/06/24,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Film Mode Entertainment, LLC.",46,"3,163",-58.27%,"741,957","10,742","2,523,034"
8,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,32,"2,273",-54.27%,"509,573","7,243","1,630,904"
9,美國,超能追緝,2020/06/24,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,61,"1,958",-68.58%,"438,137","8,189","1,859,406"
10,南韓,鐵線蟲入侵,2020/06/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,19,"1,143",-53.17%,"259,664","3,584","826,848"
11,美國,愛情，是開始還是結束,2020/06/24,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",42,941,-50.71%,"213,465","2,850","652,238"
12,伊朗,親愛的小孩,2020/06/24,水元素文化傳媒有限公司,Beta Cinema GmbH,11,502,-41.70%,"109,310","1,363","291,470"
13,法國,食人錄,2020/06/24,暗光鳥有限公司,ELLE DRIVER,3,33,-10.81%,"6,855",70,"15,580"
14,美國,明信片謀殺案,2020/06/19,香港商甲上娛樂有限公司台灣分公司,"CAPSTONE GROUP, LLC##GFC POSTCARDS, INC.",76,"5,818",-59.94%,"1,356,057","31,851","7,373,188"
15,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,42,"1,671",-73.19%,"392,752","13,378","3,111,907"
