序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
50,中華民國,孤味,2020/11/06,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,80,"6,169",-62.72%,"1,414,545","819,122","189,444,063"
51,日本,GIVEN~被贈與的未來 劇場版,2020/11/06,水元素文化傳媒有限公司,SPO Entertainment Inc.,1,29,-62.34%,"7,520","18,846","4,713,552"
52,南韓,綠洲：數位經典版,2020/11/06,光年映畫有限公司,"FINECUT CO., LTD.",1,16,-57.89%,"3,080","4,598","1,033,745"
53,美國,女巫們,2020/11/05,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,269,0.00%,"14,310","146,338","34,607,267"
54,日本,鬼滅之刃劇場版 無限列車篇,2020/10/30,木棉花國際股份有限公司,Aniplex Inc.,84,"23,447",-58.93%,"7,664,461","2,509,762","606,008,840"
55,美國,入魔,2020/10/30,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,181,-49.16%,"12,370","11,467","2,442,053"
56,香港,聖荷西謀殺案,2020/10/30,華映娛樂股份有限公司,英皇影業有限公司##耳東文化(北京)有限公司##北京佟悅名新文化傳媒有限公司,3,37,-76.73%,"4,290","2,278","434,306"
57,西班牙,破碎的擁抱 經典數位修復,2020/10/30,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,1,14,-69.57%,"2,775",563,"116,161"
58,西班牙,玩美女人 經典數位修復,2020/10/30,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,1,9,-82.00%,"1,980",697,"146,020"
59,西班牙,高跟鞋 經典數位修復,2020/10/30,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,1,9,0.00%,"1,840",852,"178,339"
60,中華民國,親愛的房客,2020/10/23,牽猴子整合行銷股份有限公司,一期一會影像製作有限公司,9,345,-70.94%,"78,178","162,067","38,505,647"
61,美國,地下弒的秘密,2020/10/16,香港商甲上娛樂有限公司台灣分公司,"Accelerated Global Content, LLC",1,119,9.17%,"10,110","1,854","376,854"
62,法國,藥頭大媽,2020/10/16,原創娛樂股份有限公司,Le Pacte,2,34,-61.80%,"5,040","2,042","409,848"
63,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,1,44,-59.26%,"4,840","24,274","5,177,000"
64,日本,看不見的目擊者,2020/10/16,華映娛樂股份有限公司,"MOONWATCHER Co., Ltd",1,16,-52.94%,"2,480","16,044","3,634,094"
65,中華民國,無聲,2020/10/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,財團法人公共電視文化事業基金會##氧氣電影有限公司##滿滿額娛樂股份有限公司##畢業生有限公司##英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,1,26,73.33%,"2,720","209,805","49,900,755"
66,美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",6,821,-6.17%,"63,785","201,733","47,169,928"
