序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,南韓,破墓,2024/03/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,75,"109,527",61.64%,"28,260,430","177,287","45,815,256"
2,美國,天使之心,2024/03/08,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Angel Studios Licensing  LLC,40,805,-32.52%,"182,970","1,998","467,155"
3,美國,伏慄熊,2024/03/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,72,"9,193",0.00%,"2,287,000","9,193","2,287,000"
4,南韓,BTOB,2024/03/08,仲業股份有限公司,kt alpha Co. Ltd.,10,"1,252",61.97%,"561,802","2,701","1,289,902"
5,西班牙,兩萬種蜜蜂,2024/03/08,海鵬影業有限公司,LUXBOX,15,320,-13.28%,"67,261",689,"146,130"
6,香港,反貪風暴之加密危機,2024/03/08,華映國際文創股份有限公司,東方影業出品有限公司,1,4,-88.57%,775,374,"86,327"
7,美國,滯留生,2024/03/01,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,37,"1,361",-46.98%,"316,221","5,949","1,389,766"
8,美國,師情化慾,2024/03/01,車庫娛樂股份有限公司,RELAY MOTION KFT.,21,71,-92.63%,"16,795","2,334","560,528"
9,越南,鬼怨偶,2024/03/01,車庫娛樂股份有限公司,RELAY MOTION KFT.,59,"4,594",-61.51%,"1,167,843","28,252","7,171,294"
10,德國,失控教室,2024/3/8,光年映畫有限公司,BE FOR FILMS,27,873,21.25%,"196,927","1,848","415,644"
11,香港,不是你不愛你,2024/03/01,華映國際文創股份有限公司,寰亞電影製作有限公司,49,827,0.00%,"204,770",827,"204,770"
12,香港,飯戲攻心2,2024/02/28,華映國際文創股份有限公司,安樂影片有限公司##天下一電影製作有限公司##無錫加雄影業有限公司##萬誘引力乙有限公司##上海淘票票影視文化有限公司##安樂（北京）電影發行有限公司,19,47,-87.98%,"11,345","2,132","501,476"
13,南韓,日日好狗日,2024/02/23,車庫娛樂股份有限公司,RELAY MOTION KFT.,13,85,-69.64%,"20,399","3,845","928,278"
14,中華民國,金門,2024/3/8,視納華仁文化傳播股份有限公司,財團法人蔣見美教授文教基金會##視納華仁文化傳播股份有限公司##Op-Docs | The New York Times,2,20,-16.67%,"1,850",44,"4,000"
15,瑞典,鬼影直播,2024/02/23,仲業股份有限公司,TRUSTNORDISK APS,7,18,-90.82%,"4,065","2,388","582,943"
16,法國,給我個機會,2024/02/23,天馬行空數位有限公司,INDIE SALES COMPANY,14,174,-12.56%,"37,420",373,"82,354"
17,法國,墜惡真相,2024/02/23,好威映象有限公司,MK2 Films,46,"2,927",-32.54%,"766,818","19,109","4,984,997"
18,義大利,蓋世怪胎,2024/02/23,聯影企業股份有限公司,Rai Cinema Channel,7,40,-84.13%,"8,335",571,"131,780"
19,法國,再見機器人,2024/02/23,東昊影業有限公司,elle Driver,32,"5,978",-10.47%,"1,529,194","21,370","5,410,563"
20,日本,鐵道員,2024/02/23,輝洪開發股份有限公司,TOEI COMPANY  LTD.,3,37,-77.02%,"8,650",353,"80,180"
21,法國,火上鍋,2024/02/23,海鵬影業有限公司,GAUMONT,17,384,-66.35%,"89,960","5,347","1,251,916"
22,日本,「鬼滅之刃」 絆之奇蹟，邁向柱訓練,2024/02/23,木棉花國際股份有限公司,Aniplex Inc.,93,"14,120",-48.59%,"3,595,797","173,929","46,105,730"
23,美國,沙丘：第二部,2024/02/20,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"118,890",-31.54%,"39,626,447","543,217","175,459,666"
24,美國,天眼救援,2024/02/16,車庫娛樂股份有限公司,RELAY MOTION KFT.,52,"1,011",-66.86%,"245,448","47,269","11,536,208"
25,阿根廷,鬼燭靈,2024/02/16,車庫娛樂股份有限公司,RELAY MOTION KFT.,7,70,-80.77%,"16,500","8,031","2,041,321"
26,美國,蜘蛛夫人,2024/02/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,70,681,-75.61%,"169,696","77,545","20,807,257"
27,美國,飛鴨向前衝,2024/02/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,56,"1,338",-44.32%,"326,599","75,092","18,805,713"
28,中華民國,小子,2024/2/8,延平影業有限公司,延平影業有限公司##良人行影業有限公司##大腕影業國際有限公司##阿榮影業股份有限公司##香港托特智能有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司,6,9,-95.08%,"2,100","13,095","3,337,924"
29,美國,可憐的東西,2024/02/08,博偉電影股份有限公司,BUENA VISTA INTERNATIONAL  INC.,80,"18,584",0.58%,"4,941,722","176,026","46,847,671"
30,香港,臨時劫案,2024/02/08,華映國際文創股份有限公司,無限動力實業有限公司##愛奇藝影業（北京）有限公司##銀都機構有限公司##掌賞電影企業有限公司##北京人間指南影業有限公司##華文映象（北京）影業有限公司##之江電影集團有限公司##天馬電影出品（香港）有限公司,26,174,-74.49%,"42,052","50,314","12,400,629"
31,中華民國,還錢,2024/02/08,華能國際娛樂股份有限公司,文化內容策進院##華能國際娛樂股份有限公司##有戲娛樂股份有限公司##樂到家國際娛樂股份有限公司##麗富開發股份有限公司##恒世資本股份有限公司,83,"2,552",-61.14%,"634,477","161,956","41,383,163"
32,日本,《少女與戰車 最終章》 第４話,2024/02/08,華藝娛樂股份有限公司,HAKUHODO DY MUSIC ## PICTURES,13,"1,726",208.77%,"823,245","7,811","2,624,210"
33,英國,夢想集中營,2024/02/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,47,"1,780",-12.53%,"450,608","11,231","2,836,253"
34,香港,七月返歸,2024/02/07,車庫娛樂股份有限公司,滿滿額創作香港有限公司##香港電影發展基金,1,3,-90.00%,615,"8,216","2,078,602"
35,南韓,外星+人2：回到未來,2024/02/07,車庫娛樂股份有限公司,RELAY MOTION KFT.,7,23,-79.09%,"5,455","22,390","5,505,547"
36,日本,鬼太郎誕生：咯咯咯之謎,2024/02/06,采昌國際多媒體股份有限公司,TOEI ANIMATION CO.  LTD.,59,"2,313",-44.20%,"616,093","70,516","18,404,374"
37,美國,佩佩的電影派對,2024/02/03,威秀影城股份有限公司,Trafalgar Releasing Ltd.,19,16,-89.61%,"4,450","4,651","1,296,508"
38,日本,去唱卡拉OK吧！,2024/02/02,天馬行空數位有限公司,KADOKAWA CORPORATION,18,"2,567",1.99%,"662,073","19,862","5,079,225"
39,美國,愛愛愛上你,2024/02/02,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,54,-70.65%,"14,597","20,272","5,149,006"
40,美國,機密特務:阿蓋爾,2024/01/31,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,50,737,-56.95%,"185,571","165,531","44,615,541"
41,中國大陸,莫斯科行動,2024/01/26,車庫娛樂股份有限公司,上海華人影業有限公司北京分公司##引力影視投資有限公司##北京上獅文化傳播有限公司##上海淘票票影視文化有限公司##上海華人影業有限公司##西安喬松文化傳媒有限公司##優酷電影有限公司##北京元氣娛樂文化有限公司##北京微夢創科網路技術有限公司,1,2,-86.67%,520,"8,482","2,035,137"
42,日本,劇場版 轉生成女性向遊戲只有毀滅 END 的壞人大小姐,2024/01/25,普威爾國際股份有限公司,KING RECORD COMPANY LIMITED,1,3,-50.00%,580,"8,642","2,138,161"
43,日本,法庭遊戲,2024/01/22,原創娛樂股份有限公司,TOEI COMPANY  LTD.,31,798,-35.96%,"186,357","2,044","485,722"
44,日本,邪惡根本不存在,2024/01/20,東昊影業有限公司,m-appeal,1,125,"6,150.00%","27,565",682,"220,665"
45,中國大陸,石門,2024/01/20,傳影互動股份有限公司,Beijing Monar Films Co.  Ltd,2,196,0.00%,"42,010",329,"71,595"
46,香港,潛行,2024/01/19,華映國際文創股份有限公司,上海笨小孩影視傳媒有限公司##北京阿里巴巴影業文化有限公司##北京上獅文化傳播有限公司##寰宇娛樂有限公司##夢造者娛樂有限公司##北京壞猴子文化產業發展有限公司##華文映像（北京）影業有限公司,9,77,-73.63%,"20,295","131,860","33,110,915"
47,日本,SPY x FAMILY CODE: White,2024/01/19,木棉花國際股份有限公司,TOHO Co.  Ltd.,81,"2,611",-51.62%,"681,676","470,206","122,521,857"
48,泰國,鬼聲泣,2024/01/19,威視股份有限公司,M Pictures CO.  LTD.,17,375,-54.27%,"102,407","96,064","24,804,673"
49,日本,光之美少女電影 ALL STARS F,2024/01/19,木棉花國際股份有限公司,ADK EMOTIONS INC.,3,36,33.33%,"8,190","10,397","2,517,226"
50,美國,雷鬼之父：音樂無國界,2024/01/19,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,62,"1,514",0.00%,"377,479","1,514","377,479"
51,美國,蜂刑者,2024/01/12,車庫娛樂股份有限公司,RELAY MOTION KFT.,12,159,-70.22%,"40,579","229,333","59,568,075"
52,香港,爆裂點,2024/01/11,華映國際文創股份有限公司,英皇影業有限公司##上海博納影文化傳媒有限公司##華夏電影發行有限責任公司##華文映象（北京）影業有限公司##北京高興文化傳媒有限公司##博納影業集團股份有限公司##北京博納集團影業有限公司##上海梅龍鎮廣場環藝娛樂管理有限公司##博納影視娛樂有限公司,2,142,-26.42%,"9,810","2,435","509,321"
53,美國,叛諜檔案,2024/01/05,仲業股份有限公司,MILLENNIUM MEDIA  INC.,3,151,-25.25%,"12,280","12,216","2,661,229"
54,日本,魔法公主,2024/01/05,香港商甲上娛樂有限公司台灣分公司,Studio Ghibli Inc.,3,21,-44.74%,"5,080","128,776","33,243,696"
55,日本,窗邊的小荳荳,2023/12/29,薩摩亞商雄讚股份有限公司台灣分公司,Toho Co.  Ltd.,5,36,-84.21%,"8,520","37,462","8,938,073"
56,美國,星願,2023/12/29,台灣華特迪士尼股份有限公司,BUENA VISTA INTERNATIONAL  INC.,2,117,3.54%,"24,790","202,618","50,755,452"
57,美國,水行俠 失落王國,2023/12/20,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,46,-41.03%,"12,075","731,225","199,400,420"
58,日本,愛在閃電下,2023/12/20,中影股份有限公司,Nippon Television Network Corporation,1,130,15.04%,"31,440","1,413","325,851"
59,法國,人犬,2023/12/15,傳影互動股份有限公司,KINOLOGY,3,265,273.24%,"23,157","31,940","7,953,613"
60,中華民國,赤心巔峰,2023/12/15,活水文化事業有限公司,活水文化事業有限公司,2,497,48.36%,"116,730","46,170","10,928,574"
61,中華民國,愛是一把槍,2023/12/15,好威映象有限公司,念白電影有限公司##南川上電影有限公司,1,16,0.00%,"2,880","2,518","580,809"
62,中華民國,小曉,2023/12/08,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,華映娛樂股份有限公司##得利影視股份有限公司##華文創股份有限公司##承達投資有限公司##寓言工作室##影響原創影視股份有限公司,4,384,16.01%,"41,465","49,540","12,024,035"
63,日本,鄰人Ｘ：謎樣的女子,2023/12/08,天馬行空數位有限公司,恆星多媒體股份有限公司,1,23,0.00%,"2,887","2,133","544,549"
64,法國,逆轉廢材人生,2023/12/08,捷傑有限公司,Gaumont,7,35,-83.72%,"7,775",603,"131,790"
