序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,勸世三姊妹：大銀幕特別版,2022/05/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,國家表演藝術中心衛武營國家藝術文化中心,2,49,-83.93%,"16,006",354,"97,857"
2,泰國,猛鬼大學：第2學期,2022/05/13,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",57,"2,826",-15.52%,"662,482","6,171","1,448,960"
3,南韓,空氣殺人,2022/05/13,采昌國際多媒體股份有限公司,Atrium Productions Kft.,37,"2,235",-2.53%,"535,051","4,528","1,075,237"
4,英國,鯊顫,2022/05/13,威視股份有限公司,ALTITUDE FILM SALES LIMITED,36,"1,261",-33.21%,"295,684","3,149","737,788"
5,日本,輪到你了 劇場版,2022/05/13,天馬行空數位有限公司,Nippon Television Network Corporation,19,"1,165",-6.58%,"284,321","2,412","588,183"
6,南韓,死亡預報,2022/05/13,車庫娛樂股份有限公司,RELAY MOTION KFT.,49,"1,235",-24.37%,"282,384","2,868","667,926"
7,日本,鹿王,2022/05/13,木棉花國際股份有限公司,KADOKAWA CORPORATION,34,"1,116",-12.68%,"266,530","2,394","585,568"
8,日本,漁港的肉子,2022/05/13,傳影互動股份有限公司,"Free Stone Productions Co.,LTD.",31,954,-18.67%,"223,966","2,355","556,660"
9,德國,詭棋,2022/05/13,華映娛樂股份有限公司,"Error 404 Productions, Limited,優橝文化傳媒有限公司",52,827,-42.61%,"187,700","2,268","526,990"
10,法國,親愛的童伴,2022/05/13,海鵬影業有限公司,MK2 FIMLS,16,727,18.99%,"161,218","1,338","317,613"
11,瑞士,阿哈：帶我走,2022/05/13,造次文化有限公司,First Hand Films,10,555,70.25%,"126,824",881,"204,091"
12,伊朗,我不是英雄,2022/05/13,車庫娛樂股份有限公司,MEMENTO FILMS INTERNATIONAL,18,468,25.81%,"103,114",840,"186,016"
13,中華民國,格瑞特真相,2022/05/13,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,法務部調查局,10,81,-53.45%,"17,895",255,"56,667"
14,中國大陸,你好，李煥英,2022/05/06,車庫娛樂股份有限公司,"喀什嘉視文化傳媒有限公司,上海復逸文化傳播有限公司,北京光彩紀行文化發展有限公司,冠宇影業(北京)有限公司,嘲風影業(北京)有限責任公司,北京匠紫文化傳媒有限公司,上海貓眼影業有限公司,北京國盾影視傳媒有限公司,華誼兄弟電影有限公司,深圳二狐文化產業發展有限公司,聯瑞(上海)影業有限公司,安徽舒茶九一六影視傳媒有限公司,浙江橫店影業有限公司,天津摩天輪文化傳媒有限公司,中國電影股份有限公司,阿里巴巴影業(北京)有限公司,北京大碗娛樂文化傳媒有限公司,新麗傳媒集團有限公司,北京精彩時間文化傳媒有限公司,天津貓眼微影文化傳媒有限公司,上海儒意影視制作有限公司,北京京西文化旅遊股份有限公司,華文映像(北京)影業有限公司,北京入海時網路科技有限公司",43,246,-77.96%,"58,061","2,359","549,436"
