序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,南韓,淘氣小企鵝啵樂樂 電影版：巨龍城堡大冒險,2023/01/20,車庫娛樂股份有限公司,RELAY MOTION KFT.,51,"1,866",241.13%,"437,942","2,413","565,115"
2,中華民國,詐團圓,2023/01/20,博偉電影股份有限公司,"青睞影視製作股份有限公司,文化內容策進院,六六喜喜股份有限公司,台灣大哥大股份有限公司(My Video),呈洋國際有限公司",98,"58,452",174.67%,"14,040,741","81,011","19,398,223"
3,德國,拼音戀習曲,2023/01/19,海鵬影業有限公司,THE MATCH FACTORY GmbH,12,371,59.91%,"76,615",603,"126,725"
4,日本,舌尖上的禪,2023/01/19,天馬行空數位有限公司,NIKKATSU CORPORATION,10,901,145.50%,"192,893","1,268","271,588"
5,美國,玩命特攻：武演行動,2023/01/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,71,"86,892",116.63%,"21,439,219","127,002","31,230,301"
6,美國,巴比倫,2023/01/17,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,93,"17,531",177.39%,"4,760,265","23,851","6,493,440"
7,香港,天龍八部之喬峰傳,2023/01/17,華映國際文創股份有限公司,廈門自在互娛文化傳媒有限公司##邵氏兄弟國際影業有限公司##晶藝電影有限公司##普普文化（香港）控股有限公司##北京愛奇藝科技有限公司##上海騰訊企鵝影視文化傳播有限公司##優酷電影有限公司,65,"14,200",88.96%,"3,457,297","21,715","5,262,158"
8,日本,屁屁偵探 : 天才惡人屁屁亞蒂,2023/01/14,薩摩亞商雄讚股份有限公司台灣分公司,TOEI ANIMATION ENTERPRISES LTD.,63,"30,033",180.60%,"7,268,050","41,372","9,983,798"
9,日本,灌籃高手 THE FIRST SLAM DUNK,2023/01/13,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",103,"541,058",33.61%,"138,252,052","1,219,745","311,514,416"
10,德國,沒有你的旅程,2023/01/13,車庫娛樂股份有限公司,STUDIOCANAL,1,2,-97.26%,380,158,"33,962"
