序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,游牧人生,2021/03/19,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",40,"15,122",35.67%,"3,570,778","26,268","6,235,421"
2,義大利,西西里恐怖故事,2021/03/19,車庫娛樂股份有限公司,"GEM ENTERTAINMENT,KFT.",35,"2,031",-37.06%,"483,876","5,258","1,259,299"
3,中華民國,愛.殺,2021/03/19,金禾創意股份有限公司,金禾創意股份有限公司##杰德創意影音管理股份有限公司,19,"1,724",-11.91%,"401,758","3,681","841,086"
4,德國,父愁者聯盟,2021/03/19,采昌國際多媒體股份有限公司,StudioCanal SAS,40,"1,422",-35.33%,"320,932","3,621","830,618"
5,日本,前田建設奇幻營業部,2021/03/19,海樂影業股份有限公司,BANDAI NAMCO Arts Inc.,30,"1,290",-22.10%,"292,320","2,946","680,864"
6,日本,鳴鳥不飛：Don’t stay gold,2021/03/19,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,16,"1,565",-21.51%,"251,520","3,559","569,950"
7,日本,太陽不會動,2021/03/19,鴻聯國際開發股份有限公司,Warner Bros. Japan LLC,33,"1,073",-36.99%,"238,055","2,776","622,340"
8,美國,老娘演很大,2021/03/19,香港商甲上娛樂有限公司台灣分公司,"ACCELERATED GLOBAL CONTENT,LLC",34,"1,048",-38.89%,"236,286","2,763","647,357"
9,中華民國,削瘦的靈魂,2021/03/19,目宿媒體股份有限公司,目宿媒體股份有限公司,9,793,91.55%,"178,900","1,207","271,799"
10,南韓,孩子別哭,2021/03/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,41,718,-22.21%,"155,949","1,641","369,238"
11,中華民國,動保蝙蝠俠,2021/03/19,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,6,826,257.58%,"114,640","1,057","134,260"
12,美國,愛情瞎攪禍,2021/03/19,天馬行空數位有限公司,GEM ENTERTAINMENT KFT.,19,453,-25.00%,"96,772","1,057","237,411"
13,法國,兩人之間,2021/03/19,傳影互動股份有限公司,The Party Films Sales,14,394,2.60%,"84,270",953,"201,642"
14,日本,小說之神,2021/03/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Free Stone Productions Co.,Ltd.",8,241,-45.72%,"56,578",685,"161,990"
15,阿根廷,聲魔入侵,2021/03/19,原創娛樂股份有限公司,"Film Factory Entertainment, S.L.",10,72,-69.87%,"16,155",311,"71,998"
16,日本,農情蜜意,2021/03/19,英屬維京群島商映畫聯合有限公司台灣分公司,HAPPINET CORPORATION,3,14,-30.00%,"3,010",34,"6,935"
17,美國,花漾女子,2021/03/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,88,"3,876",-65.22%,"915,805","28,550","6,731,487"
18,英國,波麗萊多里鬼屋,2021/03/12,威視股份有限公司,WESTEND FILMS LTD,46,"2,624",-65.84%,"611,254","21,195","4,990,223"
19,中華民國,揭大歡喜,2021/03/12,紅色製作有限公司,紅色製作有限公司##中環國際娛樂事業股份有限公司##海鵬影業有限公司##羅特國際製作股份有限公司,71,"1,463",-57.32%,"324,636","9,584","2,188,683"
20,南韓,今天決定我愛你,2021/03/12,華映娛樂股份有限公司,Acemaker Movie Works,61,"1,373",-71.03%,"318,592","12,897","3,016,618"
21,美國,終極異噬界,2021/03/12,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,57,786,-80.21%,"171,740","9,689","2,191,546"
22,中華民國,尼泊爾布思議,2021/03/12,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,5,837,43.32%,"116,400","1,438","194,400"
23,日本,間諜之妻,2021/03/12,可樂藝術文創股份有限公司,Nikkatsu Corporation,22,487,-71.08%,"107,617","3,784","839,582"
24,美國,魔坑,2021/03/12,車庫娛樂股份有限公司,"XYZ FILMS,LLC",32,133,-92.57%,"31,870","4,433","1,038,391"
25,法國,我愛你，你愛她，她愛他,2021/03/12,捷傑有限公司,ELLE DRIVER,8,88,-79.29%,"18,770","1,118","242,211"
26,英國,金窩駭浪,2021/03/12,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,17,48,-93.29%,"11,300","1,580","357,455"
27,美國,幸福剛剛好,2021/03/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,HANWAY FILMS LIMITED,20,42,-92.19%,"9,145","1,169","263,079"
28,西班牙,倒數第N次分手,2021/03/12,天馬行空數位有限公司,Media Luna New Films UG,2,25,-81.88%,"5,635",376,"81,254"
29,美國,尋龍使者：拉雅,2021/03/05,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",96,"23,267",-48.07%,"5,553,888","207,757","50,439,668"
30,英國,噪反,2021/03/05,英屬維京群島商高捷全球開發有限公司 台灣分公司,Lions Gate International(UK),74,"3,484",-68.79%,"826,560","70,597","17,022,459"
31,日本,淺田家！,2021/03/05,采昌國際多媒體股份有限公司,"Toho Co.,Ltd.",29,"2,417",-52.46%,"577,310","21,309","5,042,673"
32,丹麥,醉好的時光,2021/03/05,好威映象有限公司,TrustNordisk,22,"2,151",-35.68%,"511,491","13,030","3,052,741"
33,中華民國,東經北緯,2021/03/05,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"緒虎製作有限公司,金騰國際傳媒股份有限公司,墨爾有限公司,德安信股份有限公司,三皇生物科技股份有限公司",19,"1,348",-45.65%,"303,393","11,963","2,827,833"
34,日本,Fate/Grand Order-神聖圓桌領域卡美洛-Wandering; Agateram,2021/03/05,曼迪傳播有限公司,Aniplex Inc.,23,385,-74.40%,"95,353","13,908","3,460,461"
35,美國,鬼故事收藏館,2021/03/05,峻龍國際有限公司,"Fandom Holdings,LLC.",26,369,-81.89%,"83,025","12,752","2,950,138"
