序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,角落小夥伴電影版：藍色月夜的魔法之子,2022/08/05,威視股份有限公司,"ASMIK ACE,INC.",68,"17,725",6.39%,"4,305,703","35,094","8,616,587"
2,加拿大,未來犯罪,2022/08/05,車庫娛樂股份有限公司,RELAY MOTION KFT.,54,"1,647",-13.41%,"386,487","3,549","837,204"
3,德國,非戀人絮語,2022/08/05,傳影互動股份有限公司,THE MATCH FACTORY GmbH,12,628,23.14%,"137,515","1,366","308,105"
4,中華民國,我永遠永遠永遠愛你,2022/08/05,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,6,602,122.96%,"95,480",872,"137,920"
5,法國,喀布爾之燕,2022/08/05,天馬行空數位有限公司,Celluloid Dreams SARL,10,213,14.52%,"49,350",399,"91,673"
6,英國,偷香 數位修復版,2022/08/05,車庫娛樂股份有限公司,RELAY MOTION KFT.,8,120,10.09%,"23,145",229,"44,682"
7,日本,蠟筆小新：幽靈忍者珍風傳,2022/08/04,木棉花國際股份有限公司,ADK EMOTIOS INC.,57,"38,395",19.31%,"9,395,538","70,575","17,286,922"
8,美國,子彈列車,2022/08/03,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,98,"120,666",-16.00%,"31,173,593","264,309","68,926,788"
9,中華民國,民雄鬼屋,2022/07/29,采昌國際多媒體股份有限公司,"后花園數位影像製作有限公司,馬棋朵數位影像製作有限公司,采昌國際多媒體股份有限公司,皮諾丘電影事業有限公司,煉金術電影事業有限公司,罡風創意映像有限公司,有樂股份有限公司",78,"21,918",-45.73%,"5,352,201","105,434","25,961,365"
10,日本,特『刀劍亂舞-花丸-』～雪之卷～,2022/07/29,天馬行空數位有限公司,Marvelous Inc.,24,"1,091",-25.63%,"277,272","4,310","1,096,164"
11,英國,法蘭克札帕：從前衛到當代,2022/07/29,造次文化有限公司,Great Point Media Limited,4,487,-16.61%,"122,974","1,354","334,112"
12,德國,永別了，柏林,2022/07/29,海鵬影業有限公司,LES FILMS DU LOSANGE,11,312,-56.42%,"66,760","1,574","338,072"
13,法國,就在今夜,2022/07/29,東昊影業有限公司,MK2 Films,10,242,-59.73%,"53,375","1,365","305,626"
14,法國,席琳狄翁外傳：愛的力量,2022/07/29,聯影企業股份有限公司,GAUMONT S.A.,18,229,-69.18%,"50,169","1,812","406,875"
15,美國,殺戮基地,2022/07/29,車庫娛樂股份有限公司,RELAY MOTION KFT.,10,47,-88.97%,"11,775","1,390","320,209"
16,南韓,外星+人,2022/07/27,車庫娛樂股份有限公司,RELAY MOTION KFT.,69,"4,201",-62.66%,"1,000,577","37,090","9,035,066"
17,日本,再見了，橡果兄弟！－奇蹟的暑假－,2022/07/25,木棉花國際股份有限公司,KADOKAWA CORPORATION,13,455,-53.90%,"113,176","2,407","608,219"
18,法國,烈火少女,2022/07/23,捷傑有限公司,"ACE HOLDINGS, S.À R.L",9,147,-43.24%,"34,980",843,"197,891"
19,美國,喜悅：達賴喇嘛遇見屠圖主教,2022/07/22,佳映娛樂國際股份有限公司,"ro*co films international, llc",22,"3,771",129.66%,"883,709","5,675","1,329,226"
20,中華民國,徘徊年代,2022/07/22,光元體影藝有限公司,"光元體影藝有限公司,傳影互動股份有限公司",6,450,-42.01%,"99,915","3,203","724,130"
21,泰國,鬼單眼,2022/07/22,車庫娛樂股份有限公司,RELAY MOTION KFT.,9,197,-71.03%,"46,892","6,206","1,504,108"
22,南韓,非常殺手,2022/07/22,車庫娛樂股份有限公司,RELAY MOTION KFT.,14,117,-83.70%,"26,397","9,140","2,183,756"
23,香港,七人樂隊,2022/07/22,華映娛樂股份有限公司,"寰亞電影製作有限公司,中影寰亞音像製品有限公司,星光聯盟影業無錫有限公司,8028控股有限公司,北京真之影文化傳媒有限公司",5,101,-26.28%,"23,420","1,533","350,924"
24,香港,闔家辣,2022/07/22,香港商甲上娛樂有限公司台灣分公司,"金銀島製作有限公司,天下一電影製作有限公司,寰亞電影製作有限公司,香港電影發展基金",5,101,-57.92%,"23,135","1,983","470,511"
25,中國大陸,于堇：蘭心大劇院,2022/07/22,峻龍國際有限公司,"北京千易時代文化傳媒有限公司,霍爾果斯佰安影業有限公司,浙江天意影視有限公司,伊犁卓然影業有限公司,霍爾果斯聚合影聯文化傳媒有限公司,上海千易源文化傳媒有限公司,凡魚傳媒(北京)有限公司,上海依英影視傳媒有限公司",4,85,-61.88%,"18,590","1,573","345,350"
26,芬蘭,當女孩戀愛時,2022/07/22,光年映畫有限公司,LevelK ApS,4,46,-72.62%,"10,335","1,092","243,085"
27,義大利,洞,2022/07/22,好威映象有限公司,Société Parisienne de Production SARL,2,31,-69.31%,"6,575",693,"148,564"
28,日本,偷情連載中,2022/07/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,NIKKATSU CORPORATION,2,20,-67.21%,"4,485",802,"176,889"
29,日本,只是現在不走運而已,2022/07/22,天馬行空數位有限公司,GAGA Corporation,1,5,-85.29%,960,454,"96,976"
30,美國,小小兵2:格魯的崛起,2022/07/20,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,"54,856",-39.27%,"13,408,865","517,827","128,064,849"
31,美國,回歸野性,2022/07/17,豪華大戲院股份有限公司,IMAX Corporation.,1,13,0.00%,995,17,"1,355"
32,美國,馬達加斯加：狐猴之島,2022/07/16,豪華大戲院股份有限公司,IMAX Corporation.,1,16,433.33%,"1,760",21,"2,210"
33,日本,電影哆啦A夢：大雄的宇宙小戰爭 2021,2022/07/15,車庫娛樂股份有限公司,"TOHO CO.,LTD.",41,"1,512",-56.03%,"345,729","44,270","10,510,508"
34,南韓,分手的決心,2022/07/15,車庫娛樂股份有限公司,RELAY MOTION KFT.,25,"1,274",-54.16%,"312,149","26,900","6,671,284"
35,日本,婚顧女王,2022/07/15,中影股份有限公司,"松竹 株式會社  Shochiku Co.,Ltd.",1,102,-16.39%,"22,950","1,528","337,867"
36,法國,失業風暴,2022/07/15,可樂藝術文創股份有限公司,France Televisions Distribution,1,44,46.67%,"7,040","1,457","300,670"
37,南韓,邪門,2022/07/15,采昌國際多媒體股份有限公司,Atrium Productions Kft.,2,20,-84.96%,"4,715","8,978","2,199,299"
38,芬蘭,朵貝的愛情繪本,2022/07/15,佳映娛樂國際股份有限公司,LevelK ApS,1,5,-68.75%,"1,060",562,"121,222"
39,美國,達賴的一生,2022/07/08,東昊影業有限公司,Studiocanal S.A.S,5,136,-66.00%,"29,660","5,348","1,211,532"
40,印度,偉大的印度廚房,2022/07/08,天馬行空數位有限公司,MANKIND CINEMAS,1,34,"1,600.00%","5,440","1,335","278,486"
41,日本,平成狸合戰,2022/07/08,香港商甲上娛樂有限公司台灣分公司,Studio Ghibli Inc.,1,13,-86.46%,"3,080",571,"138,051"
42,日本,熊貓家族+熊貓家族 - 雨中的馬戲團,2022/07/08,香港商甲上娛樂有限公司台灣分公司,"RAKUTEN GROUP,INC",1,12,-72.73%,"2,800",704,"173,371"
43,日本,兒時的點點滴滴,2022/07/08,香港商甲上娛樂有限公司台灣分公司,Studio Ghibli Inc.,1,10,-85.51%,"2,300",654,"157,320"
44,美國,雷神索爾：愛與雷霆,2022/07/06,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",90,"11,997",-54.28%,"3,020,936","852,312","223,104,353"
45,美國,最後的冰川,2022/07/02,豪華大戲院股份有限公司,IMAX Corporation,1,102,0.00%,"6,655",122,"8,320"
46,南韓,魔女二部曲：另一個她,2022/07/01,車庫娛樂股份有限公司,RELAY MOTION KFT.,17,468,-58.33%,"110,101","70,583","16,853,076"
47,美國,闇黑電話,2022/07/01,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,4,39,-79.14%,"10,055","32,109","7,890,027"
48,南韓,衝鋒戰士劇場版：翁法洛斯島的秘密,2022/07/01,華藝娛樂股份有限公司,"Choirock Contents Company Co.,Ltd.",1,10,-44.44%,"2,350","3,584","851,816"
49,日本,名偵探柯南 萬聖節的新娘,2022/06/30,普威爾國際股份有限公司,株式会社トムス・エンタテインメント,85,"11,408",-38.21%,"2,817,785","462,443","116,231,469"
50,南韓,嬰兒轉運站,2022/06/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,7,344,4.24%,"78,245","59,496","14,552,963"
51,法國,越界分身,2022/06/24,本萃電影有限公司,CHARADES,2,126,80.00%,"11,340",687,"122,795"
52,匈牙利,忌妒的藍圖,2022/06/24,可樂藝術文創股份有限公司,FILMS BOUTIQUE SAS,1,56,154.55%,"8,960",832,"180,013"
53,波蘭,拜金女王的性愛派對,2022/06/24,仲業股份有限公司,"Cinema Management Group,LLC",1,129,20.56%,"7,095","4,291","978,071"
54,美國,貓王艾維斯,2022/06/23,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,7,320,1.91%,"51,517","38,010","9,680,306"
55,美國,巴斯光年,2022/06/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",6,349,6.08%,"71,010","168,456","41,745,152"
56,中華民國,台灣男子葉石濤,2022/06/17,茂樹電影有限公司,"茂樹電影有限公司,高雄人",1,72,0.00%,"18,000","9,844","2,177,523"
57,美國,午後彌撒,2022/06/17,好威映象有限公司,Kinology,2,110,0.92%,"13,110","1,797","385,224"
58,英國,利奥波德城,2022/06/14,威秀影城股份有限公司,Royal National Theatre,1,41,95.24%,"25,720",189,"119,380"
59,日本,如果30歲還是處男，似乎就能成為魔法師【後篇】,2022/06/12,車庫娛樂股份有限公司,TV TOKYO CORPORATION,1,80,0.00%,"16,800",397,"95,450"
60,日本,如果30歲還是處男，似乎就能成為魔法師【前篇】,2022/06/11,車庫娛樂股份有限公司,TV TOKYO CORPORATION,1,80,0.00%,"16,800",362,"86,760"
61,英國,伊恩•麥克連 80歲個人秀巡迴演出,2022/06/11,威秀影城股份有限公司,Royal National Theatre,1,10,-85.29%,"6,920",376,"256,780"
62,日本,餘命10年,2022/06/10,車庫娛樂股份有限公司,WARNER BROS. JAPAN LLC,10,524,-32.56%,"126,747","74,691","18,698,552"
63,英國,羅密歐與茱麗葉,2022/06/10,威秀影城股份有限公司,Royal National Theatre,1,14,133.33%,"9,560",223,"148,820"
64,美國,侏羅紀世界: 統霸天下,2022/06/08,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,69,"4,177",-42.28%,"1,002,558","1,268,734","332,597,810"
65,美國,進擊的地才,2022/06/03,仲業股份有限公司,"The Novice,LLC",2,120,0.00%,"9,960",709,"141,953"
66,法國,失速母親,2022/06/02,好威映象有限公司,Be For Films,2,63,-52.27%,"5,175","1,731","287,634"
67,法國,好好說再見,2022/05/27,中影股份有限公司,STUDIOCANAL,1,14,-62.16%,"2,240","1,834","394,890"
68,美國,捍衛戰士: 獨行俠,2022/05/23,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,92,"35,286",-27.11%,"9,410,374","2,568,790","701,468,867"
69,美國,最後的生存者,2022/05/20,原創娛樂股份有限公司,Vertical Entertainment,1,35,-47.76%,"1,925",830,"108,650"
70,日本,輪到你了 劇場版,2022/05/13,天馬行空數位有限公司,Nippon Television Network Corporation,1,74,94.74%,"11,840","3,335","808,537"
71,英國,鯊顫,2022/05/13,威視股份有限公司,ALTITUDE FILM SALES LIMITED,1,21,-52.27%,"2,310","4,588","911,199"
72,美國,奇異博士2：失控多重宇宙,2022/05/04,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",4,698,74.06%,"56,336","929,070","244,320,530"
73,南韓,超跑斯特拉,2022/04/29,英屬維京群島商高捷全球開發有限公司 台灣分公司,"FINECUT CO.,LTD",1,27,-71.88%,"3,197","3,437","726,501"
74,美國,記憶殺神,2022/04/29,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",1,17,-83.50%,"2,720","19,183","4,246,625"
75,美國,媽的多重宇宙,2022/04/22,薩摩亞商雄讚股份有限公司台灣分公司,A24 INTERNATIONAL LLC,3,364,-24.64%,"33,397","274,961","67,860,268"
76,美國,怪獸與鄧不利多的秘密,2022/04/14,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,403,-29.79%,"42,605","477,946","124,332,672"
77,日本,電影版 如果30歲還是處男，似乎就能成為魔法師,2022/04/08,車庫娛樂股份有限公司,TV TOKYO CORPORATION,1,60,0.00%,"12,600","46,552","11,222,099"
78,英國,餐廳失控夜,2022/04/01,傳影互動股份有限公司,CHARADES,1,39,0.00%,"4,570","3,280","732,470"
79,美國,音速小子 2,2022/04/01,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,10,-72.97%,"1,100","65,214","15,259,948"
80,美國,全面掃蕩,2022/03/18,天馬行空數位有限公司,Atrium Productions Kft.,1,112,30.23%,"13,644","2,014","358,421"
81,美國,壞蛋聯盟,2022/03/18,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,34,142.86%,"3,740","74,211","17,543,405"
82,日本,劇場版 咒術迴戰 0,2022/02/24,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co.,Ltd.",2,119,27.96%,"30,980","893,557","232,231,438"
83,中華民國,愛別離苦,2022/02/18,後場音像紀錄工作室有限公司,後場音像紀錄工作室有限公司,1,40,0.00%,"9,200","6,884","1,518,697"
