排行,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
72,英國,黑水巷,2024/06/18,仲業股份有限公司,GEM Entertainment Kft.,1,16,-61.90%,"2,880","1,429","355,546"
73,日本,完美配對謀殺案,2024/06/14,華映國際文創股份有限公司,角川映畫株式會社,1,35,9.38%,"5,130","5,613","1,351,544"
74,美國,腦筋急轉彎2,2024/06/13,台灣華特迪士尼股份有限公司,BUENA VISTA INTERNATIONAL  INC.,57,"4,820",-61.81%,"1,243,549","1,911,375","510,516,560"
75,美國,加菲貓：農場大冒險,2024/06/07,網銀國際影視股份有限公司,Sony Pictures Releasing,1,204,-7.69%,"11,220","70,026","17,382,008"
76,印尼,鬼咧號,2024/06/07,威視股份有限公司,MVP Pictures (PT Tripar Multivision Plus Tbk),1,46,64.29%,"8,280","26,122","6,581,841"
77,美國,絕地戰警：生死與共,2024/06/05,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,742,71.76%,"67,870","295,117","80,418,137"
78,日本,刀劍亂舞 迴 -虛傳 燃燒的本能寺- 【後篇】,2024/06/02,天馬行空數位有限公司,Marvelous Inc.,1,0,0.00%,0,"2,126","578,475"
79,美國,芙莉歐莎：瘋狂麥斯傳奇篇章,2024/05/22,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,163,-45.67%,"15,340","192,283","54,576,959"
80,日本,刀劍亂舞 迴 -虛傳 燃燒的本能寺- 【前篇】,2024/05/19,天馬行空數位有限公司,Marvelous Inc.,1,0,0.00%,0,"3,699","1,016,082"
81,英國,小熊維尼2：噬血維尼,2024/05/17,可樂藝術文創股份有限公司,PREMIERE ENTERTAINMENT GROUP LLC,1,71,0.00%,"3,905","2,640","658,060"
82,香港,九龍城寨之圍城,2024/05/17,華映國際文創股份有限公司,寰亞電影製作有限公司##無限動力實業有限公司##天下一電影製作有限公司##銀都機構有限公司##聯瑞（上海）影業有限公司##浙江橫店影業有限公司##上海淘票票影視文化有限公司##浙江聯瑞木馬文化傳媒有限公司##北京微夢創科網絡技術有限公司##江蘇省電影集團有限公司,3,536,-16.25%,"53,550","186,484","48,305,929"
83,中國大陸,沉默筆錄,2024/05/17,凱佳國際有限公司,上海淘票票影視文化有限公司##北京中導協文化發展有限公司##北京盛煜天桐文化集團有限公司,1,23,-76.77%,"1,265",392,"60,504"
84,中華民國,我在這裡等你,2024/05/10,威視股份有限公司,抓馬文化股份有限公司,1,36,50.00%,"6,480","18,630","4,914,430"
85,美國,猩球崛起：王國誕生,2024/05/08,博偉電影股份有限公司,BUENA VISTA INTERNATIONAL  INC.,4,516,37.60%,"41,160","371,102","99,494,672"
86,日本,長夜盡頭的微光,2024/05/04,天馬行空數位有限公司,Hakuhodo DY music ## pictures Inc.,1,88,0.00%,"17,600","2,646","616,325"
87,新加坡,錢不夠用3：全部夠用,2024/04/30,華映國際文創股份有限公司,Clover Films##mm2 Entertainmen,1,19,-76.83%,"1,045","5,394","1,171,373"
88,英國,邪厄恩典,2024/04/26,光年映畫有限公司,BLUE FINCH FILM RELEASING LIMITED,1,4,-86.21%,610,"1,484","348,709"
89,日本,劇場版 排球少年!! 垃圾場的決戰,2024/04/12,薩摩亞商羚邦(亞洲)有限公司台灣分公司,Dentsu Tec Inc.,7,491,-37.93%,"135,179","931,394","267,166,384"
90,美國,功夫熊貓 4,2024/03/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,150,689.47%,"30,000","192,678","48,360,145"
91,丹麥,自由協議,2024/03/22,仲業股份有限公司,TRUSTNORDISK APS,1,34,-42.37%,"1,870","1,158","193,637"
92,中華民國,青春18×2 通往有你的旅程,2024/03/14,牽猴子股份有限公司,翻滾吧男孩電影有限公司##百聿數碼創意股份有限公司##眾合千澄影視文化傳媒有限公司##有戲娛樂股份有限公司##米神國際股份有限公司##霹靂國際多媒體股份有限公司##CyberAgent  Inc.##Cygames  Inc.##Happinet Phantom Studios Corporation##KDDI CORPORATION##Kansai Television Co. Ltd.##JR East Marketing ## Communications  Inc.,1,14,-30.00%,"2,800","294,050","75,771,438"
93,英國,巴黎，德州,2024/03/14,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,7,272,-40.22%,"68,482","9,666","2,388,006"
94,法國,再見機器人,2024/02/14,東昊影業有限公司,elle Driver,2,162,-18.18%,"42,015","63,640","16,099,717"
95,中華民國,小子,2024/02/08,延平影業有限公司,延平影業有限公司##良人行影業有限公司##大腕影業國際有限公司##阿榮影業股份有限公司##香港托特智能有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司,1,14,-58.82%,"2,520","13,513","3,379,829"
96,法國,墜惡真相,2024/01/27,好威映象有限公司,MK2 Films,1,38,-68.07%,"2,090","23,412","5,949,489"
97,德國,我的完美日常,2023/12/24,香港商甲上娛樂有限公司台灣分公司,THE MATCH FACTORY Gmbh,2,58,-41.41%,"14,025","41,192","10,163,328"
98,中華民國,BIG,2023/12/01,米倉影業股份有限公司,米倉影業股份有限公司##大誠保險經紀人股份有限公司##築間餐飲事業股份有限公司##泰豐禮品美術有限公司,2,122,-50.00%,"29,540","231,479","57,269,041"
99,日本,劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY1>,2023/09/22,曼迪傳播有限公司,Bandai Namco Filmworks Inc.,1,391,57.03%,"132,940","18,212","4,986,261"
100,日本,劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY2>,2023/09/22,曼迪傳播有限公司,Bandai Namco Filmworks Inc.,2,545,118.88%,"172,000","22,538","6,266,706"
101,日本,霍爾的移動城堡,2023/02/01,香港商甲上娛樂有限公司台灣分公司,Studio Ghibli Inc.,91,"14,587",-52.22%,"3,785,697","82,296","21,189,032"
102,泰國,記憶,2021/12/25,傳影互動股份有限公司,Kick The Machine Films,1,77,6.94%,"17,465","1,854","423,681"
103,日本,藍色恐懼：4K數位修復版,2020/07/17,光年映畫有限公司,MADHOUSE Inc.,1,108,-91.83%,"30,000","77,126","19,835,427"
