序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,南韓,王者製造,2022/12/02,華映娛樂股份有限公司,M LINE DISTRIBUTION,32,909,-13.76%,"203,434","1,963","447,544"
2,南韓,整形帝王,2022/12/02,車庫娛樂股份有限公司,RELAY MOTION KFT.,60,"4,285",-4.74%,"972,536","8,783","2,021,069"
3,日本,還有愛的日子,2022/12/02,海鵬影業有限公司,MK2 FILMS,14,538,28.71%,"114,413",956,"204,778"
4,印度,梵天神器：滅世開端,2022/12/02,原創娛樂股份有限公司,STAR INDIA PRIVATE LIMITED,36,"1,663",-13.52%,"459,709","3,586","998,662"
5,日本,通往夏天的隧道，再見的出口,2022/12/02,車庫娛樂股份有限公司,RELAY MOTION KFT.,64,"16,092",-2.93%,"3,990,026","32,670","8,100,590"
6,美國,暴戾夜,2022/12/02,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,"12,213",16.02%,"2,945,397","22,740","5,519,582"
7,中國大陸,四海,2022/12/02,恆星多媒體股份有限公司,"上海亭東影業有限公司,阿里巴巴影業（北京）有限公司,新疆博納潤澤文化傳媒有限公司,霍爾果斯聯瑞影業有限公司,中國電影股份有限公司,天津貓眼微影文化傳媒有限公司,浙江橫店影業有限公司,上海電影（集團）有限公司,果麥文化傳媒股份有限公司,海口那可是家大影視文化有限公司,融創未來文化娛樂（北京）有限公司,北京國影縱橫電影發行有限公司,廈門人馬文化傳媒有限公司,北京耀影電影發行有限公司,霍爾果斯有忻影業有限公司,北京微夢創科網絡技術有限公司,抖音文化（廈門）有限公司",1,42,-78.46%,"9,650",237,"53,175"
8,日本,蒲公英,2022/12/02,台北双喜電影發行股份有限公司,"Itami Productions Co., Ltd.",14,904,74.85%,"203,860","1,421","321,233"
9,美國,五星饗魘,2022/12/02,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",80,"24,549",35.43%,"6,188,071","42,676","10,781,237"
10,英國,如果驢知道,2022/12/02,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,11,928,57.02%,"219,158","1,519","366,347"
11,瑞士,女孩與蜘蛛,2022/12/02,好威映象有限公司,Cercamon MFZE,10,89,-2.20%,"17,875",180,"37,237"
12,美國,決戰38度線,2022/11/30,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS, LLC",74,"13,123",-22.24%,"3,139,307","30,000","7,225,806"
