序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,印尼,網紅教慾,2024/01/12,可樂藝術文創股份有限公司,PT.KHARISMA STARVISION PLUS,14,200,42.86%,"45,710",340,"77,438"
2,美國,蜂刑者,2024/01/12,車庫娛樂股份有限公司,RELAY MOTION KFT.,77,"70,622",54.49%,"18,404,578","116,336","30,291,470"
3,南韓,露梁：死亡之海,2024/01/12,車庫娛樂股份有限公司,RELAY MOTION KFT.,61,"2,292",2.41%,"575,448","4,530","1,159,127"
4,日本,細野晴臣：再會美國,2024/01/12,車庫娛樂股份有限公司,RELAY MOTION KFT.,10,54,157.14%,"12,255",75,"17,245"
5,中國大陸,消失的她,2024/01/12,英屬維京群島商高捷全球開發有限公司 台灣分公司,北京壹同傳奇影視文化有限公司##上海淘票票影視文化有限公司##上海電影（集團）有限公司##上海壹同影視製作有限公司##壹同科影（上海）文化有限公司##華文映像（北京）影業有限公司##珠江影業傳媒股份有限公司##北京微夢創科網路技術有限公司##抖音文化（廈門）有限公司,13,391,-5.56%,"90,920",805,"184,805"
6,日本,少女與戰車 劇場版,2024/01/12,華藝娛樂股份有限公司,HAKUHODO DY MUSIC ## PICTURES,6,"2,035",0.00%,"905,285","2,035","905,285"
7,香港,爆裂點,2024/01/11,華映國際文創股份有限公司,英皇影業有限公司##上海博納影文化傳媒有限公司##華夏電影發行有限責任公司##華文映象（北京）影業有限公司##北京高興文化傳媒有限公司##博納影業集團股份有限公司##北京博納集團影業有限公司##上海梅龍鎮廣場環藝娛樂管理有限公司##博納影視娛樂有限公司,20,918,-0.33%,"217,828","1,839","441,202"
8,日本,魔法公主,2024/01/05,香港商甲上娛樂有限公司台灣分公司,Studio Ghibli Inc.,83,"29,465",-27.99%,"7,499,631","101,731","26,289,293"
9,美國,叛諜檔案,2024/01/05,仲業股份有限公司,MILLENNIUM MEDIA  INC.,75,771,-81.01%,"171,174","11,153","2,577,464"
10,南韓,韓國都市恐怖怪談：詭手,2024/01/05,水元素文化傳媒有限公司,INOLMEDIA,10,35,-86.54%,"7,870",670,"171,443"
11,中國大陸,怒潮,2024/01/05,英屬維京群島商映畫聯合有限公司台灣分公司,愛奇藝影業(上海)有限公司##廈門恒業影業有限公司##天津貓眼微影文化傳媒有限公司##上海貓眼影業有限公司##廈門恒業牧馬人影視文化傳播有限公司##上海淘票票影視文化有限公司##之江電影集團有限公司##江蘇幸福藍海影業有限責任公司##北京光線影業有限公司##合肥市電影發行放映有限公司##華文映像(北京)影業有限公司##西安曲江影視投資(集團)有限公司##內蒙古電影集團有限責任公司##重慶電影集團有限公司##蘇州藍白紅影業有限公司##雲南金彩視界影業股份有限公司##蘇州火花閃耀娛樂有限公司##中引文化傳媒(武漢)有限公司##北京團圓影業有限公司##深圳市諦瓏影業有限公司,60,"1,122",-78.06%,"263,211","11,663","2,772,233"
12,南韓,鬼媽媽的假期,2024/01/05,車庫娛樂股份有限公司,RELAY MOTION KFT.,47,"1,036",-69.69%,"255,429","7,577","1,848,208"
13,日本,月,2024/01/05,天馬行空數位有限公司,Free Stone Productions Co. Ltd.,12,109,-75.62%,"23,533",945,"206,021"
14,德國,巴赫曼-沙漠追愛之旅,2024/01/05,本萃電影有限公司,The Match Factory GmbH,4,21,-85.21%,"4,800",273,"58,269"
15,法國,魔籽公主,2024/01/05,佳映娛樂國際股份有限公司,BE FOR FILMS,4,10,-87.18%,"2,220",174,"38,743"
16,西班牙,雙眼之間,2024/01/05,東昊影業有限公司,Film Factory Entertainment,8,177,-63.80%,"41,450",997,"238,670"
17,南韓,電影版 淘氣小企鵝啵樂樂 超級明星大冒險,2023/12/29,車庫娛樂股份有限公司,RELAY MOTION KFT.,6,15,-83.87%,"3,616","2,561","624,184"
18,泰國,情牽浮生戲,2023/12/29,天馬行空數位有限公司,Be On Cloud Co.  Ltd,6,38,-83.11%,"9,485","1,987","473,438"
19,日本,窗邊的小荳荳,2023/12/29,薩摩亞商雄讚股份有限公司台灣分公司,Toho Co.  Ltd.,86,"4,492",-7.19%,"1,041,538","13,516","3,150,433"
20,美國,星願,2023/12/29,台灣華特迪士尼股份有限公司,BUENA VISTA INTERNATIONAL  INC.,94,"21,323",-11.18%,"5,212,388","172,599","43,394,622"
21,法國,愛情轉移,2023/12/29,好威映象有限公司,SBS Distribution,7,82,-64.04%,"18,845","1,522","348,263"
22,土耳其,春風勁草,2023/12/29,燕翼企業有限公司,PLAYTIME,2,74,-58.19%,"16,760","1,162","263,185"
23,香港,金手指,2023/12/29,英屬維京群島商高捷全球開發有限公司 台灣分公司,英皇影業有限公司##天津貓眼微影文化傳媒有限公司##新暉映影視文化(深圳)有限公司##上海貓眼影業有限公司##北京秋豪影視有限公司##華文映像(北京)影業有限公司##沃栢嘉文化傳播(上海)有限公司##尚乘數字媒體有限公##北京微夢創科網絡技術有限公司,80,"14,041",-42.54%,"3,634,108","125,673","32,017,743"
24,英國,藍色的你,2023/12/29,傳影互動股份有限公司,FILM CONSTELLATION LTD.,1,133,0.00%,"29,260",266,"58,520"
25,日本,日安，我的母親,2023/12/25,原創娛樂股份有限公司,Shochiku.  Ltd.,28,618,52.97%,"124,215","1,022","207,314"
26,日本,銀河鐵道之夜,2023/12/22,中影股份有限公司,Gold View Co.  Ltd.,3,100,-22.48%,"23,510","1,561","369,965"
27,美國,贖罪日之戰,2023/12/22,采昌國際多媒體股份有限公司,EMBANKMENT FILMS LIMITED,4,29,-75.42%,"7,105","3,411","779,429"
28,泰國,送葬人,2023/12/22,車庫娛樂股份有限公司,RELAY MOTION KFT.,14,338,-82.00%,"79,240","20,695","5,059,110"
29,日本,寬鬆世代又怎樣：INTERNATIONAL,2023/12/22,車庫娛樂股份有限公司,RELAY MOTION KFT.,4,20,-67.74%,"4,300","2,891","705,560"
30,瑞典,巫術,2023/12/22,仲業股份有限公司,TRUSTNORDISK APS,1,3,-75.00%,680,476,"115,707"
