序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,聽見歌 再唱,2021/04/16,美商華納兄弟（遠東）股份有限公司台灣分公司,"美商華納兄弟(遠東)股份有限公司台灣分公司,香港商福斯傳媒有限公司台灣分公司,海樂影業股份有限公司,有得電影有限公司,高雄人,十三月股份有限公司",98,"106,052",97.60%,"24,502,498","172,274","39,964,636"
2,日本,名偵探柯南 緋色的彈丸,2021/04/16,向洋影業有限公司,株式会社トムス・エンタテインメント,98,"91,749",-13.22%,"21,753,480","197,479","46,807,978"
3,日本,劇場版 假面騎士ZERO-ONE REAL×TIME+劇場短篇 假面騎士聖刃 不死鳥的劍士與破滅之書,2021/04/16,木棉花國際股份有限公司,"TOEI COMPANY,LTD",12,"3,007",-39.99%,"756,738","8,018","2,033,925"
4,日本,樹海村,2021/04/16,車庫娛樂股份有限公司,RELAY MOTION KFT.,41,"2,664",-34.66%,"626,687","6,741","1,600,954"
5,法國,佳麗村三姊妹,2021/04/16,海鵬影業有限公司,PRIME ENTERTAINMENT GROUP,14,509,85.09%,"110,060",784,"172,051"
6,日本,跟著奈良美智去旅行 經典重映,2021/04/16,天馬行空數位有限公司,TOHOKUSHINSHA FILM CORPORATION,12,473,68.33%,"101,945",882,"191,373"
7,冰島,暖心龍蝦湯,2021/04/16,友璽影音股份有限公司,WIDE - International Sales & Production,4,311,53.96%,"69,995",513,"115,821"
8,日本,純情學生俏家教,2021/04/16,英屬維京群島商映畫聯合有限公司台灣分公司,HAPPINET CORPORATION,3,13,-43.48%,"2,560",36,"7,310"
9,南韓,永生戰,2021/04/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"CJ ENM CO.,LTD.",92,"51,383",-51.86%,"12,232,319","158,999","37,860,379"
10,英國,鐵幕行動,2021/04/09,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,50,"4,022",-62.40%,"1,007,856","27,451","6,659,792"
11,義大利,郵差,2021/04/09,香港商甲上娛樂有限公司台灣分公司,Variety Distribution Srl,20,"1,380",-35.48%,"301,224","5,259","1,165,340"
12,羅馬尼亞,一場大火之後,2021/04/09,好威映象有限公司,Cinephil - Philippa Kowarsky Productions Ltd.,10,680,-2.72%,"148,173","2,033","438,351"
13,中華民國,多肉女子生存之道,2021/04/09,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,6,642,-17.27%,"102,640","1,933","268,140"
14,日本,歡樂時光,2021/04/09,東昊影業有限公司,Neopa Inc,4,161,-46.51%,"35,505",805,"179,200"
15,美國,友你真好,2021/04/09,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,10,137,-82.53%,"27,791","2,411","531,967"
16,法國,淚水成鹽,2021/04/09,聯影企業股份有限公司,WILD BUNCH,4,96,-61.90%,"18,800",552,"111,675"
17,美國,私刑救援,2021/04/09,天馬行空數位有限公司,"Ameriean Cinema Inspires,Inc.",7,61,-87.47%,"14,040","1,532","344,441"
18,日本,戀愛腦內諮商室,2021/04/09,原創娛樂股份有限公司,"Nagoya Broadcasting Network Co.,Ltd.",4,51,-70.86%,"12,715",721,"166,490"
19,美國,殺戮輪迴,2021/04/09,海樂影業股份有限公司,"Epic Pictures Group,Inc.",7,24,-93.06%,"5,455","1,042","234,586"
20,美國,真人快打,2021/04/08,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"15,871",-59.82%,"3,926,308","116,245","28,477,999"
21,南韓,逐夢練習曲,2021/04/08,采昌國際多媒體股份有限公司,Purple Plan Pte Ltd,12,561,-63.88%,"135,442","6,349","1,525,887"
22,馬來西亞,南巫,2021/04/02,傳影互動股份有限公司,BENED GOBAL SDN BHD,8,779,-32.79%,"185,645","7,888","1,861,622"
23,中華民國,當男人戀愛時,2021/04/01,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,"296,559",-28.32%,"71,174,265","1,380,074","329,450,716"
24,美國,無名弒,2021/04/01,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,74,"4,762",-61.47%,"1,158,400","102,607","24,136,650"
25,中華民國,男人與他的海,2021/04/01,牽猴子整合行銷股份有限公司,黑糖媒體創意有限公司,21,"4,843",-15.77%,"1,097,762","20,210","4,564,219"
26,日本,青春電幻物語：數位修復版,2021/04/01,光年映畫有限公司,Rockwell Eyes Inc.,5,360,-49.44%,"87,235","4,080","941,333"
27,南韓,衝鋒戰士 劇場版：恐龍世代,2021/04/01,華藝娛樂股份有限公司,"Choirock Contents Company Co., Ltd",8,260,-51.49%,"60,181","7,989","1,881,610"
28,日本,煙囪小鎮的普佩,2021/04/01,車庫娛樂股份有限公司,"DENTSU,INC.",14,190,-81.17%,"45,281","18,862","4,472,708"
29,美國,神鬼網戰,2021/04/01,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,2,21,-85.42%,"4,495","5,344","1,222,786"
30,南韓,盡孝的滋味,2021/04/01,海鵬影業有限公司,WIDE HOUSE,2,16,-48.39%,"3,590",543,"109,290"
31,美國,誰殺了大個子,2021/04/01,華映娛樂股份有限公司,"Good Films Enterprises,LLC",3,13,-94.61%,"3,035","6,323","1,453,152"
32,英國,BTS崛起傳奇,2021/04/01,一念間電影有限公司,Entertain Me Productions LTD,2,7,-84.78%,"1,505","2,011","501,369"
33,法國,警慌失措,2021/04/01,英屬維京群島商高捷全球開發有限公司 台灣分公司,STUDIOCANAL SAS,2,6,-96.08%,"1,352","6,482","1,511,555"
34,日本,令人討厭的松子的一生,2021/03/26,前景娛樂有限公司,"TOKYO BROADCASTING SYSTEM TELEVISION,INC.",8,453,-41.47%,"106,540","9,316","2,243,372"
35,白俄羅斯,波斯語課,2021/03/26,車庫娛樂股份有限公司,MEMENTO FILMS INTERNATIONAL,4,234,-57.61%,"51,900","8,378","1,942,374"
36,英國,盜夢偵探,2021/03/26,向洋影業有限公司,PARK CIRCUS LIMITED,3,83,-56.08%,"24,100","4,521","1,144,587"
37,日本,歡樂時光,2021/03/26,東昊影業有限公司,Neopa Inc,1,34,-70.94%,"7,770",981,"234,218"
38,西班牙,顫抖的慾望 經典數位修復,2021/03/26,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,1,3,-40.00%,530,606,"122,260"
39,美國,哥吉拉大戰金剛,2021/03/24,美商華納兄弟(遠東)股份有限公司台灣分公司,美國 WARNER BROS. PICTURES INTERNATIONAL.,97,"29,861",-49.63%,"7,776,559","1,379,198","352,933,021"
40,美國,游牧人生,2021/03/19,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",40,"3,086",-20.32%,"734,499","52,256","12,448,367"
41,中華民國,削瘦的靈魂,2021/03/19,目宿媒體股份有限公司,目宿媒體股份有限公司,5,288,152.63%,"61,280","2,180","489,804"
42,中華民國,愛.殺,2021/03/19,金禾創意股份有限公司,金禾創意股份有限公司##杰德創意影音管理股份有限公司,2,72,-10.00%,"19,345","5,352","1,261,617"
43,美國,愛情瞎攪禍,2021/03/19,天馬行空數位有限公司,GEM ENTERTAINMENT KFT.,1,38,35.71%,"5,640","1,198","263,646"
44,日本,鳴鳥不飛：Don’t stay gold,2021/03/19,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,10,30,-37.50%,"4,940","4,451","713,210"
45,中華民國,動保蝙蝠俠,2021/03/19,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,1,12,-96.80%,"1,920","2,456","351,670"
46,美國,花漾女子,2021/03/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,17,275,46.28%,"66,649","30,987","7,314,373"
47,法國,我愛你，你愛她，她愛他,2021/03/12,捷傑有限公司,ELLE DRIVER,1,40,66.67%,"6,150","1,182","252,201"
48,南韓,今天決定我愛你,2021/03/12,華映娛樂股份有限公司,Acemaker Movie Works,2,46,0.00%,"5,780","13,247","3,094,273"
49,西班牙,倒數第N次分手,2021/03/12,天馬行空數位有限公司,Media Luna New Films UG,1,18,-30.77%,"2,880",446,"92,194"
50,美國,尋龍使者：拉雅,2021/03/05,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",29,"2,295",0.79%,"567,934","247,938","59,966,641"
51,丹麥,醉好的時光,2021/03/05,好威映象有限公司,TrustNordisk,7,295,-31.55%,"71,666","16,495","3,884,010"
52,中華民國,東經北緯,2021/03/05,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"緒虎製作有限公司,金騰國際傳媒股份有限公司,墨爾有限公司,德安信股份有限公司,三皇生物科技股份有限公司",3,294,-6.96%,"63,435","13,118","3,084,873"
53,美國,鬼故事收藏館,2021/03/05,峻龍國際有限公司,"Fandom Holdings,LLC.",2,52,0.00%,"8,320","12,882","2,975,303"
54,日本,淺田家！,2021/03/05,采昌國際多媒體股份有限公司,"Toho Co.,Ltd.",1,16,-83.84%,"3,965","23,170","5,475,676"
55,中華民國,聽見臺灣,2021/03/05,沃土影像製作有限公司,沃土影像製作有限公司,1,6,-88.46%,"1,385","2,543","534,160"
56,日本,銀魂 THE FINAL,2021/02/26,薩摩亞商羚邦(亞洲)有限公司台灣分公司,Dentsu Tec Inc.,10,382,"1,057.58%","94,826","40,481","9,718,284"
57,中國大陸,刺殺小說家,2021/02/26,原創娛樂股份有限公司,"抖音文化（廈門）有限公司,東方嘉影電視院線傳媒股份公司,華策影業（天津）有限公司,深圳市一怡以藝文化傳媒有限公司,郭帆文化傳媒（北京）有限公司,天津十間影視傳媒有限公司,中青新影文化傳媒（北京）有限公司,天津貓眼微影文化傳媒有限公司,廣東優創合影文化傳播股份有限公司,之升（上海）影業有限公司,融創未來文化娛樂（北京）有限公司,霍爾果斯聚合影聯文化傳媒有限公司,上海阿里巴巴影業有限公司,北京自由酷鯨影業有限公司,上海尚世影業有限公司,優酷電影有限公司",5,288,540.00%,"24,045","16,133","3,830,484"
58,德國,100%小狼人,2021/02/26,華映娛樂股份有限公司,Studio 100 Film GmbH,2,400,"19,900.00%","20,315","22,872","5,206,733"
59,中華民國,複身犯,2021/02/26,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,2,259,0.00%,"13,805","62,001","14,589,893"
60,美國,結婚計念日,2021/02/19,薩摩亞商雄讚股份有限公司台灣分公司,STUDIOCANAL (“SC”),5,185,-33.21%,"13,320","10,911","2,388,996"
61,美國,湯姆貓與傑利鼠,2021/02/10,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,643,0.00%,"40,050","120,197","28,203,553"
62,中華民國,跟你老婆去旅行,2021/02/10,好好看文創有限公司,"滿滿額娛樂股份有限公司,好好看文創有限公司,上環國際多媒體娛樂股份有限公司,崴森管理顧問股份有限公司,羚邦控股有限公司,華納集團,中天星辰(香港)影業有限公司",6,406,28.48%,"31,800","56,151","13,130,640"
63,英國,偷天行動,2021/02/10,天馬行空數位有限公司,Arclight Films International Pty Ltd.,1,111,-35.84%,"6,105","9,696","2,093,025"
64,日本,STAND BY ME 哆啦A夢2,2021/02/10,車庫娛樂股份有限公司,"TOHO CO.,LTD.",1,9,-90.43%,"2,025","168,060","41,202,358"
65,日本,我啊，走自己的路,2021/02/05,天馬行空數位有限公司,"ASMIK ACE,INC",1,67,59.52%,"5,750","3,522","722,711"
66,德國,諾亞方舟大冒險,2021/02/05,本萃電影有限公司,Telepool GmbH,2,43,-86.65%,"2,260","9,842","1,962,070"
67,英國,大鼻子情聖,2021/02/01,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,47,0.00%,"32,240",750,"510,120"
68,中華民國,緝魂,2021/01/29,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",8,780,43.38%,"65,080","214,169","50,741,299"
69,泰國,騙騙愛上你,2021/01/29,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 COMPANY LIMITED,5,295,-10.33%,"19,090","9,072","1,927,533"
70,巴西,馬里蓋拉：革命先鋒,2021/01/29,原創娛樂股份有限公司,Elle Driver SAS,1,42,27.27%,"4,740",292,"52,410"
71,俄羅斯,海豚總動員,2021/01/29,可樂藝術文創股份有限公司,Luminescence Kft.,1,10,-94.54%,500,"11,816","2,375,473"
72,美國,細物警探,2021/01/28,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,148,-50.67%,"14,320","47,225","10,874,507"
73,日本,想見你的愛,2021/01/22,威視股份有限公司,GAGA CORPORATION,6,267,-14.97%,"21,590","18,499","4,328,107"
74,愛爾蘭,通靈駕訓班,2021/01/22,海鵬影業有限公司,"Epic Pictures Group, Inc.",1,102,0.00%,"8,940","3,821","852,983"
75,西班牙,她們玩到掛,2021/01/22,天馬行空數位有限公司,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,2,77,48.08%,"7,730","1,065","192,045"
76,日本,約定的夢幻島,2021/01/20,香港商甲上娛樂有限公司台灣分公司,PONY CANYON INC.,1,41,17.14%,"6,290","33,945","8,054,151"
77,英國,議事錄,2021/01/16,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,5,34,0.00%,"22,360",392,"251,040"
78,英國,倫敦生活,2021/01/15,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,4,66,312.50%,"43,040",766,"527,800"
79,美國,馬德里金庫盜數90分鐘,2021/01/15,薩摩亞商雄讚股份有限公司台灣分公司,TF1 DROITS AUDIOVISUELS.,5,405,-39.10%,"27,350","118,826","27,419,047"
80,日本,死亡醫生的遺產-BLACK FILE-,2021/01/15,英屬維京群島商高捷全球開發有限公司 台灣分公司,Nippon Television Network Corporation,2,50,-32.43%,"6,810","10,930","2,458,082"
81,日本,凶宅怪談,2021/01/15,海樂影業股份有限公司,"Shochiku Co.,Ltd.",1,24,-41.46%,"3,600","11,457","2,654,464"
82,香港,拆彈專家2,2020/12/31,華映娛樂股份有限公司,寰宇娛樂有限公司##阿里巴巴影業(北京)有限公司##廣州市英明文化傳播有限公司##寰宇縱橫世紀電影發行（北京）有限公司##映藝娛樂有限公司##尚乘數字媒體有限公司##寰宇影片發行有限公司,8,322,-59.29%,"26,595","389,003","91,694,774"
83,美國,靈魂急轉彎,2020/12/25,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,61,662.50%,"6,920","765,046","184,437,966"
84,美國,神力女超人1984,2020/12/17,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,189,-10.85%,"12,405","985,915","249,456,307"
85,中華民國,孤味,2020/11/06,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,1,54,0.00%,"12,540","828,449","190,879,525"
86,日本,鬼滅之刃劇場版 無限列車篇,2020/10/30,木棉花國際股份有限公司,Aniplex Inc.,3,155,-29.22%,"38,687","2,600,393","634,128,263"
87,法國,燃燒女子的畫像,2019/12/20,東昊影業有限公司,MK2 Films,1,30,0.00%,"6,300","15,789","3,474,778"
88,日本,乘浪之約,2019/08/09,台北双喜電影發行股份有限公司,Fuji Creative Coporation,1,3,0.00%,300,"13,227","3,069,027"
89,加拿大,哈柏太空之旅 3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,1,100.00%,150,747,"109,450"
90,加拿大,深海獵奇 3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,"1,473","181,279"
91,美國,2001太空漫遊,2018/06/04,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,1,0.00%,210,"4,317","1,056,731"
