序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中國大陸,一直一直都很喜歡你,2023/06/30,原創國際貿易有限公司,"九洲音像出版公司,超娛影業（佛山）有限公司,超娛影業（深圳）有限公司,廣東珠影影視製作有限公司,北京環鷹時代文化傳媒有限公司",19,771,13.22%,"192,268","1,452","362,576"
2,泰國,幽魂娜娜：重生,2023/06/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,50,"4,311",-25.40%,"1,080,807","10,090","2,559,297"
3,美國,變身少女露比,2023/06/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,91,"8,105",-18.30%,"1,972,307","18,025","4,437,996"
4,日本,SSSS.DYNAZENON 劇場總集篇,2023/06/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,56,510,-59.94%,"121,844","1,783","432,496"
5,日本,惡靈古堡：死亡島,2023/06/29,普威爾國際股份有限公司,Sony Pictures Entertainment Inc.,11,"3,942",-38.34%,"1,024,441","10,335","2,700,972"
6,美國,印第安納瓊斯：命運輪盤,2023/06/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",99,"55,627",-35.32%,"15,277,819","141,637","39,675,173"
7,美國,元素方城市,2023/06/28,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",100,"93,542",423.17%,"23,553,955","111,422","28,028,749"
8,香港,命案,2023/06/26,采昌國際多媒體股份有限公司,"MakerVille Company Limited,Noble Castle Asia Limited",29,"1,158",-41.98%,"278,403","3,154","752,475"
9,日本,SEE HEAR LOVE 看不見聽不見也愛你,2023/06/25,天馬行空數位有限公司,"TIME, Inc.",33,"2,591",131.34%,"652,987","4,440","1,244,667"
10,香港,別叫我”賭神”,2023/06/21,英屬維京群島商高捷全球開發有限公司 台灣分公司,"銀都機構有限公司,步登高影像有限公司,博納影視娛樂有限公司,北京博納影業集團有限公司,阿里巴巴影業(北京)有限公司,上海博納文化傳媒有限公司",25,713,-76.03%,"167,215","9,677","2,331,182"
11,南韓,貴公子,2023/06/21,車庫娛樂股份有限公司,RELAY MOTION KFT.,63,"3,462",-66.75%,"840,599","30,593","7,369,048"
12,日本,SSSS. GRIDMAN 劇場總集篇,2023/06/21,車庫娛樂股份有限公司,"Tsuburaya Productions Co., Ltd.",23,96,-85.23%,"22,875","2,477","608,082"
13,德國,淨化論,2023/06/21,海鵬影業有限公司,Telepool GmbH,11,259,-67.46%,"58,990","2,052","470,112"
14,日本,她喜歡的是,2023/06/21,車庫娛樂股份有限公司,RELAY MOTION KFT.,4,31,-86.10%,"7,690",641,"155,288"
