序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,波蘭,機遇之歌：數位修復版,2022/08/28,光年映畫有限公司,MK2 FILMS,15,"1,118","1,351.95%","243,838","1,195","259,933"
2,美國,孤兒怨2：最黑暗的過去,2022/08/26,寶嘉租賃股份有限公司,"FILM,TV HOUSE LIMITED",80,"24,953",9.01%,"6,155,490","47,844","11,869,914"
3,南韓,獵首密令,2022/08/26,英屬維京群島商高捷全球開發有限公司 台灣分公司,"MegaboxJoongang, Inc, PlusM.",79,"13,962",7.85%,"3,354,376","26,908","6,471,886"
4,日本,劇場版 五等分的新娘,2022/08/26,車庫娛樂股份有限公司,RELAY MOTION KFT.,31,"7,011",-23.42%,"1,791,766","16,166","4,170,229"
5,法國,蝙狐俠：英雄覺醒,2022/08/26,車庫娛樂股份有限公司,TF1 STUDIO,56,"4,265",-13.35%,"998,873","9,187","2,176,364"
6,日本,北齋：浮世繪傳奇,2022/08/26,傳影互動股份有限公司,SDP INC.,19,"2,146",14.70%,"472,237","4,017","899,277"
7,日本,特『刀劍亂舞-花丸-』～月之卷～,2022/08/26,天馬行空數位有限公司,Marvelous Inc.,20,"1,146",6.60%,"289,190","2,221","565,830"
8,美國,金甲部隊,2022/08/26,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,18,"1,006",10.67%,"245,275","1,915","472,580"
9,烏克蘭,格列佛遊記：重返小人國,2022/08/26,可樂藝術文創股份有限公司,All Rights Entertainment.Ltd,37,799,-39.24%,"184,696","2,114","493,233"
10,德國,米婭的精靈王國,2022/08/26,華映娛樂股份有限公司,Studio 100 Film GmbH,55,672,-55.73%,"151,767","2,190","500,150"
11,波蘭,大獲拳勝,2022/08/26,燕翼企業有限公司,LOCO FILMS,16,525,53.96%,"110,500",866,"184,126"
12,美國,探戈行不行,2022/08/26,春暉映像有限公司,"Vision Films,Inc",16,215,-51.03%,"43,015",654,"139,919"
13,日本,美國女孩的日本日記,2022/08/26,聯影企業股份有限公司,"Essen.Communications,Inc.",8,163,61.39%,"30,170",264,"50,375"
14,法國,夜色中的她,2022/08/26,佳映娛樂國際股份有限公司,CHARADES,4,49,32.43%,"11,080",86,"19,274"
15,中華民國,初戀慢半拍,2022/08/24,香港商甲上娛樂有限公司台灣分公司,"台灣大哥大股份有限公司 ,台北真好電影股份有限公司 ,良人行影業有限公司 ,宏將影業有限公司 ,時創影業股份有限公司,得利影視股份有限公司 ,聚星文創娛樂事業股份有限公司,喜滿客京華影城股份有限公司 ,威威巖娛樂製作有限公司 ,奇幻娛樂國際股份有限公司",91,"11,438",-14.27%,"2,740,684","24,780","6,001,824"
16,香港,神探大戰,2022/08/19,華映娛樂股份有限公司,"英皇影業有限公司, 英皇(北京)影視文化傳媒有限公司,北京上獅文化傳播有限公司,上海淘票票影視文化有限公司,華文映像(北京)影業有限公司",69,"2,297",-67.99%,"543,080","17,350","4,027,606"
17,美國,獸,2022/08/19,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,87,"1,460",-75.91%,"351,187","14,057","3,334,877"
18,美國,天黑請斃命,2022/08/19,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,75,"1,057",-76.73%,"259,383","10,014","2,441,285"
19,南韓,韓山島海戰,2022/08/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,51,"1,089",-76.77%,"255,543","10,835","2,570,480"
20,日本,電影版 奇巧計程車：撲朔謎林,2022/08/19,曼迪傳播有限公司,TV TOKYO Corporation,25,763,-62.06%,"188,411","4,844","1,197,485"
21,日本,如月車站,2022/08/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,15,248,-82.93%,"59,902","3,238","799,705"
22,日本,xxxHOLiC 次元魔女,2022/08/19,天馬行空數位有限公司,"ASMIK ACE,INC.",17,206,-76.29%,"47,497","2,372","552,550"
23,德國,泳漾水男孩,2022/08/19,政駒實業有限公司,m-appeal world sales UG (haftungsbeschr),3,34,-84.47%,"7,545",452,"99,238"
24,日本,航海王劇場版 : 紅髮歌姬,2022/08/13,薩摩亞商雄讚股份有限公司台灣分公司,TOEI ANIMATION ENTERPRISES LIMITED.,97,"88,945",-59.19%,"23,401,507","522,532","139,635,341"
25,南韓,緊急迫降,2022/08/12,車庫娛樂股份有限公司,RELAY MOTION KFT.,73,"21,621",-43.99%,"5,312,054","162,109","39,704,330"
26,美國,不!,2022/08/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,73,"2,631",-64.94%,"680,383","48,927","12,818,012"
27,加拿大,沉默呼聲,2022/08/12,漂流木制作影視有限公司,Flying Clound Production Inc.,13,"1,275",-49.04%,"305,264","12,683","2,849,918"
28,塞爾維亞,黑貓白貓：4K數位修復版,2022/08/12,光年映畫有限公司,MK2 FILMS,6,201,-35.78%,"44,475","1,883","418,324"
29,英國,我們的英搖時光,2022/08/12,造次文化有限公司,Creation Stories Limited,4,86,-62.28%,"22,405","1,457","353,176"
30,法國,春日小戀曲,2022/08/12,傳影互動股份有限公司,LUXBOX SAS,1,5,-97.08%,"1,060","1,045","226,883"
31,法國,一萬個叢林夜,2022/08/12,海鵬影業有限公司,LE PACTE,2,1,-99.29%,240,852,"180,896"
32,美國,DC超級寵物軍團,2022/08/09,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,83,"3,155",-72.57%,"760,838","50,546","12,029,044"
33,日本,角落小夥伴電影版：藍色月夜的魔法之子,2022/08/05,威視股份有限公司,"ASMIK ACE,INC.",67,"2,531",-64.60%,"623,569","55,675","13,619,421"
34,加拿大,未來犯罪,2022/08/05,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,19,-65.45%,"4,930","4,000","948,838"
35,中華民國,我永遠永遠永遠愛你,2022/08/05,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,2,22,-96.18%,"3,940","2,114","338,880"
36,德國,非戀人絮語,2022/08/05,傳影互動股份有限公司,THE MATCH FACTORY GmbH,1,10,-86.11%,"2,120","1,728","387,995"
37,日本,蠟筆小新：幽靈忍者珍風傳,2022/08/04,木棉花國際股份有限公司,ADK EMOTIOS INC.,57,"6,063",-63.66%,"1,480,741","119,026","29,160,309"
38,美國,子彈列車,2022/08/03,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,94,"27,504",-44.24%,"7,016,608","418,361","108,225,107"
39,中華民國,民雄鬼屋,2022/07/29,采昌國際多媒體股份有限公司,"后花園數位影像製作有限公司,馬棋朵數位影像製作有限公司,采昌國際多媒體股份有限公司,皮諾丘電影事業有限公司,煉金術電影事業有限公司,罡風創意映像有限公司,有樂股份有限公司",32,"1,112",-70.97%,"265,360","119,860","29,495,151"
40,英國,法蘭克札帕：從前衛到當代,2022/07/29,造次文化有限公司,Great Point Media Limited,1,27,-69.32%,"7,260","1,679","414,617"
41,日本,特『刀劍亂舞-花丸-』～雪之卷～,2022/07/29,天馬行空數位有限公司,Marvelous Inc.,1,0,-100.00%,0,"4,852","1,233,431"
42,南韓,外星+人,2022/07/27,車庫娛樂股份有限公司,RELAY MOTION KFT.,2,54,-82.80%,"12,910","38,561","9,390,473"
43,日本,再見了，橡果兄弟！－奇蹟的暑假－,2022/07/25,木棉花國際股份有限公司,KADOKAWA CORPORATION,1,10,-62.96%,"2,290","2,618","660,354"
44,美國,喜悅：達賴喇嘛遇見屠圖主教,2022/07/22,佳映娛樂國際股份有限公司,"ro*co films international, llc",13,"1,127",-42.79%,"253,724","11,868","2,751,897"
45,中華民國,徘徊年代,2022/07/22,光元體影藝有限公司,"光元體影藝有限公司,傳影互動股份有限公司",1,291,69.19%,"66,930","3,939","890,370"
46,捷克,浪浪回家路,2022/07/22,原創娛樂股份有限公司,S-MEDIA.TV s.r.o.,1,60,114.29%,"9,600",416,"91,015"
47,芬蘭,當女孩戀愛時,2022/07/22,光年映畫有限公司,LevelK ApS,1,36,0.00%,"5,760","1,130","249,205"
