序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,媽的多重宇宙,2022/04/22,薩摩亞商雄讚股份有限公司台灣分公司,A24 INTERNATIONAL LLC,90,"91,039",85.48%,"22,421,471","140,427","34,547,075"
2,美國,超吉任務,2022/04/22,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,63,"13,919",3.21%,"3,288,890","27,405","6,503,332"
3,香港,重慶森林 4K數位修復版,2022/04/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Jet Tone Films Limited,20,"3,990",52.12%,"1,094,214","6,613","1,888,314"
4,越南,越驚,2022/04/22,采昌國際多媒體股份有限公司,Atrium Productions Kft.,43,"2,641",-23.91%,"621,860","6,112","1,447,445"
5,日本,急急復雞雞,2022/04/22,華映娛樂股份有限公司,Avex Picture Inc.,46,"1,077",-65.58%,"253,554","4,206","964,787"
6,日本,魔神英雄傳 七魂的龍神丸 -再會-,2022/04/22,提恩傳媒實業有限公司,株式会社サンライズ,10,558,-11.99%,"131,653","1,192","285,146"
7,伊朗,橄欖樹下的情人,2022/04/22,海鵬影業有限公司,MK2 FILMS,13,523,49.86%,"109,783",872,"182,128"
8,日本,海岬的迷途之家,2022/04/22,華藝娛樂股份有限公司,Fuji Creative Corporation,27,352,27.54%,"80,339",628,"144,085"
9,俄羅斯,核爆車諾比,2022/04/22,車庫娛樂股份有限公司,RELAY MOTION KFT.,23,292,-13.86%,"65,665",631,"144,393"
10,日本,臥底型警FINAL,2022/04/22,蜜蜂工房創藝有限公司,PONY CANYON INC.,11,110,-23.08%,"24,135",253,"57,581"
11,南韓,阿爸休假中,2022/04/22,佳映娛樂國際股份有限公司,Indiestory Inc.,8,84,-41.67%,"17,105",228,"48,475"
12,南韓,SEVENTEEN POWER OF LOVE : THE MOVIE,2022/04/20,威秀影城股份有限公司,"CJ 4DPLEX CO.,Ltd.",10,"1,855",-53.01%,"940,900","5,803","2,995,100"
13,越南,祖怨,2022/04/15,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,33,442,-72.10%,"105,884","4,472","1,071,554"
14,法國,友你才精彩,2022/04/15,威視股份有限公司,ELLE DRIVER SAS,26,279,-66.75%,"62,924","1,873","427,260"
15,中華民國,有時 Mama，有時 Mimi,2022/04/15,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,6,393,-27.62%,"62,780","1,175","187,740"
16,伊朗,生生長流,2022/04/15,海鵬影業有限公司,MK2 FILMS,12,225,-53.03%,"47,875",958,"201,828"
17,伊朗,何處是我朋友的家？,2022/04/15,海鵬影業有限公司,MK2 FILMS,10,216,-70.12%,"44,825","1,326","278,920"
18,英國,瑪莉娜的512小時,2022/04/15,捷傑有限公司,Film Republic Sales Ltd,4,83,-55.61%,"18,815",427,"96,415"
19,印度,天堂電影院,2022/04/15,聯影企業股份有限公司,ORANGE STUDIO,6,79,-71.89%,"16,580",576,"117,865"
20,南韓,在你面前,2022/04/15,可樂藝術文創股份有限公司,"FINECUT CO.,LTD.",3,72,-53.85%,"14,970",286,"58,774"
21,法國,尋子風暴,2022/04/15,車庫娛樂股份有限公司,RELAY MOTION KFT.,14,55,-89.44%,"11,960","1,234","266,490"
22,日本,對某飛行員的追憶,2022/04/15,水元素文化傳媒有限公司,"TMS ENTERTAINMENT CO., LTD",8,33,-79.38%,"7,770",369,"86,390"
23,日本,聖地X,2022/04/15,天馬行空數位有限公司,"KING RECORD CO.,LTD.",8,34,-84.47%,"6,985",496,"111,841"
24,法國,屠女養成記,2022/04/15,原創娛樂股份有限公司,Other Angle Pictures,6,22,-82.26%,"4,840",376,"84,682"
25,美國,怪獸與鄧不利多的秘密,2022/04/14,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"67,617",-50.01%,"17,583,097","419,939","110,085,981"
26,美國,失落謎城,2022/04/08,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,92,"6,642",-54.57%,"1,614,582","92,144","22,459,563"
27,日本,電影版 如果30歲還是處男，似乎就能成為魔法師,2022/04/08,車庫娛樂股份有限公司,TV TOKYO CORPORATION,52,"4,129",-41.01%,"988,030","39,018","9,440,473"
28,香港,少年,2022/04/08,光年映畫有限公司,1984工作室,10,449,-37.47%,"91,980","3,947","878,995"
29,日本,假面騎士劇場版　對決！超越新世代,2022/04/08,木棉花國際股份有限公司,Animation Entertainment Ltd.,11,133,-65.18%,"31,929","4,815","1,157,979"
30,日本,那些得不到保護的人,2022/04/08,鴻聯國際開發股份有限公司,"Shochiku Co.,Ltd.",6,58,-83.52%,"13,875","3,468","791,699"
31,日本,愛國女子─紅武士道,2022/04/08,台灣幸福科學出版有限公司,幸福の科学,5,53,-93.04%,"11,660","4,145","911,465"
32,日本,妖獸都市1987 劇場版,2022/04/08,水元素文化傳媒有限公司,JAPAN HOME VIDEO INC.,2,18,-86.76%,"4,400",957,"221,616"
33,美國,投機者樂團：愛的鼓勵,2022/04/08,造次文化有限公司,"Vision Film,Inc",2,8,-86.21%,"1,720",629,"141,750"
34,美國,玩命獵殺,2022/04/08,采昌國際多媒體股份有限公司,Atrium Productions Kft.,1,4,-97.24%,920,"1,962","428,086"
35,中華民國,頭七,2022/04/01,皮諾丘電影事業有限公司,"皮諾丘電影事業有限公司,台灣大哥大股份有限公司,馬棋朵數位影像製作有限公司,杰瑞音樂有限公司,天馬傳播事業有限公司",70,"6,653",70.02%,"1,127,794","114,400","26,627,022"
36,美國,魔比斯,2022/04/01,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,83,"3,279",-58.43%,"795,913","191,226","47,846,325"
37,美國,音速小子 2,2022/04/01,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,64,"1,430",-49.09%,"337,669","63,366","14,948,984"
38,英國,餐廳失控夜,2022/04/01,傳影互動股份有限公司,CHARADES,2,131,-51.66%,"29,925","3,229","724,820"
39,美國,劫命救護,2022/03/25,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,13,142,-75.85%,"32,235","83,612","20,781,586"
40,日本,電影版 DEEMO 櫻色旋律 —你所彈奏的琴音 至今仍在迴響—,2022/03/25,車庫娛樂股份有限公司,RELAY MOTION KFT.,2,23,-45.24%,"6,640","7,485","1,828,627"
41,丹麥,漂浪人生,2022/03/25,好威映象有限公司,Cinephil,2,23,-70.13%,"5,320","4,296","1,002,542"
42,中華民國,野夏天,2022/03/25,群石國際有限公司,群石國際有限公司,1,4,-60.00%,700,"7,953","1,892,629"
