序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,花漾女子,2021/03/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,"11,145",11.75%,"2,644,147","24,674","5,815,682"
2,英國,波麗萊多里鬼屋,2021/03/12,威視股份有限公司,WESTEND FILMS LTD,47,"7,682",-29.45%,"1,801,700","18,571","4,378,969"
3,南韓,今天決定我愛你,2021/03/12,華映娛樂股份有限公司,Acemaker Movie Works,65,"4,740",-30.13%,"1,112,487","11,524","2,698,026"
4,美國,終極異噬界,2021/03/12,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,63,"3,972",-19.45%,"893,131","8,903","2,019,806"
5,中華民國,揭大歡喜,2021/03/12,紅色製作有限公司,紅色製作有限公司##中環國際娛樂事業股份有限公司##海鵬影業有限公司##羅特國際製作股份有限公司,79,"3,428",-26.96%,"780,009","8,121","1,864,047"
6,美國,魔坑,2021/03/12,車庫娛樂股份有限公司,"XYZ FILMS,LLC",42,"1,790",-28.69%,"415,233","4,300","1,006,521"
7,日本,間諜之妻,2021/03/12,可樂藝術文創股份有限公司,Nikkatsu Corporation,25,"1,684",13.63%,"371,629","3,297","731,965"
8,英國,金窩駭浪,2021/03/12,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,33,715,-12.48%,"159,841","1,532","346,155"
9,美國,幸福剛剛好,2021/03/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,HANWAY FILMS LIMITED,41,538,-8.66%,"118,633","1,127","253,934"
10,法國,我愛你，你愛她，她愛他,2021/03/12,捷傑有限公司,ELLE DRIVER,10,425,-29.75%,"91,040","1,030","223,441"
11,中華民國,尼泊爾布思議,2021/03/12,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,6,584,"3,335.29%","75,600",601,"78,000"
12,西班牙,倒數第N次分手,2021/03/12,天馬行空數位有限公司,Media Luna New Films UG,9,138,-35.21%,"29,200",351,"75,619"
13,日本,慾望果實,2021/03/12,英屬維京群島商映畫聯合有限公司台灣分公司,HAPPINET CORPORATION,3,19,-36.67%,"4,555",49,"10,890"
14,美國,尋龍使者：拉雅,2021/03/05,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",95,"44,801",-36.79%,"10,916,616","184,492","44,885,780"
15,英國,噪反,2021/03/05,英屬維京群島商高捷全球開發有限公司 台灣分公司,Lions Gate International(UK),75,"11,162",-55.00%,"2,708,908","67,113","16,195,899"
16,日本,淺田家！,2021/03/05,采昌國際多媒體股份有限公司,"Toho Co.,Ltd.",32,"5,084",-36.51%,"1,214,687","18,892","4,465,363"
17,丹麥,醉好的時光,2021/03/05,好威映象有限公司,TrustNordisk,24,"3,344",-26.62%,"788,528","10,879","2,541,250"
18,中華民國,東經北緯,2021/03/05,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"緒虎製作有限公司,金騰國際傳媒股份有限公司,墨爾有限公司,德安信股份有限公司,三皇生物科技股份有限公司",23,"2,480",-49.90%,"577,051","10,615","2,524,440"
19,美國,鬼故事收藏館,2021/03/05,峻龍國際有限公司,"Fandom Holdings,LLC.",38,"2,037",-58.45%,"463,456","12,383","2,867,113"
20,日本,Fate/Grand Order-神聖圓桌領域卡美洛-Wandering; Agateram,2021/03/05,曼迪傳播有限公司,Aniplex Inc.,33,"1,504",-68.94%,"376,108","13,523","3,365,108"
21,美國,弒樂園,2021/03/05,車庫娛樂股份有限公司,RELAY MOTION KFT.,17,346,-80.03%,"81,689","4,223","1,009,255"
22,法國,女也,2021/03/05,捷傑有限公司,ELLE DRIVER,4,48,-79.66%,"11,330",548,"126,847"
23,芬蘭,女性日常,2021/03/05,佳映娛樂國際股份有限公司,TOTEM FILMS,2,43,-51.14%,"10,090",257,"61,460"
24,日本,撲殺援交妹,2021/03/05,英屬維京群島商映畫聯合有限公司台灣分公司,"KING RECORD CO.,LTD.",1,1,-94.44%,300,41,"8,625"
25,英國,詐欺女王,2021/02/26,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,62,"6,399",-48.23%,"1,588,535","66,442","16,223,033"
26,日本,名偵探柯南：緋色的不在場證明,2021/02/26,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,53,"5,219",-47.68%,"1,268,448","75,564","18,413,646"
27,日本,銀魂 THE FINAL,2021/02/26,薩摩亞商羚邦(亞洲)有限公司台灣分公司,Dentsu Tec Inc.,59,"3,308",-40.46%,"803,794","37,566","9,004,648"
28,中華民國,複身犯,2021/02/26,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,70,"2,891",-62.29%,"691,059","60,660","14,320,618"
29,日本,夏目友人帳 特別上映版:喚石與可疑訪客,2021/02/26,木棉花國際股份有限公司,ADK Emotions Inc,37,"1,443",-66.54%,"342,603","22,221","5,280,529"
30,中國大陸,刺殺小說家,2021/02/26,原創娛樂股份有限公司,"抖音文化（廈門）有限公司,東方嘉影電視院線傳媒股份公司,華策影業（天津）有限公司,深圳市一怡以藝文化傳媒有限公司,郭帆文化傳媒（北京）有限公司,天津十間影視傳媒有限公司,中青新影文化傳媒（北京）有限公司,天津貓眼微影文化傳媒有限公司,廣東優創合影文化傳播股份有限公司,之升（上海）影業有限公司,融創未來文化娛樂（北京）有限公司,霍爾果斯聚合影聯文化傳媒有限公司,上海阿里巴巴影業有限公司,北京自由酷鯨影業有限公司,上海尚世影業有限公司,優酷電影有限公司",19,491,-71.67%,"117,255","15,624","3,759,559"
31,德國,100%小狼人,2021/02/26,華映娛樂股份有限公司,Studio 100 Film GmbH,25,448,-61.21%,"101,459","22,232","5,129,187"
32,中華民國,伏魔殿,2021/02/26,車庫娛樂股份有限公司,王逸帆,6,368,-30.30%,"58,860","1,551","248,210"
33,德國,竊聽風暴,2021/02/26,海鵬影業有限公司,Beta Film GmbH,4,164,-65.40%,"36,935","3,297","723,899"
34,日本,澪之料理帖,2021/02/26,中影股份有限公司,"東映(TOEI COMPANY,LTD)",3,92,-58.18%,"20,455","1,487","302,190"
35,日本,晨曦將至,2021/02/26,傳影互動股份有限公司,"KINOSHITA GROUP CO.,LTD",3,82,-69.29%,"18,415","2,097","445,782"
36,美國,末日終結戰,2021/02/26,車庫娛樂股份有限公司,RELAY MOTION KFT.,10,69,-92.65%,"16,190","18,403","4,418,391"
37,中華民國,洞兩洞六,2021/02/19,車庫娛樂股份有限公司,王逸帆,1,743,96.04%,"118,880","2,004","320,300"
38,美國,迴路追殺令,2021/02/19,采昌國際多媒體股份有限公司,Atrium Productions Kft.,8,81,-86.41%,"19,358","38,459","9,139,891"
39,日本,STAND BY ME 哆啦A夢2,2021/02/10,車庫娛樂股份有限公司,"TOHO CO.,LTD.",41,"1,947",-39.38%,"457,258","166,143","40,755,700"
40,中華民國,我沒有談的那場戀愛,2021/02/10,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",55,"1,618",-66.93%,"383,513","157,965","37,767,636"
41,美國,湯姆貓與傑利鼠,2021/02/10,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,12,149,-81.26%,"35,410","119,539","28,159,868"
42,中華民國,金不厭詐,2021/02/10,春暉映像有限公司,壹捌玖伍電影有限公司,1,62,"3,000.00%","17,800","5,703","1,275,004"
43,新加坡,男兒王,2021/02/10,光年映畫有限公司,滿滿額娛樂股份有限公司,3,94,-41.98%,"15,210","14,627","3,370,452"
44,英國,偷天行動,2021/02/10,天馬行空數位有限公司,Arclight Films International Pty Ltd.,1,30,0.00%,"4,800","8,351","1,985,005"
45,中華民國,跟你老婆去旅行,2021/02/10,好好看文創有限公司,"滿滿額娛樂股份有限公司,好好看文創有限公司,上環國際多媒體娛樂股份有限公司,崴森管理顧問股份有限公司,羚邦控股有限公司,華納集團,中天星辰(香港)影業有限公司",2,11,-97.74%,"2,140","55,380","13,070,255"
46,中華民國,角頭－浪流連,2021/02/05,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",86,"9,523",-50.16%,"2,226,372","677,972","160,507,782"
47,英國,大鼻子情聖,2021/02/01,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,3,115,0.00%,"81,360",618,"420,840"
48,中華民國,緝魂,2021/01/29,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",23,779,-68.07%,"204,160","212,633","50,580,801"
49,美國,幽靈戰場,2021/01/29,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Bleiberg Entertainment, LLC ##AGENT FOR PEACE FILMS, LLC",6,329,0.00%,"28,525","2,038","404,239"
50,日本,龍貓,2021/01/29,台灣華特迪士尼股份有限公司,STUDIO GHIBLI INC.,3,52,-77.39%,"12,875","52,374","12,387,903"
51,俄羅斯,海豚總動員,2021/01/29,可樂藝術文創股份有限公司,Luminescence Kft.,1,24,0.00%,"3,840","10,409","2,285,413"
52,伊朗,無邪,2021/01/29,光年映畫有限公司,Films Boutique GmBH,1,39,-25.00%,"3,410","3,434","752,996"
53,巴西,馬里蓋拉：革命先鋒,2021/01/29,原創娛樂股份有限公司,Elle Driver SAS,1,9,-70.97%,"1,350",217,"43,800"
54,中華民國,聽見臺灣,2021/01/22,沃土影像製作有限公司,沃土影像製作有限公司,15,386,-22.80%,"80,945","2,133","449,475"
55,西班牙,她們玩到掛,2021/01/22,天馬行空數位有限公司,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,2,63,-20.25%,"9,380",865,"171,995"
56,日本,想見你的愛,2021/01/22,威視股份有限公司,GAGA CORPORATION,1,6,-40.00%,"1,270","17,758","4,270,442"
57,日本,喬瑟與虎與魚群動畫版,2021/01/20,采昌國際多媒體股份有限公司,KODOKAWA CORPORATION,4,122,-60.39%,"29,140","83,938","20,449,321"
58,日本,《屁屁偵探：咖哩香料事件》 《屁屁偵探：瓢蟲遺跡之謎》,2021/01/19,薩摩亞商雄讚股份有限公司台灣分公司,TOEI ANIMATION ENTERPRISES LIMITED.,8,142,-21.55%,"33,782","49,543","11,571,298"
59,中華民國,叱咤風雲,2021/01/16,星泰國際娛樂股份有限公司,量能文創股份有限公司##創映電影有限公司##天鵬翱翔集團有限公司,2,156,-46.39%,"37,520","135,920","31,943,679"
60,英國,議事錄,2021/01/16,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,16,0.00%,"10,520",357,"227,880"
61,英國,戰馬,2021/01/15,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,4,128,287.88%,"86,960",543,"364,400"
62,英國,倫敦生活,2021/01/15,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,29,0.00%,"20,480",684,"472,640"
63,美國,馬德里金庫盜數90分鐘,2021/01/15,薩摩亞商雄讚股份有限公司台灣分公司,TF1 DROITS AUDIOVISUELS.,3,76,-75.48%,"18,890","115,780","27,195,382"
64,美國,冰血驚魂,2021/01/15,水元素文化傳媒有限公司,Arclight Films International Pty. Ltd.,3,172,-22.87%,"12,250","1,587","254,275"
65,法國,蠢蛋告別式,2021/01/15,捷傑有限公司,Gaumont S.A.,1,98,-22.83%,"8,640","1,484","289,875"
66,日本,凶宅怪談,2021/01/15,海樂影業股份有限公司,"Shochiku Co.,Ltd.",1,40,53.85%,"6,140","11,348","2,637,944"
67,日本,一步一步的愛,2021/01/15,原創娛樂股份有限公司,AVEX PICTURES INC.,1,35,45.83%,"5,180",759,"162,594"
68,日本,死亡醫生的遺產-BLACK FILE-,2021/01/15,英屬維京群島商高捷全球開發有限公司 台灣分公司,Nippon Television Network Corporation,1,26,0.00%,"4,160","10,220","2,396,732"
69,英國,李希特舒眠曲,2021/01/15,造次文化有限公司,Dogwoof Ltd（''Licensor''）,1,7,-41.67%,"1,630","3,167","740,409"
