序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,幸福入場券,2022/10/07,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,93,"26,757",48.14%,"6,665,595","45,059","11,285,219"
2,美國,阿姆斯特丹,2022/10/07,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",81,"8,399",-13.88%,"2,174,460","18,152","4,716,300"
3,美國,沼澤謀殺案,2022/10/07,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,91,"8,309",19.52%,"2,051,674","18,592","4,520,602"
4,越南,替屍鬼2：詛咒再臨,2022/10/07,車庫娛樂股份有限公司,RELAY MOTION KFT.,54,"4,506",22.48%,"1,036,558","8,185","1,892,364"
5,中華民國,你在我心上,2022/10/07,星勢力娛樂股份有限公司,"麻吉砥加電影有限公司,星勢力娛樂股份有限公司,艾婷投資股份有限公司",88,"4,074",389.08%,"941,675","4,907","1,128,985"
6,中華民國,童話．世界,2022/10/07,主磐叙社有限公司,主磐叙社有限公司,41,"2,994",-35.92%,"727,341","9,354","2,299,823"
7,南韓,政客誠實中2,2022/10/07,車庫娛樂股份有限公司,RELAY MOTION KFT.,53,"2,105",-16.07%,"493,277","4,613","1,091,067"
8,日本,麵包超人電影版：多洛林與妖怪嘉年華,2022/10/07,曼迪傳播有限公司,"TMS ENTERTAINMENT CO., LTD.",15,592,8.62%,"148,074","1,137","285,565"
9,伊朗,贖罪風暴,2022/10/07,海鵬影業有限公司,TOTEM FILMS SAS,15,468,65.37%,"98,108",751,"156,279"
10,香港,失衡凶間,2022/10/07,華映娛樂股份有限公司,寰亞電影製作有限公司##悅目映畫有限公司,11,158,17.91%,"36,615",292,"67,603"
11,中華民國,化城再來人,2022/10/07,目宿媒體股份有限公司,目宿媒體股份有限公司,3,29,0.00%,"7,661",29,"7,661"
12,美國,齊瓦哥醫生,2022/10/05,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,16,606,-0.16%,"158,002","1,213","323,913"
13,日本,河畔小日子,2022/10/03,政駒實業有限公司,KADOKAWA CORPORATION,20,457,437.65%,"103,579",542,"127,379"
14,美國,微笑,2022/09/30,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,92,"25,977",-20.35%,"6,608,404","76,708","19,262,037"
15,南韓,樂透大作戰,2022/09/30,采昌國際多媒體股份有限公司,Atrium Productions Kft.,81,"20,600",-20.17%,"5,079,162","61,375","15,022,637"
16,南韓,行動代號：狼狩獵,2022/09/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,65,"6,886",-52.86%,"1,634,527","34,833","8,220,835"
17,美國,刀鋒劍客,2022/09/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,45,"1,499",-12.85%,"351,934","5,197","1,229,401"
18,法國,正發生,2022/09/30,好威映象有限公司,Wild Bunch International,14,951,-30.07%,"216,674","2,995","679,966"
19,法國,小獅子王,2022/09/30,中影股份有限公司,PATHE FILMS S.A.S.,24,373,-55.70%,"84,528","2,209","498,607"
20,香港,心裏美,2022/09/30,華映娛樂股份有限公司,"心裏美電影有限公司,偉新教育基金有限公司",10,19,-82.24%,"4,241",210,"46,582"
21,美國,阿凡達,2022/09/23,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",64,"2,920",-62.66%,"1,107,408","37,664","13,708,809"
22,日本,破案天才伽利略：沉默的遊行,2022/09/23,威視股份有限公司,PONY CANYON INC.,43,"2,383",-49.07%,"612,444","23,974","6,076,976"
23,比利時,怪胎英雄：奇克探險記,2022/09/23,木棉花國際股份有限公司,NWAVE PICTURES,17,755,-11.49%,"186,788","4,628","1,084,492"
