序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,SEE HEAR LOVE 看不見聽不見也愛你,2023/6/25,天馬行空數位有限公司,"TIME, Inc.",2,"1,120",53.64%,"358,400","1,849","591,680"
2,南韓,貴公子,2023/6/21,車庫娛樂股份有限公司,RELAY MOTION KFT.,64,"10,413",-37.71%,"2,502,185","27,131","6,528,449"
3,日本,SSSS. GRIDMAN 劇場總集篇,2023/6/21,車庫娛樂股份有限公司,"Tsuburaya Productions Co., Ltd.",56,650,-62.45%,"157,942","2,381","585,207"
4,香港,別叫我”賭神”,2023/6/21,英屬維京群島商高捷全球開發有限公司 台灣分公司,"銀都機構有限公司,步登高影像有限公司,博納影視娛樂有限公司,北京博納影業集團有限公司,阿里巴巴影業(北京)有限公司,上海博納文化傳媒有限公司",38,"2,974",-50.35%,"710,842","8,964","2,163,967"
5,南韓,蝙蝠：血色情慾 數位修復版,2023/6/21,車庫娛樂股份有限公司,RELAY MOTION KFT.,9,118,-24.36%,"27,165",274,"62,158"
6,美國,小行星城,2023/6/21,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,22,"5,625",-12.97%,"1,412,840","12,088","3,070,368"
7,德國,淨化論,2023/6/21,海鵬影業有限公司,Telepool GmbH,16,796,-20.16%,"182,546","1,793","411,122"
8,日本,她喜歡的是,2023/6/21,車庫娛樂股份有限公司,RELAY MOTION KFT.,18,223,-42.38%,"54,700",610,"147,598"
9,美國,蜘蛛人：穿越新宇宙,2023/6/21,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,99,"110,238",-28.21%,"29,124,270","269,798","74,666,302"
10,中華民國,化劫,2023/6/20,犢影制作電影有限公司,"瑪爾克電影有限公司,犢影制作電影有限公司,六六喜喜股份有限公司,巧克麗娛樂股份有限公司,有戲娛樂股份有限公司,喜滿客京華影城股份有限公司,相聚國際股份有限公司",88,"45,923",-34.07%,"11,335,893","115,581","28,482,315"
11,中華民國,溟溟,2023/6/16,犢影制作電影有限公司,犢影制作電影有限公司##馬棋朵數位影像製作有限公司##華映娛樂股份有限公司##海王天璽文化傳媒股份有限公司,26,226,-77.17%,"53,587","7,949","1,784,928"
12,,雙手的溫柔,2023/6/16,光年映畫有限公司,FILMS BOUTIQUE SAS,10,301,-57.18%,"69,055","1,564","339,464"
13,荷蘭,惡靈魔洛剋,2023/6/16,車庫娛樂股份有限公司,RELAY MOTION KFT.,15,158,-83.07%,"38,220","2,597","635,295"
14,美國,義美超級爸,2023/6/16,車庫娛樂股份有限公司,RELAY MOTION KFT.,29,472,-76.54%,"105,859","4,406","1,003,433"
15,美國,大愚樂家,2023/6/16,采昌國際多媒體股份有限公司,Freeway Entertainment Kft.,7,125,-65.94%,"27,185",888,"206,101"
16,美國,閃電俠,2023/6/14,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,101,"73,869",-60.88%,"19,011,357","468,763","124,740,872"
17,日本,超人力霸王德卡 最終章 朝向旅程的彼方‧‧‧,2023/6/10,野獸國股份有限公司,"Tsuburaya Productions Co., Ltd.",15,"2,639",0.00%,"663,276","2,982","1,002,939"
18,挪威,為你鍾琴,2023/6/9,海鵬影業有限公司,WIDE HOUSE,6,47,-82.26%,"9,930","1,378","295,756"
19,中華民國,南方，寂寞鐵道,2023/6/9,牽猴子股份有限公司,上善醫文化工作室,23,"2,719",-41.27%,"652,053","20,440","4,860,321"
20,泰國,阿諾是個模範生,2023/6/9,捷傑有限公司,WM Jansen,4,7,-72.00%,"1,590",340,"77,978"
21,日本,六月之蛇,2023/6/9,輝洪開發股份有限公司,NIKKATSU CORPORATION,1,2,-80.00%,360,236,"51,651"
22,中華民國,花開富貴,2023/6/9,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,2,161,-78.93%,"25,760","2,148","327,195"
23,法國,聖奧梅爾殺嬰案,2023/6/9,好威映象有限公司,Wild Bunch International,4,19,-71.64%,"4,250",986,"214,603"
24,美國,深夜加油站遇見蘇格拉底,2023/6/9,天馬行空數位有限公司,"Vantage Media International,LLC(VMI)",4,53,-75.80%,"12,690","1,280","286,728"
25,日本,BLUE GIANT 藍色巨星,2023/6/9,車庫娛樂股份有限公司,"TOHO CO., LTD.",46,"8,615",-38.31%,"2,227,761","49,852","12,749,194"
26,美國,變形金剛：萬獸崛起,2023/6/7,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,100,"45,158",-59.41%,"11,405,665","541,612","142,129,113"
27,伊朗,這裡沒有熊,2023/6/3,傳影互動股份有限公司,Celluloid Dreams SAS,5,62,-77.21%,"14,375",706,"152,293"
28,伊朗,三張面孔,2023/6/3,傳影互動股份有限公司,Celluloid Dreams SAS,4,26,-85.39%,"5,845",457,"96,580"
29,南韓,犯罪都市3,2023/6/2,車庫娛樂股份有限公司,RELAY MOTION KFT.,58,"4,273",-63.33%,"1,034,383","95,843","23,065,521"
30,法國,烈火浩劫,2023/6/2,采昌國際多媒體股份有限公司,StudioCanal,2,5,-89.58%,"1,160","1,353","303,349"
31,捷克,米蘭昆德拉：從玩笑到無謂的盛宴,2023/6/2,佳映娛樂國際股份有限公司,WIDE,6,72,-52.00%,"16,600","1,515","333,020"
32,美國,鬼出櫃,2023/6/2,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",19,302,-80.52%,"77,877","34,829","8,750,227"
33,法國,安妮艾諾 超八時光,2023/6/2,佳映娛樂國際股份有限公司,TOTEM FILMS,2,5,-61.54%,"1,020",447,"91,035"
34,法國,爛人,2023/6/2,政駒實業有限公司,PYRAMIDE INTERNATIONAL,1,4,-82.61%,730,"1,036","237,766"
35,美國,催眠狙擊,2023/6/2,香港商甲上娛樂有限公司台灣分公司,HYPNOTIC FILM HOLDINGS LLC,3,59,-76.11%,"13,530","13,342","3,196,314"
36,日本,新．假面騎士,2023/5/31,木棉花國際股份有限公司,"Toei Company, Ltd.",15,294,-73.15%,"74,644","21,942","5,982,141"
37,美國,坎達哈行動,2023/5/26,車庫娛樂股份有限公司,RELAY MOTION KFT.,3,9,-92.37%,"1,965","39,945","9,363,119"
38,西班牙,駭人骨娃娃,2023/5/26,威視股份有限公司,Film Factory Entertainment S.L.,1,1,-97.67%,230,"8,996","2,271,013"
39,美國,小美人魚,2023/5/24,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",72,"4,338",-66.78%,"1,085,582","193,129","48,704,807"
40,中華民國,消失的紫斑蝶,2023/5/19,牽猴子股份有限公司,牽猴子股份有限公司##路野生態影像有限公司,7,502,51.20%,"110,980","11,321","2,579,337"
41,加拿大,烈火焚身,2023/5/19,好威映象有限公司,Sphere Films International,2,47,-71.86%,"11,360","3,913","894,100"
42,美國,玩命關頭 X,2023/5/17,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,94,"19,032",-60.70%,"4,906,331","1,321,188","351,921,281"
43,日本,湯道,2023/5/12,采昌國際多媒體股份有限公司,PONY CANYON INC.,2,8,-38.46%,"1,820","4,498","1,029,700"
44,日本,金之國水之國,2023/5/12,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,2,-92.31%,540,"5,250","1,263,609"
45,泰國,邪厄,2023/5/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 COMPANY LIMITED,7,224,-70.53%,"55,246","59,979","15,019,847"
46,捷克,神鬼聖戰,2023/5/12,原創娛樂股份有限公司,Film Mode Entertainment,1,195,25.00%,"10,725","4,001","853,381"
47,日本,我的幸福婚約,2023/5/12,天馬行空數位有限公司,KADOKAWA CORPORATION,2,52,-22.39%,"14,160","8,088","2,026,576"
48,法國,燃燒的玫瑰,2023/5/5,中影股份有限公司,Gaumont S.A.,1,106,-27.89%,"23,700","1,998","429,993"
49,美國,上流謀殺案,2023/5/5,仲業股份有限公司,ACE Entertainment Films Inc,1,167,38.02%,"9,185","1,874","397,263"
50,美國,星際異攻隊3,2023/5/3,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",22,878,-72.59%,"225,788","549,154","144,974,427"
51,加拿大,絕命控制,2023/4/28,可樂藝術文創股份有限公司,WTFILMS,2,38,-57.30%,"2,420",894,"152,728"
52,中華民國,速命道,2023/4/27,寬銀慕電影製作有限公司,寬銀慕電影製作有限公司##Children's Town Limited.##台灣映藝娛樂股份有限公司##財團法人台北市文化基金會台北市電影委員會##大腕影業國際有限公司,5,46,-72.94%,"10,910","128,243","32,276,998"
53,日本,電影版 佐佐木與宮野 畢業篇,2023/4/21,薩摩亞商羚邦(亞洲)有限公司台灣分公司,KADOKAWA CORPORATION,1,18,-59.09%,"4,740","13,179","3,426,104"
54,中華民國,不能流淚的悲傷,2023/4/21,華映國際文創股份有限公司,亞太國影（深圳）影業有限公司##中國電影股份有限公司##中影創意（北京）電影有限公司##天津貓眼微影文化傳媒有限公司##亞太國影（重慶）文化傳媒有限公司##廣東潮樂文化傳媒有限公司##深圳市三羊文化集團有限公司##深圳市新藝城影業有限公司##亞太國影（蘇州）影業有限公司##亞太華影（北京）影業有限公司##無雙（深圳）影業有限公司##佛山泓東影視文化傳媒有限公司##廣東新億投資有限公司##浙江東陽瀚雅映影視文化傳媒有限公司##北京博視眾和文化傳播有限公司##香蕉映畫有限公司##華映娛樂股份有限公司,1,109,28.24%,"5,995","11,530","2,783,298"
55,法國,詭樓,2023/4/21,威視股份有限公司,ELLE DRIVER SAS,1,49,-60.16%,"5,764",835,"182,522"
56,美國,鬼玩人：復活,2023/4/20,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,108,0.00%,"5,940","68,338","17,034,103"
57,中華民國,疫起,2023/4/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,凱擘影藝股份有限公司##奇幻娛樂國際股份有限公司##有戲娛樂股份有限公司##良人行影業有限公司##大慕可可股份有限公司 ##六六喜喜股份有限公司##台灣大哥大股份有限公司 (台灣大哥大 MyVideo)##聚星文創娛樂事業股份有限公司 ##宏將影業有限公司 ##華文創股份有限公司 ##得利影視股份有限公司,1,8,-69.23%,"1,830","72,707","17,294,430"
58,美國,AIR,2023/4/5,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,309,-21.17%,"40,410","43,908","10,861,198"
59,美國,超級瑪利歐兄弟電影版,2023/4/5,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,44,"4,163",-59.60%,"1,023,024","1,159,150","293,320,555"
60,日本,鏡之孤城,2023/3/31,車庫娛樂股份有限公司,RELAY MOTION KFT.,48,"1,744",-35.53%,"424,619","95,673","24,091,989"
