序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,刻在你心底的名字,2020/09/30,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,103,"99,578",-1.85%,"23,295,073","227,560","53,224,107"
2,日本,紫羅蘭永恆花園電影版,2020/09/30,采昌國際多媒體股份有限公司,"ABC Animation,INC.",42,"29,229",-40.88%,"7,289,679","78,666","19,556,186"
3,美國,阿公當家,2020/09/30,香港商甲上娛樂有限公司台灣分公司,"MARRO WWG,LLC",88,"22,403",-41.94%,"5,142,790","60,991","14,027,758"
4,俄羅斯,遺落夢境,2020/09/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,50,"11,146",-54.73%,"2,662,931","35,767","8,566,162"
5,法國,森林特攻隊：大腳丫家族,2020/09/30,可樂藝術文創股份有限公司,Charades,73,"5,648",-55.67%,"1,223,032","18,389","4,047,061"
6,美國,特斯拉,2020/09/30,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",60,"2,578",-65.83%,"568,734","10,123","2,304,850"
7,德國,交響狂人,2020/09/30,海鵬影業有限公司,TELEPOOL GmbH,17,"1,134",-32.22%,"236,532","2,807","590,756"
8,美國,捉魂鏡,2020/09/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,23,"1,019",-62.22%,"233,043","3,756","864,414"
9,義大利,解密達文西,2020/09/30,車庫娛樂股份有限公司,TRUE COLOURS GLORIOUS FILMS S.R.L.,13,426,-36.89%,"89,725","1,101","237,773"
10,中華民國,明晚空中見,2020/09/30,博偉電影股份有限公司,福斯傳媒有限公司##滿滿額娛樂股份有限公司##文達文創股份有限公司##台北市電影委員會,3,53,-91.67%,"11,095",689,"141,730"
11,日本,麻雀放浪記2020,2020/09/30,車庫娛樂股份有限公司,"TOEI COMPANY, LTD.",3,18,-51.35%,"3,500",55,"11,585"
12,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",56,"34,476",-42.24%,"8,118,347","127,972","30,093,609"
