序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,瀑布,2021/10/29,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",89,"25,994",28.98%,"6,171,329","53,278","12,843,166"
2,日本,我的英雄學院劇場版：世界英雄任務,2021/10/29,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co.,Ltd.",76,"17,985",-17.20%,"4,360,299","39,706","9,719,123"
3,美國,天兵阿榮,2021/10/29,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",78,"10,410",17.79%,"2,456,376","19,248","4,602,425"
4,南韓,金派特務,2021/10/29,威視股份有限公司,"KT HITEL CO.,LTD.",43,"3,919",-28.33%,"915,972","9,387","2,223,763"
5,美國,偷天俠盜團,2021/10/29,車庫娛樂股份有限公司,RELAY MOTION KFT.,45,"2,745",-47.16%,"634,950","7,940","1,894,875"
6,美國,天崩颶裂,2021/10/29,采昌國際多媒體股份有限公司,Atrium Productions Kft.,47,"2,337",-42.57%,"517,732","6,406","1,467,652"
7,中華民國,老鷹之手,2021/10/29,海之眼影像工作室,海之眼影像工作室,19,"2,187",63.94%,"478,410","3,655","805,318"
8,法國,聖慾,2021/10/29,車庫娛樂股份有限公司,PATHE FILMS S.A.S.,16,720,31.63%,"161,085","1,267","283,291"
9,美國,豬殺令,2021/10/29,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,7,128,-15.23%,"29,875",279,"64,554"
10,中華民國,廢棄之城,2021/10/29,影一製作所股份有限公司,"影一製作所股份有限公司,遊戲橘子數位科技股份有限公司,財團法人臺中市影視發展基金會",35,"2,044",-26.47%,"448,320","4,973","1,172,930"
11,日本,假面飯店2：假面之夜,2021/10/28,英屬維京群島商高捷全球開發有限公司 台灣分公司,"PONY CANYON,INC.",52,"3,872",-38.45%,"901,384","10,163","2,393,194"
12,日本,心靈遊戲,2021/10/28,光年映畫有限公司,"Beyond C. Co.,Ltd.",17,"1,404",23.16%,"321,923","2,736","627,044"
13,英國,14天創作挑戰,2021/10/24,威秀影城股份有限公司,BalletBoyz Ltd.,6,4,-55.56%,"1,770",14,"2,730"
14,美國,月光光新慌慌：萬聖殺,2021/10/22,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,83,"2,430",-72.61%,"587,881","20,484","4,997,159"
15,香港,怒火,2021/10/22,華映娛樂股份有限公司,"英皇影業有限公司,騰訊影業文化傳播有限公司,銀都機構有限公司,香港騰訊影業有限公司,天津貓眼微影文化傳媒有限公司,超級子彈影業有限公司,天下一電影製作有限公司,華文映像(北京)影業有限公司",84,"2,256",-73.66%,"527,726","19,815","4,656,287"
16,中華民國,回眸,2021/10/22,牽猴子股份有限公司,"大悲學苑  台灣大悲佛學會,財團法人國際佛教法林基金會 ,新加坡甘露關懷協會",13,810,-55.12%,"178,022","4,598","1,040,769"
17,芬蘭,藏愛的畫像,2021/10/22,海鵬影業有限公司,Picture Tree International GmbH,9,357,-41.48%,"71,375","1,470","306,313"
18,以色列,蜜月夜不眠,2021/10/22,中影股份有限公司,WESTEND FILMS LTD,4,113,-62.33%,"25,935",658,"143,110"
19,美國,血客聯盟,2021/10/22,車庫娛樂股份有限公司,STUDIOCANAL,32,106,-94.76%,"23,222","5,014","1,188,964"
20,冰島,羊懼,2021/10/22,車庫娛樂股份有限公司,NEW EUROPE FILM SALES JAN NASZEWSKI,9,83,-83.69%,"17,990","1,240","292,273"
21,泰國,鬼計,2021/10/22,可樂藝術文創股份有限公司,M PICTURES COMPANY LIMITED,12,62,-90.28%,"14,265","1,590","381,545"
22,美國,爽賺姐妹,2021/10/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",6,27,-92.54%,"5,987",904,"213,306"
23,巴基斯坦,驢子當家,2021/10/22,車庫娛樂股份有限公司,AUTUMN SUN COMPANY LTD.,6,4,-95.96%,"1,010",687,"165,686"
24,賽普勒斯,我的意外男伴,2021/10/22,佳映娛樂國際股份有限公司,m-appeal world sales UG (haftungsbeschr) ​,2,3,-95.16%,600,113,"25,475"
25,美國,最後的決鬥,2021/10/15,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",32,332,-84.81%,"85,174","14,473","3,522,016"
26,日本,FINAL FANTASY XIV 光之老爸 劇場版,2021/10/15,天馬行空數位有限公司,GAGA Corporation,3,11,-92.57%,"2,870","1,418","345,995"
27,南韓,白色情人節：鬼迷宮,2021/10/15,車庫娛樂股份有限公司,RELAY MOTION KFT.,2,4,-96.83%,"1,060","4,139","1,021,358"
28,美國,猛毒2：血蜘蛛,2021/10/13,美商台灣索尼影業發行股份有限公司台灣分公司,(美國)SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,96,"36,962",-53.29%,"8,966,058","570,522","145,812,032"
29,日本,龍與雀斑公主,2021/10/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,42,"4,034",-49.74%,"1,009,992","81,058","20,591,634"
30,美國,寶貝老闆：家大業大,2021/10/08,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,40,597,-64.21%,"130,794","38,472","9,254,040"
31,美國,殺手保鑣2,2021/10/08,海樂影業股份有限公司,"MILLENNIUM MEDIA,INC.",11,186,-82.50%,"45,080","35,857","8,628,184"
32,日本,麵包超人電影版：軟綿綿與雲之國,2021/10/08,曼迪傳播有限公司,"TMS ENTERTAINMENT CO.,LTD.",3,23,-71.25%,"5,368","1,047","259,405"
33,美國,四個好日子,2021/10/08,鴻聯國際開發股份有限公司,FGD Movie Inc.,1,11,-54.17%,"2,510",909,"197,111"
34,羅馬尼亞,倒楣性愛和瘋狂A片,2021/10/08,海鵬影業有限公司,ATRIUM PRODUCTIONS KFT,2,9,-95.98%,"2,215","2,069","454,515"
35,南韓,攔截聲命線,2021/10/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,2,4,-85.19%,960,"5,913","1,441,796"
36,中華民國,鱷魚,2021/10/08,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,鹿路電影有限公司,台灣大哥大myVideo,中環國際娛樂事業股份有限公司,華映娛樂股份有限公司,台北真好電影股份有限公司,中台興化學工業股份有限公司,崴森管理顧問股份有限公司,高雄市電影館",3,116,-42.29%,"23,720","11,409","2,691,984"
