序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,雨中的慾情,2024/12/22,光年映畫有限公司,SEDIC INTERNATIONAL INC.,21,"1,056",294.03%,"327,790","1,324","420,010"
2,柬埔寨,靈寓,2024/12/20,仲業股份有限公司,Reel Suspects S.A.R.L.,18,484,-6.02%,"126,527",999,"265,494"
3,南韓,恐怖日常怪談,2024/12/20,車庫娛樂股份有限公司,RELAY MOTION KFT.,63,845,-31.85%,"215,025","2,085","520,504"
4,法國,手榴彈‧革命‧還有愛與詩,2024/12/20,捷傑有限公司,PATHE FILMS S.A.S.,12,251,-9.39%,"58,150",528,"121,553"
5,中國大陸,一部未完成的電影,2024/12/20,好威映象有限公司,SOCIETE PARISIENNE DE PRODUCTION SARL,32,"4,937",45.55%,"1,201,700","8,329","2,105,122"
6,西班牙,安眠殺機,2024/12/20,采昌國際多媒體股份有限公司,Castelao Pictures## S.L.U.,34,885,-29.87%,"212,768","2,147","511,660"
7,日本,LAST MILE：全面引爆,2024/12/20,車庫娛樂股份有限公司,RELAY MOTION KFT.,79,"15,164",26.47%,"3,865,252","27,154","6,918,262"
8,美國,末世生存者,2024/12/20,車庫娛樂股份有限公司,RELAY MOTION KFT.,4,24,-7.69%,"5,070",50,"10,590"
9,日本,殺人結業弒,2024/12/20,可樂藝術文創股份有限公司,Nikkatsu Corporation,15,177,27.34%,"41,976",316,"73,841"
10,日本,情書,2024/12/20,可樂藝術文創股份有限公司,PONY CANYON INC.,15,"1,102",49.73%,"286,568","1,838","477,925"
11,美國,獅子王：木法沙,2024/12/19,台灣華特迪士尼股份有限公司,BUENA VISTA INTERNATIONAL  INC.,95,"74,988",-9.53%,"20,786,355","157,872","44,503,300"
12,法國,響亮心重奏,2024/12/18,佳映娛樂國際股份有限公司,PLAYTIME,9,321,186.61%,"71,772",433,"96,412"
13,日本,PTP：永遠不滅,2024/12/18,造次文化有限公司,warner music japan inc,13,"1,704",-9.55%,"437,771","3,588","976,779"
14,南韓,邪體：鬼拼屠,2024/12/13,車庫娛樂股份有限公司,RELAY MOTION KFT.,42,611,-73.41%,"155,214","5,617","1,432,889"
15,中華民國,優雅的相遇,2024/12/13,張作驥電影工作室有限公司,張作驥電影工作室有限公司,8,677,-63.33%,"151,962","3,499","773,951"
16,南韓,窺鏡,2024/12/13,車庫娛樂股份有限公司,RELAY MOTION KFT.,64,976,-72.35%,"248,709","7,934","1,991,183"
17,日本,風都偵探 假面騎士SKULL的肖象,2024/12/13,華映國際文創股份有限公司,東映株式會社,12,424,-64.25%,"124,503","3,672","1,049,591"
18,美國,獵人克萊文,2024/12/13,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,96,"8,535",-58.48%,"2,173,675","53,067","14,130,446"
19,泰國,404宿靈速速逃,2024/12/13,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 COMPANY LIMITED,38,509,-67.66%,"125,561","3,896","951,734"
20,法國,艾曼紐2024,2024/12/13,薩摩亞商雄讚股份有限公司台灣分公司,GOODFELLAS SAS,31,189,-81.25%,"44,885","1,979","463,809"
21,南韓,旅人所嚮,2024/12/13,可樂藝術文創股份有限公司,FINECUT CO.  LTD.,3,161,-21.08%,"34,325",485,"109,724"
22,愛爾蘭,這就是聖誕節,2024/12/13,輝洪開發股份有限公司,Autlook Filmsales GmbH as Sales Agent for Venom Ltd,2,15,-83.33%,"3,370",160,"37,756"
23,,再見了！茱莉亞,2024/12/13,海鵬影業有限公司,MAD SOLUTIONS,9,111,-64.76%,"22,245",730,"150,663"
24,日本,黑箱日記,2024/12/13,天馬行空數位有限公司,DOGWOOF LTD,15,663,-51.43%,"149,088","2,899","685,345"
25,日本,我獨自升級：二次覺醒,2024/12/11,薩摩亞商羚邦(亞洲)有限公司台灣分公司,Aniplex  Inc.,15,"5,993",-33.17%,"1,645,054","23,679","6,545,988"
26,日本,赤羽骨子的秘密保鑣,2024/12/08,天馬行空數位有限公司,PONY CANYON INC.,19,551,-28.72%,"136,728","1,604","421,962"
27,日本,消失的豪門妻,2024/12/06,采昌國際多媒體股份有限公司,PONY CANYON INC.,10,134,-77.67%,"31,070","4,499","1,082,084"
28,西班牙,風流西班牙: 摩洛哥情事,2024/12/06,聯影企業股份有限公司,TELECINCO CINEMA S.A.U,1,9,-79.07%,"2,070",413,"84,665"
29,香港,從今以後,2024/12/06,前景娛樂有限公司,Mise en Scene Film Production Ltd,3,14,-78.46%,"3,270",761,"173,336"
30,南韓,聽說,2024/12/06,車庫娛樂股份有限公司,RELAY MOTION KFT.,24,453,-58.67%,"113,704","11,026","2,914,022"
31,美國,艾諾拉,2024/12/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,11,805,-40.59%,"195,012","7,111","1,753,354"
32,中華民國,台灣超人,2024/12/06,牽猴子股份有限公司,美力台灣3D協會,46,"5,435",-11.57%,"1,291,714","40,740","9,546,764"
33,中華民國,鳳姐,2024/12/06,威視股份有限公司,草字頭娛樂有限公司##光速火箭股份有限公司##文化內容策進院##后花園數位影像製作有限公司,39,"1,631",-47.39%,"392,296","19,071","4,783,056"
