序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,追海豚的長崎夏日,2023/02/17,中影股份有限公司,"KINOSHITA GROUP CO., LTD.",12,382,-7.73%,"82,710",796,"171,232"
2,南韓,首爾怪談,2023/02/17,車庫娛樂股份有限公司,RELAY MOTION KFT.,56,"3,221",-16.92%,"762,353","7,098","1,691,462"
3,日本,手,2023/02/17,車庫娛樂股份有限公司,RELAY MOTION KFT.,10,250,24.38%,"57,132",451,"104,008"
4,法國,愛在生命終結時,2023/02/17,本萃電影有限公司,THE MATCH FACTORY GmbH,11,251,24.88%,"52,730",452,"97,216"
5,捷克,色界,2023/02/17,天馬行空數位有限公司,LOCO FILMS,10,342,13.62%,"72,265",643,"138,491"
6,美國,蟻人與黃蜂女 : 量子狂熱,2023/02/15,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",99,"131,072",-42.72%,"35,112,769","359,902","96,539,088"
7,日本,「鬼滅之刃」上弦集結，前進刀匠村,2023/02/13,木棉花國際股份有限公司,Aniplex Inc.,91,"83,142",-30.27%,"20,752,814","202,374","50,268,310"
8,美國,鬼臥床,2023/02/10,車庫娛樂股份有限公司,RELAY MOTION KFT.,21,234,-88.49%,"56,520","5,933","1,464,890"
9,美國,珍愛熱線,2023/02/10,捷傑有限公司,ATRIUM PRODUCTIONS KFT.,1,19,-73.61%,"4,400",203,"45,799"
10,美國,俠探特攻：驚爆獨立日,2023/02/10,車庫娛樂股份有限公司,RELAY MOTION KFT.,5,33,-93.22%,"8,820","1,301","307,632"
11,英國,日麗,2023/02/10,東昊影業有限公司,Charades,14,"4,754",-22.82%,"1,139,755","13,502","3,201,943"
12,日本,僕愛君愛：致我深愛的每個妳,2023/02/10,采昌國際多媒體股份有限公司,DENTSU PROMOTION PLUS INC.,24,"1,767",-42.18%,"440,181","8,863","2,218,055"
13,日本,僕愛君愛：致深愛妳的那個我,2023/02/10,采昌國際多媒體股份有限公司,DENTSU PROMOTION PLUS INC.,24,"1,830",-39.90%,"459,456","9,353","2,337,014"
14,日本,愛情失格,2023/02/10,原創娛樂股份有限公司,"CULTURE ENTERTAINMENT CO., LTD.",3,40,-76.47%,"8,120",299,"62,286"
15,美國,鐵達尼號 25周年重映版,2023/02/10,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",44,"3,535",-71.98%,"1,231,828","26,190","9,588,418"
16,南韓,緣起不滅,2023/02/10,香港商甲上娛樂有限公司台灣分公司,"CJ ENM CO.,LTD.",5,67,-84.56%,"15,750",937,"228,664"
17,美國,超難搞先生,2023/02/10,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,93,"6,853",-52.31%,"1,669,337","40,170","9,752,243"
18,中華民國,山椒魚來了,2023/02/10,牽猴子股份有限公司,大麥影像傳播工作室,39,"7,907",-20.86%,"1,820,728","26,259","6,019,197"
19,中華民國,關於我和鬼變成家人的那件事,2023/02/10,威視股份有限公司,"伯樂影業股份有限公司 ,金盞花大影業股份有限公司 ,中環國際娛樂事業股份有限公司 ,良人行影業有限公司 ,宏將影業有限公司 ,聚星文創娛樂事業股份有限公司 ,滿滿額娛樂股份有限公司 ,東森電視事業股份有限公司 ,眾合千澄影視文化傳媒有限公司,瀚草影視文化事業股份有限公司,英雄旅程股份有限公司",102,"313,491",-4.10%,"77,407,784","829,277","204,717,829"
20,瑞典,開羅謀殺案,2023/02/10,海鵬影業有限公司,MEMENTO INTERNATIONAL,11,384,-55.19%,"78,975","2,140","452,306"
21,奧地利,束縛,2023/02/10,好威映象有限公司,MK2 FILMS,6,240,-67.79%,"52,515","1,743","379,832"
22,南韓,巫師靈不靈！？,2023/02/10,可樂藝術文創股份有限公司,"kt alpha Co.,Ltd",2,9,-90.43%,"1,890",236,"53,524"
23,日本,新世紀福音戰士新劇場版：終,2023/02/03,曼迪傳播有限公司,"KING RECORD CO., LTD.",17,"1,523",-58.92%,"397,042","22,411","7,817,031"
24,南韓,幻影,2023/02/03,香港商甲上娛樂有限公司台灣分公司,"CJ ENM Co., Ltd.",1,24,-90.51%,"5,690","6,490","1,544,038"
25,美國,敲敲門,2023/02/03,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,36,95,-89.35%,"22,900","13,813","3,384,889"
26,美國,瑪琳艾索普：首席女指揮,2023/02/03,造次文化有限公司,CARGO FILM & RELEASING LLC,5,214,-51.25%,"49,525","2,235","533,009"
27,羅馬尼亞,仇恨謎林,2023/02/03,光年映畫有限公司,WILD BUNCH INTERNATIONAL,3,43,-73.13%,"9,580","1,076","235,763"
28,美國,我的鯨魚老爸,2023/02/03,車庫娛樂股份有限公司,RELAY MOTION KFT.,52,"4,634",-36.33%,"1,155,187","29,002","7,208,334"
29,南韓,火線交涉,2023/02/03,車庫娛樂股份有限公司,RELAY MOTION KFT.,40,512,-79.96%,"118,047","27,148","6,420,150"
30,南韓,BTS: YET TO COME IN CINEMAS,2023/02/01,威秀影城股份有限公司,Trafalgar Releasing Ltd.,3,342,356.00%,"174,420","15,553","10,012,935"
31,美國,伊尼舍林的女妖,2023/01/27,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",22,759,-29.85%,"180,937","11,414","2,708,834"
32,美國,迫降危機,2023/01/25,車庫娛樂股份有限公司,RELAY MOTION KFT.,38,806,-80.31%,"187,572","117,093","28,558,292"
33,南韓,淘氣小企鵝啵樂樂 電影版：巨龍城堡大冒險,2023/01/20,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,9,200.00%,"1,915","3,033","710,805"
34,中華民國,詐團圓,2023/01/20,博偉電影股份有限公司,"青睞影視製作股份有限公司,文化內容策進院,六六喜喜股份有限公司,台灣大哥大股份有限公司(My Video),呈洋國際有限公司",7,820,19.71%,"187,829","100,677","23,874,296"
35,美國,玩命特攻：武演行動,2023/01/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,17,"1,761",-31.51%,"394,576","168,796","41,356,154"
36,日本,舌尖上的禪,2023/01/19,天馬行空數位有限公司,NIKKATSU CORPORATION,1,11,83.33%,"2,220","1,831","388,633"
37,美國,巴比倫,2023/01/17,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,5,416,-48.77%,"109,970","34,799","9,410,268"
38,日本,屁屁偵探 : 天才惡人屁屁亞蒂,2023/01/14,薩摩亞商雄讚股份有限公司台灣分公司,TOEI ANIMATION ENTERPRISES LTD.,34,"1,122",-4.51%,"265,473","60,059","14,388,272"
39,日本,巧虎電影　巧虎與塔魯王子,2023/01/13,全民大劇團股份有限公司,法人倍樂生株式會社,18,357,-24.36%,"88,240","15,564","3,874,266"
40,日本,灌籃高手 THE FIRST SLAM DUNK,2023/01/13,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",99,"42,398",-34.69%,"10,584,573","1,679,090","427,741,368"
41,中華民國,山中森林,2023/01/13,采昌國際多媒體股份有限公司,禾力文創有限公司,4,201,-73.55%,"46,350","58,812","14,039,848"
