序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,咒,2022/03/18,牽猴子股份有限公司,"空殼影像股份有限公司    ,精漢堂影像有限公司,川琇數位娛樂有限公司,地球防衛隊娛樂有限公司,艾德國際投資股份有限公司,奇亨創意影像有限公司,語謙行銷有限公司,高雄人（高雄市電影館）,世界投資顧問股份有限公司,夢想創造股份有限公司",92,"227,513",135.05%,"54,260,046","324,606","77,398,733"
2,中華民國,少年吔,2022/03/18,星泰國際娛樂股份有限公司,原典國際影視製作有限公司,73,"50,839",9.47%,"11,970,391","97,282","22,941,564"
3,美國,壞蛋聯盟,2022/03/18,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,84,"25,195",2.94%,"5,997,175","49,951","11,926,530"
4,日本,魔法水果籃 -前奏曲-,2022/03/18,曼迪傳播有限公司,TV TOKYO Corporation,11,"2,005",2.87%,"499,092","3,954","985,900"
5,南韓,奇怪的數學家,2022/03/18,車庫娛樂股份有限公司,SHOWBOX CORP.,47,"1,383",-16.79%,"313,977","3,045","706,774"
6,法國,今敏：造夢魔術師,2022/03/18,光年映畫有限公司,Carlotta Films,23,"1,240",23.26%,"285,420","2,246","518,043"
7,英國,極限逃殺,2022/03/18,采昌國際多媒體股份有限公司,GFM FILMS LLP,26,"1,147",-5.91%,"255,822","2,366","530,815"
8,西班牙,丟包大作戰,2022/03/18,威視股份有限公司,"FILM FACTORY ENTERTAINMENT,S.L.",29,"1,057",-1.40%,"253,511","2,129","512,615"
9,美國,終極堡壘,2022/03/18,車庫娛樂股份有限公司,RELAY MOTION KFT.,44,"1,143",-38.18%,"241,478","2,992","629,888"
10,中華民國,願未央,2022/03/18,目宿媒體股份有限公司,目宿媒體股份有限公司,14,870,-2.36%,"185,320","2,270","491,023"
11,美國,獵殺戰場,2022/03/18,峻龍國際有限公司,"Fandom Holdings,LLC.",19,617,-28.51%,"137,116","1,480","333,427"
12,美國,全面掃蕩,2022/03/18,天馬行空數位有限公司,Atrium Productions Kft.,22,525,-19.60%,"121,481","1,178","275,440"
13,美國,劫獄救援,2022/03/18,可樂藝術文創股份有限公司,Atrium Productions. Kft.,26,464,-48.16%,"100,568","1,359","298,725"
14,南韓,遊走塵市間,2022/03/18,中影股份有限公司,"FINECUT CO.,LTD.",6,266,-6.01%,"58,130",549,"118,980"
15,中華民國,該死的阿修羅,2022/03/11,內容物數位電影製作有限公司,"內容物數位電影製作有限公司,岸上影像有限公司,數位奇蹟科技股份有限公司",34,"2,107",-54.70%,"507,031","10,708","2,535,552"
16,美國,貝爾法斯特,2022/03/11,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,12,940,-49.76%,"224,427","4,095","945,197"
17,中華民國,青春換日線,2022/03/11,原創娛樂股份有限公司,"峰起云湧影業股份有限公司,班迪國際有限公司",24,444,-75.76%,"98,761","6,048","1,367,501"
18,日本,接棒家族,2022/03/11,車庫娛樂股份有限公司,RELAY MOTION KFT.,19,249,-83.44%,"59,134","3,455","814,018"
19,美國,絕命通話,2022/03/11,英屬維京群島商高捷全球開發有限公司 台灣分公司,Boies/Schiller Film Group Inc.,52,256,-87.81%,"55,192","5,674","1,276,257"
20,南韓,茲山魚譜,2022/03/11,捷傑有限公司,M-LINE DISTRIBUTION,6,250,-42.40%,"54,260","1,070","232,762"
21,泰國,凝弒,2022/03/11,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"CJ ENM CO.,Ltd",42,207,-90.11%,"47,355","5,651","1,319,853"
22,俄羅斯,絕命第19排,2022/03/11,車庫娛樂股份有限公司,RELAY MOTION KFT.,33,144,-91.73%,"30,395","5,093","1,142,448"
23,日本,Fate/stay night - 無限劍製,2022/03/11,普威爾國際股份有限公司,"Tokyo Broadcasting System Television,Inc.,",10,26,-90.23%,"6,105",717,"181,634"
24,西班牙,平行母親,2022/03/04,傳影互動股份有限公司,BATRAX ENTERTAINMENT B.V.,9,241,-44.98%,"56,904","2,563","587,837"
25,法國,巴黎夢想家,2022/03/04,可樂藝術文創股份有限公司,GAUMONT S.A,1,49,-79.15%,"11,800","1,386","303,737"
