序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,加拿大,童魘,2023/12/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,9,32,-8.57%,"6,910",67,"15,135"
2,中國大陸,絕地追擊,2023/12/08,內容工廠有限公司,愛奇藝影業(蘇州)有限公司##愛奇藝影業(上海)有限公司##廈門恒業影業有限公司,26,394,0.00%,"92,517",394,"92,517"
3,日本,花腐,2023/12/08,中影股份有限公司,TOEI VIDEO COMPANY  LTD.,7,228,-52.89%,"51,295","1,100","248,775"
4,美國,夢行者保羅,2023/12/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,67,"4,908",7.11%,"1,197,989","9,490","2,311,932"
5,南韓,水鬼,2023/12/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,56,"2,530",-32.80%,"617,877","6,295","1,559,995"
6,日本,鄰人Ｘ：謎樣的女子,2023/12/08,天馬行空數位有限公司,恆星多媒體股份有限公司,28,670,-22.54%,"165,628","1,535","409,248"
7,南韓,30日,2023/12/08,車庫娛樂股份有限公司,RELAY MOTION KFT.,14,375,-59.46%,"91,516","10,366","2,508,067"
8,日本,東京復仇者2：血腥萬聖節 後篇─決戰,2023/12/08,華映國際文創股份有限公司,富士電視台##日本華納兄弟合同會社,28,475,-54.24%,"110,714","1,513","349,719"
9,美國,魔髮精靈：樂團在一起,2023/12/08,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,"4,937",-40.78%,"1,193,486","24,046","5,841,348"
10,日本,歡迎來到駒田蒸餾所,2023/12/08,采昌國際多媒體股份有限公司,Gaga Corporation,30,"2,807",9.26%,"705,897","5,376","1,352,875"
11,盧森堡,我們從末日開始,2023/12/08,薩摩亞商雄讚股份有限公司台灣分公司,TEWSF S.C.S.,17,302,-7.93%,"66,821",763,"170,792"
12,中華民國,小曉,2023/12/08,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,華映娛樂股份有限公司##得利影視股份有限公司##華文創股份有限公司##承達投資有限公司##寓言工作室##影響原創影視股份有限公司,66,"17,886",29.78%,"4,391,051","31,818","7,878,493"
13,香港,年少日記,2023/12/08,光年映畫有限公司,MM2 STUDIOS HONG KONG  LTD,31,"3,787",73.56%,"903,927","6,442","1,542,291"
14,西班牙,與達利有約,2023/12/08,天馬行空數位有限公司,LOCO FILMS,4,51,-78.02%,"9,190",475,"101,237"
15,美國,旺卡,2023/12/06,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,102,"92,546",2.46%,"25,229,376","182,871","49,983,475"
16,南韓,NCT NATION：To The World in Cinemas,2023/12/06,威秀影城股份有限公司,Trafalgar Releasing Ltd.,10,23,-99.22%,"14,075","2,969","1,574,925"
17,美國,壁花男孩,2023/12/01,車庫娛樂股份有限公司,RELAY MOTION KFT.,4,14,-85.42%,"2,990",262,"61,401"
