序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,青春弒戀,2021/11/19,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",58,"4,766",-36.90%,"1,146,106","12,665","3,064,233"
2,日本,《少女與戰車 最終章》 第3話,2021/11/19,華藝娛樂股份有限公司,Hakuhodo DY music & Pictures Inc.,26,"2,438",-26.92%,"1,022,395","5,774","2,378,471"
3,中華民國,金錢男孩MONEYBOYS,2021/11/19,前景娛樂有限公司,"台北市電影委員會,前景娛樂有限公司,KGP Filmproduktion,Zorba ,Panache Productions,ARTE France Cinéma,La Cie Cinématographique",43,"2,833",-32.74%,"661,336","7,045","1,657,758"
4,香港,濁水漂流,2021/11/19,滿滿額娛樂股份有限公司,"滿滿額創作香港有限公司,羚邦控股有限公司,宇鯉影業有限公司",13,944,81.19%,"235,694","1,465","366,475"
5,日本,超慄方殺陣,2021/11/19,原創娛樂股份有限公司,"Shochiku Co.,Ltd.",21,939,-50.37%,"219,783","2,831","673,221"
6,南韓,喋血江陵,2021/11/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,39,886,-46.85%,"199,628","2,553","588,227"
7,日本,電影版 輝夜姬想讓人告白～天才們的戀愛頭腦戰～ FINAL,2021/11/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,27,479,-50.10%,"114,329","1,439","347,145"
8,泰國,我們的限時約定,2021/11/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Benley Film Co.,Ltd.",24,505,-10.46%,"111,895","1,069","243,898"
9,英國,撕裂異弒界,2021/11/19,光年映畫有限公司,PROTAGONIST PICTURES LIMITED,21,375,-32.92%,"87,880",934,"217,128"
10,中華民國,真相地圖,2021/11/19,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,6,432,64.89%,"68,800",694,"110,750"
11,美國,浪浪伊斯坦堡,2021/11/19,好威映象有限公司,Dogwoof,10,197,-28.88%,"40,885",474,"92,385"
12,南韓,鬼村：殺人魔之女,2021/11/19,車庫娛樂股份有限公司,EVRIT CONSULTING KFT.,3,77,-2.53%,"16,960",156,"35,835"
13,日本,人為什麼活著：蓮如上人與吉崎大火,2021/11/19,車庫娛樂股份有限公司,"TOEI COMPANY, LTD.",9,31,6.90%,"6,680",60,"13,285"
14,美國,王者理查,2021/11/18,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,91,"7,939",-14.63%,"1,878,513","19,436","4,585,000"
15,日本,刀劍神域劇場版 –Progressive- 無星夜的詠嘆調,2021/11/12,木棉花國際股份有限公司,Aniplex Inc.,75,"19,335",-47.11%,"5,657,856","104,725","26,323,926"
16,中華民國,詭扯,2021/11/12,車庫娛樂股份有限公司,"良人行影業有限公司,Arthur Film Inc. (주)아더필름,車庫娛樂股份有限公司,麻吉砥加電影有限公司,聚星文創娛樂事業股份有限公司,樂到家國際娛樂股份有限公司,宏將傳媒股份有限公司",48,"10,104",-49.70%,"2,430,231","48,765","11,762,458"
17,香港,梅艷芳,2021/11/12,美商台灣索尼影業發行股份有限公司台灣分公司,"安樂影片有限公司,萬誘引力乙有限公司,天下一電影製作有限公司,華夏電影發行有限責任公司,電訊盈科媒體有限公司",87,"7,297",-50.02%,"1,773,471","36,553","8,714,762"
18,美國,迷離夜蘇活,2021/11/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,84,"4,262",-61.66%,"1,048,430","23,950","5,802,366"
19,日本,安雅與魔女,2021/11/12,香港商甲上娛樂有限公司台灣分公司,Studio Ghibli Inc.,56,"3,016",-64.87%,"707,183","22,602","5,341,001"
20,義大利,達賴喇嘛:大腦故事,2021/11/12,聯影企業股份有限公司,MAKARAMPA S.R.L.,10,"1,757",-30.83%,"375,673","5,698","1,240,333"
21,美國,鹿魔,2021/11/12,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",71,"1,235",-79.44%,"287,779","15,334","3,657,653"
22,中華民國,文林銀行,2021/11/12,視納華仁文化傳播股份有限公司,視納華仁文化傳播股份有限公司,8,343,-24.62%,"75,570","1,040","240,275"
23,日本,蒸氣男孩,2021/11/12,向洋影業有限公司,"TBS GLOWDIA,Inc.",6,36,-90.35%,"8,535",851,"200,947"
