序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,西班牙,神鬼第六感,2023/05/05,車庫娛樂股份有限公司,STUDIOCANAL S.A.S.,12,188,55.37%,"41,010",309,"67,778"
2,美國,追殺代理人,2023/05/05,采昌國際多媒體股份有限公司,Atrium Productions Kft.,43,"1,314",-32.58%,"308,994","3,263","781,718"
3,美國,上流謀殺案,2023/05/05,仲業股份有限公司,ACE Entertainment Films Inc,21,685,-9.75%,"160,925","1,444","347,623"
4,印尼,鬼噤聲,2023/05/05,車庫娛樂股份有限公司,待補,52,"3,634",-14.87%,"876,874","7,903","1,928,945"
5,法國,燃燒的玫瑰,2023/05/05,中影股份有限公司,Gaumont S.A.,12,518,-1.52%,"105,756","1,044","216,118"
6,伊朗,萊拉兄弟,2023/05/05,捷傑有限公司,ELLE DRIVER,10,172,-18.87%,"37,985",384,"83,834"
7,法國,揮灑心篇章,2023/05/05,原創娛樂股份有限公司,ORANGE STUDIO,13,407,51.87%,"86,755",706,"151,547"
8,日本,指尖上綻放的愛,2023/05/05,威視股份有限公司,GAGA CORPORATION,36,769,8.92%,"176,242","1,475","343,312"
9,美國,星際異攻隊3,2023/05/03,台灣華特迪士尼股份有限公司,BUENA VISTA INTERNATIONAL  INC.,100,"154,066",-21.11%,"41,376,608","349,368","94,098,044"
10,美國,限時追捕,2023/04/28,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,61,915,-78.85%,"206,082","10,340","2,346,673"
11,日本,扶桑花女孩之舞,2023/04/28,水元素文化傳媒有限公司,Fuji Creative Corporation,4,15,-89.05%,"3,160",297,"68,697"
12,南韓,魯蛇大翻身,2023/04/28,車庫娛樂股份有限公司,RELAY MOTION KFT.,38,476,-82.05%,"110,151","6,230","1,473,163"
13,中華民國,麻罪犯,2023/04/28,車庫娛樂股份有限公司,後場音像紀錄工作室有限公司,6,555,-14.88%,"88,750","1,705","272,335"
14,加拿大,絕命控制,2023/04/28,可樂藝術文創股份有限公司,WTFILMS,6,25,-90.23%,"5,445",532,"124,738"
15,巴基斯坦,愛情美樂地,2023/04/28,傳影互動股份有限公司,JOYLAND LLC.##FILM CONSTELLATION LTD.,6,169,-69.60%,"36,325","1,286","276,366"
16,美國,梵蒂岡驅魔士,2023/04/28,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,95,"7,322",-60.54%,"1,800,357","43,390","10,638,293"
17,日本,這就是我,2023/04/28,本萃電影有限公司,Nagoya Broadcasting Network,6,45,-77.16%,"9,955",426,"93,514"
18,中華民國,速命道,2023/04/27,寬銀慕電影製作有限公司,寬銀慕電影製作有限公司##Children's Town Limited.##台灣映藝娛樂股份有限公司##財團法人台北市文化基金會台北市電影委員會##大腕影業國際有限公司,101,"16,082",-62.26%,"3,957,588","118,350","29,876,045"
19,日本,心之谷,2023/04/25,政駒實業有限公司,SHOCHIKU CO.  LTD,19,200,-77.55%,"47,399","2,548","646,846"
20,日本,王立宇宙軍～歐尼亞米斯之翼～：4K數位修復版,2023/04/23,光年映畫有限公司,Bandai Namco Filmworks,23,"1,925",-31.03%,"494,250","5,476","1,499,957"
21,英國,傲慢與偏見,2023/04/22,威秀影城股份有限公司,Broadway on Demand,6,106,0.00%,"72,120",174,"119,120"
22,日本,月之圓缺,2023/04/21,采昌國際多媒體股份有限公司,Shochiku Co.  Ltd.,10,322,-53.74%,"75,460","6,070","1,432,103"
23,美國,愛瑪,2023/04/21,威秀影城股份有限公司,Broadway on Demand,1,23,-8.00%,"14,960",77,"48,600"
24,日本,愛是自私,2023/04/21,天馬行空數位有限公司,NIKKATSU CORPORATION,11,244,-64.84%,"56,675","5,051","1,218,300"
25,英國,烈火亞當,2023/04/21,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,10,-56.52%,"2,160",273,"54,278"
26,日本,電影刀劍亂舞-黎明-,2023/04/21,天馬行空數位有限公司,Marvelous lnc.,14,405,-60.06%,"103,270","5,901","1,633,204"
27,英國,絕地營救,2023/04/21,車庫娛樂股份有限公司,RELAY MOTION KFT.,68,"5,996",-55.67%,"1,438,110","61,561","14,804,293"
28,日本,Fishmans,2023/04/21,造次文化有限公司,Access Television Japan Ltd,4,65,-80.24%,"16,450","1,579","381,083"
29,日本,電影版 佐佐木與宮野 畢業篇,2023/04/21,薩摩亞商羚邦(亞洲)有限公司台灣分公司,KADOKAWA CORPORATION,14,"1,150",-58.77%,"292,053","11,438","2,933,205"
30,巴勒斯坦,地中海發燒友,2023/04/21,東昊影業有限公司,Luxbox SAS,1,5,-88.64%,"1,400",348,"73,260"
31,美國,寶可噩夢,2023/04/21,薩摩亞商雄讚股份有限公司台灣分公司,A24 INTERNATIONAL  LLC,16,290,-69.57%,"74,804","6,023","1,611,307"
32,西班牙,屍智症,2023/04/21,原創娛樂股份有限公司,Castelao Pictures##S.L.U.,2,3,-76.92%,680,304,"68,867"
33,中華民國,空巢,2023/04/21,星泰國際娛樂股份有限公司,好享國際文創股份有限公司##文化內容策進院##Enjoy TV Holding Sdn. Bhd,14,117,-89.30%,"24,923","4,023","862,777"
34,中華民國,不能流淚的悲傷,2023/04/21,華映國際文創股份有限公司,亞太國影（深圳）影業有限公司##中國電影股份有限公司##中影創意（北京）電影有限公司##天津貓眼微影文化傳媒有限公司##亞太國影（重慶）文化傳媒有限公司##廣東潮樂文化傳媒有限公司##深圳市三羊文化集團有限公司##深圳市新藝城影業有限公司##亞太國影（蘇州）影業有限公司##亞太華影（北京）影業有限公司##無雙（深圳）影業有限公司##佛山泓東影視文化傳媒有限公司##廣東新億投資有限公司##浙江東陽瀚雅映影視文化傳媒有限公司##北京博視眾和文化傳播有限公司##香蕉映畫有限公司##華映娛樂股份有限公司,26,511,-66.56%,"124,648","11,217","2,744,309"
35,美國,鬼玩人：復活,2023/04/20,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,83,"5,057",-55.35%,"1,255,064","65,515","16,352,673"
36,日本,離不開你的依賴,2023/04/19,希望影視行銷股份有限公司,RIGHTS CUBE Inc.,7,19,-87.90%,"4,600",777,"170,122"
37,香港,窄路微塵,2023/04/18,佳映娛樂國際股份有限公司,MM2 STUDIOS HONG KONG LIMITED##埋位製作有限公司,8,132,-63.03%,"31,330",949,"226,421"
38,美國,《樂隊舞台》——男孩們回來了,2023/04/18,威秀影城股份有限公司,Broadway on Demand,2,10,-60.00%,"6,480",57,"38,360"
39,俄羅斯,柴可夫斯基的妻子,2023/04/14,天馬行空數位有限公司,CHARADES,2,17,-80.00%,"4,140","1,372","280,055"
40,香港,燈火闌珊,2023/04/14,香港商甲上娛樂有限公司台灣分公司,燈火闌珊有限公司,3,4,-94.59%,940,"2,271","514,047"
41,美國,吸血鬼特助：雷菲爾,2023/04/14,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,13,156,-83.33%,"37,453","29,928","7,390,404"
42,日本,假面騎士劇場版 Battle Royale,2023/04/14,木棉花國際股份有限公司,Toei Company  Ltd.,3,16,-85.19%,"3,920","4,987","1,244,191"
43,中華民國,疫起,2023/04/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,凱擘影藝股份有限公司##奇幻娛樂國際股份有限公司##有戲娛樂股份有限公司##良人行影業有限公司##大慕可可股份有限公司 ##六六喜喜股份有限公司##台灣大哥大股份有限公司 (台灣大哥大 MyVideo)##聚星文創娛樂事業股份有限公司 ##宏將影業有限公司 ##華文創股份有限公司 ##得利影視股份有限公司,59,"2,138",-64.54%,"520,030","69,933","16,669,352"
44,美國,穆荷蘭大道 4K數位修復版,2023/04/14,車庫娛樂股份有限公司,STUDIOCANAL S.A.S.,1,6,-75.00%,"1,420",933,"230,224"
45,日本,百花,2023/04/07,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,3,-66.67%,800,"4,501","1,016,017"
46,法國,再一次勇敢跳躍,2023/04/07,中影股份有限公司,STUDIOCANAL,1,14,-86.41%,"2,400","1,898","409,399"
47,美國,過去那五年,2023/04/06,威秀影城股份有限公司,Broadway on Demand,3,48,380.00%,"32,240",132,"86,830"
48,美國,AIR,2023/04/05,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,10,305,-70.45%,"84,047","42,489","10,689,658"
49,美國,超級瑪利歐兄弟電影版,2023/04/05,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,100,"44,702",-51.59%,"11,065,790","1,052,407","266,832,412"
