影視產業樣貌,,,,,,
,,,,,,
說明: 資料破損嚴重、分類不齊、並考慮到會再更新，因此隨便整理一下而已.,,,,,,
T,C,C,R,R,R,R
,,,家,人,新臺幣,新臺幣
,,,,,8,8
年度,主產業,次產業,營利事業家數,就業人數,產值,出口值
105,電視產業,網路影音節目製作,6,─,2.67,0.04
105,電視產業,數位發行與播送,2,─,13.08,0.29
105,電影產業,電影製作業,841,367,25.55,1.93
105,電影產業,電影後製業,105,402,5.99,0.2
105,電影產業,電影發行業,171,367,55.31,0.54
105,電影產業,電影映演業,110,3423,120.56,0
105,廣播產業,廣播節目製作及發行,244,─,─,─
105,廣播產業,廣播電臺經營,170,7068,─,─
105,廣播產業,網路廣播,3,─,─,─
105,廣播產業,合計,─,─,65.32,0.89
105,動畫產業,核心內容產製,─,─,─,─
105,動畫產業,國內發行平臺,─,─,─,─
106,電視產業,電視節目製作,664,─,259.56,4.61
106,電視產業,電視節目後製,─,─,─,─
106,電視產業,電視節目發行,59,─,44.15,0.08
106,電視產業,電視內容產業,723,4782,303.71,4.69
106,電視產業,電視頻道,117,14169,535.84,2.76
106,電視產業,電視平臺,66,6438,533.76,0.002
106,電視產業,網路影音節目製作,12,─,4.87,0.25
106,電視產業,數位發行與播送,2,─,37.47,1.98
106,電影產業,電影製作業,1020,375,25.68,2.2
106,電影產業,電影後製業,117,393,5.76,0.2
106,電影產業,電影發行業,165,397,61.44,0.69
106,電影產業,電影映演業,111,3647,128.43,0.11
106,廣播產業,廣播節目製作及發行,250,─,─,─
106,廣播產業,廣播電臺經營,171,6960,─,─
106,廣播產業,網路廣播,6,─,─,─
106,廣播產業,合計,─,─,64.8,0.64
106,動畫產業,核心內容產製,─,─,23.01,10.03
106,動畫產業,國內發行平臺,─,─,93.52,─
106,動畫產業,合計,72,─,─,─
107,電視產業,電視節目製作,663,─,288.56,3.77
107,電視產業,電視節目後製,─,─,─,─
107,電視產業,電視節目發行,60,─,46.82,4.13
107,電視產業,電視內容產業,723,5204,335.38,7.9
107,電視產業,電視頻道,119,14077,532.3,2.62
107,電視產業,電視平臺,66,6237,495.58,0
107,電視產業,網路影音節目製作,34,─,13.16,0.37
107,電視產業,數位發行與播送,6,─,44.99,2.16
107,電影產業,電影製作業,1206,374,28.27,2.81
107,電影產業,電影後製業,104,396,5.98,0.26
107,電影產業,電影發行業,164,369,59.59,0.98
107,電影產業,電影映演業,118,3733,130.89,0
107,廣播產業,廣播節目製作及發行,247,─,─,─
107,廣播產業,廣播電臺經營,171,6960,─,─
107,廣播產業,網路廣播,8,─,─,─
107,廣播產業,合計,─,─,62.37,0.68
107,動畫產業,核心內容產製,─,─,19.92,8.39
107,動畫產業,國內發行平臺,─,─,81.44,─
107,動畫產業,合計,67,─,─,─
108,電視產業,電視節目製作,669,─,315.34,4.06
108,電視產業,電視節目後製,─,─,─,─
108,電視產業,電視節目發行,60,─,45.47,2.31
108,電視產業,電視內容產業,729,5517,360.81,6.37
108,電視產業,電視頻道,118,13479,509.62,2.8
108,電視產業,電視平臺,65,6350,483.56,0
108,電視產業,網路影音節目製作,80,─,17.28,0.51
108,電視產業,數位發行與播送,12,─,111.71,2.89
108,電影產業,電影製作業,1372,396,29.86,3.49
108,電影產業,電影後製業,109,380,5.73,0.24
108,電影產業,電影發行業,167,359,57.72,1.09
108,電影產業,電影映演業,127,3660,127.91,0
108,廣播產業,廣播節目製作及發行,255,─,─,─
108,廣播產業,廣播電臺經營,171,6868,─,─
108,廣播產業,網路廣播,10,─,─,─
108,廣播產業,合計,─,─,65.35,0.84
108,動畫產業,核心內容產製,─,─,20.87,7.86
108,動畫產業,國內發行平臺,─,─,81.71,─
108,動畫產業,合計,112,2209,─,─
