"實際出版新書之本國與非本國作者作品（翻譯書）比重","","",""
"","","",""
"","","",""
"T","C","R","R"
"年(民國)","","本","本"
"","","0","0"
"年度","分類","整體","店銷書"
"104","本土作者書籍","16234","12260"
"104","翻譯書籍","9163","8831"
"105","本土作者書籍","15664","11583"
"105","翻譯書籍","8666","8496"
"106","本土作者書籍","15566","11009"
"106","翻譯書籍","8857","8695"
"107","本土作者書籍","14900","10668"
"107","翻譯書籍","8766","8581"
"108","本土作者書籍","15855","11186"
"108","翻譯書籍","9061","8871"
"109","本土作者書籍","14065","9686"
"109","翻譯書籍","9178","9051"
