"我國申請國際標準書號（ISBN）書籍上架率 - 整體比重","","","","","",""
"","","","","","",""
"","","","","","",""
"T","R","R","R","R","R","R"
"年(民國)","%","%","%","%","%","%"
"","0","0","0","0","0","0"
"年度","整體","博客來","誠品","金石堂","三民","新絲路"
"104","62.73","60.73","53.03","56.80","-","38.82"
"105","60.98","56.81","49.30","53.11","58.25","-"
"106","60.50","55.30","48.50","52.20","58.20","-"
"107","62.20","57.10","51.00","54.70","60.20","-"
"108","68.99","60.07","55.55","54.09","65.40","-"
