整體產業樣貌,,,,,,,
,,,,,,,
,,,,,,,
T,C,C,C,R,R,R,R
年(民國),,,,家,人,億元,億元
,,,,0,0,8,8
年度,產業別,主分類,次分類,家數,就業人數,產值,出口值
101,影視,電視產業,電視節目製作,778,"4,358",229.27,3.24
101,影視,電視產業,電視節目後製,─,619,8.82,0
101,影視,電視產業,電視節目發行,90,465,52.71,0.07
101,影視,電視產業,電視內容產業,868,"5,442",290.8,3.31
101,影視,電視產業,電視頻道,106,"14,304",536.11,10.91
101,影視,電視產業,電視平臺,72,"5,793",437.8,0.33
101,影視,電視產業,網路影音節目製作,─,─,─,─
101,影視,電視產業,數位發行與播送,─,─,─,─
101,影視,電影產業,電影製作業,392,478,26.34,1.168
101,影視,電影產業,電影後製業,79,394,6.18,0.035
101,影視,電影產業,電影發行業,214,374,53.35,0.077
101,影視,電影產業,電影映演業,95,"3,166",101.05,0
101,影視,廣播產業,廣播節目製作及發行,260,─,35.67,3.5
101,影視,廣播產業,廣播電臺經營,171,"3,554",36.71,0.99
101,影視,廣播產業,網路廣播,─,─,─,─
101,影視,動畫產業,核心內容產製,─,─,─,─
101,影視,動畫產業,國內發行平臺,─,─,─,─
102,影視,電視產業,電視節目製作,712,"4,287",232.89,4.01
102,影視,電視產業,電視節目後製,─,619,7.74,0
102,影視,電視產業,電視節目發行,82,452,42.71,0.09
102,影視,電視產業,電視內容產業,794,"5,358",283.34,4.1
102,影視,電視產業,電視頻道,110,"14,774",569.4,13.55
102,影視,電視產業,電視平臺,64,"5,983",464.82,0.4
102,影視,電視產業,網路影音節目製作,─,─,─,─
102,影視,電視產業,數位發行與播送,─,─,─,─
102,影視,電影產業,電影製作業,489,488,25.93,1.35
102,影視,電影產業,電影後製業,82,405,6.43,0.04
102,影視,電影產業,電影發行業,194,370,60.61,0.17
102,影視,電影產業,電影映演業,98,"3,215",108.77,0
102,影視,廣播產業,廣播節目製作及發行,244,─,31.41,4.4
102,影視,廣播產業,廣播電臺經營,171,"3,455",40.24,0.25
102,影視,廣播產業,網路廣播,5,─,─,─
102,影視,動畫產業,核心內容產製,─,─,─,─
102,影視,動畫產業,國內發行平臺,─,─,─,─
103,影視,電視產業,電視節目製作,693,"4,062",244.82,5.59
103,影視,電視產業,電視節目後製,─,619,10,0
103,影視,電視產業,電視節目發行,77,426,43.92,0.11
103,影視,電視產業,電視內容產業,770,"5,107",298.74,5.7
103,影視,電視產業,電視頻道,113,"14,463",575.89,16.48
103,影視,電視產業,電視平臺,62,"5,727",473.15,0.28
103,影視,電視產業,網路影音節目製作,─,─,2.49,0.01
103,影視,電視產業,數位發行與播送,─,─,6.56,0.06
103,影視,電影產業,電影製作業,559,408,27.56,1.41
103,影視,電影產業,電影後製業,82,417,6.03,0.1
103,影視,電影產業,電影發行業,182,385,61.41,0.46
103,影視,電影產業,電影映演業,100,"3,279",115.5,0.62
103,影視,廣播產業,廣播節目製作及發行,248,─,31.78,1.34
103,影視,廣播產業,廣播電臺經營,171,"7,156",38.48,0.19
103,影視,廣播產業,網路廣播,3,─,─,─
103,影視,動畫產業,核心內容產製,─,─,─,─
103,影視,動畫產業,國內發行平臺,─,─,─,─
104,影視,電視產業,電視節目製作,669,─,254.27,4.5
104,影視,電視產業,電視節目後製,─,─,─,─
104,影視,電視產業,電視節目發行,74,─,52.89,0.2
104,影視,電視產業,電視內容產業,743,"4,836",307.16,4.7
104,影視,電視產業,電視頻道,115,"14,933",588.76,11.16
104,影視,電視產業,電視平臺,63,"6,003",489.85,2.01
104,影視,電視產業,網路影音節目製作,2,─,2.91,0.07
104,影視,電視產業,數位發行與播送,2,─,11.5,0.03
104,影視,電影產業,電影製作業,671,401,27.084,3.247
104,影視,電影產業,電影後製業,94,429,6.211,0.252
104,影視,電影產業,電影發行業,175,427,68.141,2.802
104,影視,電影產業,電影映演業,105,"3,636",128.091,0
104,影視,廣播產業,廣播節目製作及發行,245,─,33.66,2.12
104,影視,廣播產業,廣播電臺經營,170,"7,082",35.43,0.18
104,影視,廣播產業,網路廣播,3,─,─,─
104,影視,動畫產業,核心內容產製,─,─,─,─
104,影視,動畫產業,國內發行平臺,─,─,─,─
105,影視,電視產業,電視節目製作,653,─,257.75,5.51
105,影視,電視產業,電視節目後製,─,─,─,─
105,影視,電視產業,電視節目發行,64,─,44.12,0.03
105,影視,電視產業,電視內容產業,717,"4,753",301.87,5.54
105,影視,電視產業,電視頻道,123,"14,167",525.17,3.82
105,影視,電視產業,電視平臺,64,"6,150",517.94,1.23
105,影視,電視產業,網路影音節目製作,6,─,2.67,0.04
105,影視,電視產業,數位發行與播送,2,─,13.08,0.29
105,影視,電影產業,電影製作業,841,367,25.55,1.93
105,影視,電影產業,電影後製業,105,402,5.99,0.2
105,影視,電影產業,電影發行業,171,367,55.31,0.54
105,影視,電影產業,電影映演業,110,"3,423",120.56,0
105,影視,廣播產業,廣播節目製作及發行,244,─,─,─
105,影視,廣播產業,廣播電臺經營,170,"7,068",─,─
105,影視,廣播產業,網路廣播,3,─,─,─
105,影視,廣播產業,合計,─,─,65.32,0.89
105,影視,動畫產業,核心內容產製,─,─,─,─
105,影視,動畫產業,國內發行平臺,─,─,─,─
106,影視,電視產業,電視節目製作,664,─,259.56,4.61
106,影視,電視產業,電視節目後製,─,─,─,─
106,影視,電視產業,電視節目發行,59,─,44.15,0.08
106,影視,電視產業,電視內容產業,723,"4,782",303.71,4.69
106,影視,電視產業,電視頻道,117,"14,169",535.84,2.76
106,影視,電視產業,電視平臺,66,"6,438",533.76,0.002
106,影視,電視產業,網路影音節目製作,12,─,4.87,0.25
106,影視,電視產業,數位發行與播送,2,─,37.47,1.98
106,影視,電影產業,電影製作業,1020,375,25.68,2.2
106,影視,電影產業,電影後製業,117,393,5.76,0.2
106,影視,電影產業,電影發行業,165,397,61.44,0.69
106,影視,電影產業,電影映演業,111,"3,647",128.43,0.11
106,影視,廣播產業,廣播節目製作及發行,250,─,─,─
106,影視,廣播產業,廣播電臺經營,171,"6,960",─,─
106,影視,廣播產業,網路廣播,6,─,─,─
106,影視,廣播產業,合計,─,─,64.8,0.64
106,影視,動畫產業,核心內容產製,─,─,23.01,10.03
106,影視,動畫產業,國內發行平臺,─,─,93.52,─
106,影視,動畫產業,合計,72,─,─,─
107,影視,電視產業,電視節目製作,663,─,288.56,3.77
107,影視,電視產業,電視節目後製,─,─,─,─
107,影視,電視產業,電視節目發行,60,─,46.82,4.13
