108-109年售票展演活動之售票金額概況,,,,
,,,,
樣本數 17,,,,
T,C,R,R,R
年(民國),,元新臺幣,元新臺幣,元新臺幣
,,0,0,0
年度,分類,最低票價,平均票價,最高票價
108,華語藝人,515,1320,2486
108,非華語藝人,964,2256,3914
109,華語藝人,562,1144,1807
109,非華語藝人,860,1188,1900
