"108年售票展演活動之售票金額概況","","",""
"","","",""
"樣本數 17","","",""
"N","R","R","R"
"","元新臺幣","元新臺幣","元新臺幣"
"","0","0","0"
"分類","最低票價","平均票價","最高票價"
"華語藝人","515","1320","2486"
"非華語藝人","964","2256","3914"
