是否舉辦電競賽事,,,
,,,
,,,
C,R,R,T
,家,家,年
,0,0,0
分類,線上賽事家數,線下賽事家數,年度
有舉辦,8,13,108
無舉辦,13,8,108
有舉辦,13,10,109
無舉辦,12,15,109
