"科技應用項目","",""
"","",""
"1. 108年度調查本題有效回應業者家數共67家。
2. 本題為複選題。
3. 其他應用科技包括AGV、AI、雲端遊戲、VR硬體科技、虛擬網紅、進階3D即時成像技術等。
4. 109年度調查已刪除此題項。","",""
"N","I","T"
"","家","年"
"","0","0"
"投入項目","家數","年度"
"3D動態捕捉","9","108"
"影像辨識系統","3","108"
"全球衛星定位系統","2","108"
"雲端運算","9","108"
"大數據/巨量資料","14","108"
"擴增實境虛擬實境","14","108"
"區塊鏈","7","108"
"5G","9","108"
"眼動追蹤","4","108"
"其他","7","108"
