"跨界狀況","",""
"","",""
"1. 108年度調查本題有效回應業者家數共63家。
2. 本題為複選題。
3. 其他跨界類型包括布袋戲、餐飲、旅遊、直播、政治人物、Line角色、虛擬商品。
4. 109年度調查已刪除此題項。","",""
"N","I","T"
"","家","年"
"","0","0"
"目前跨界類型","家數","年度"
"電影","3","108"
"電視劇","4","108"
"動漫畫","13","108"
"文學作品","10","108"
"音樂","5","108"
"戲劇","2","108"
"舞蹈","1","108"
"其他","10","108"
