108年PC開發成本比重,,,,,
,,,,,
109年度調查已刪除此題項。,,,,,
N,R,R,R,R,R
,%,%,%,%,%
,0,0,0,,
廠商別,企劃/腳本,程式/引擎,美術/動畫,音效/音樂,其他
整體,19.2,31.1,35.8,10.2,3.8
"資本額未滿5,000萬",17.2,32.2,33.9,11.1,5.6
"資本額5,000萬以上",23.5,28.5,40,8,0
