"手遊開發成本比重","","","","","",""
"","","","","","",""
"1. 主機遊戲開發家數較少，不再進行資本額拆分。
2. 109年度調查已刪除此題項。","","","","","",""
"N","R","R","R","R","R","T"
"","%","%","%","%","%","年"
"","0","0","0","","","0"
"廠商別","企劃/腳本","程式/引擎","美術/動畫","音效/音樂","其他","年度"
"整體","24.9","31.4","34.3","6.9","2.5","108"
"資本額未滿5,000萬","23.5","32.5","32.5","8","3.5","108"
"資本額5,000萬以上","28.5","28.5","38.8","4.3","0","108"
