"國片導演兼任編劇情形",""
"",""
"盤點電影之部數，排除重複上映、跨年度上映之電影片。
此部分比例之計算標準為該國片導演兼任編劇且無其他共同編劇",""
"T","R"
"年(民國)","%"
"","0"
"年度","比重"
"105","35.42"
"106","23.53"
"107","30.43"
"108","17.54"
"109","26.09"
