"108","電影後製特效業","動畫內容代工收入","10.280000000000001"
"108","電影後製特效業","電影版權銷售收入(含電視、DVD、航空等，不含數位新媒體)","0.31"
"108","電影後製特效業","其他內容製作收入","22.88"
"108","電影後製特效業","影視相關設備器材或場地租賃收入","5.74"
"108","電影後製特效業","其他抽入","11.23"
"108","電影後製特效業","電影衍生授權收入","0.31"
"108","電影後製特效業","電影發行及代理發行收入","1.8399999999999999"
"105","電影映演業","電影放映收入","89.47"
"105","電影映演業","廣告收入","0.6"
"105","電影映演業","食物飲料販售","6.81"
"105","電影映演業","衍生商品販售","0.35000000000000003"
"105","電影映演業","其他電影商務收入","0.49"
"105","電影映演業","其他收入","2.29"
"106","電影映演業","電影放映收入","93.47"
"106","電影映演業","廣告收入","0.49"
"106","電影映演業","食物飲料販售","5.37"
"106","電影映演業","衍生商品販售","0.19"
"106","電影映演業","其他電影商務收入","0.36"
"106","電影映演業","其他收入","0.13"
"107","電影映演業","電影放映收入","94.66"
"107","電影映演業","廣告收入","0.24"
"107","電影映演業","食物飲料販售","4.9799999999999995"
"107","電影映演業","衍生商品販售","0.02"
"107","電影映演業","其他電影商務收入","0.09"
"107","電影映演業","其他收入","0"
"108","電影映演業","電影放映收入","90.02"
"108","電影映演業","廣告收入","0.64"
"108","電影映演業","食物飲料販售","8.41"
"108","電影映演業","衍生商品販售","0.33999999999999997"
"108","電影映演業","其他電影商務收入","0.09"
"108","電影映演業","其他收入","0.51"
"106","電影映演業","衍生商品販售","0.19"
"106","電影映演業","其他電影商務收入","0.36"
"106","電影映演業","其他收入","0.13"
"107","電影映演業","電影放映收入","94.66"
"107","電影映演業","廣告收入","0.24"
"107","電影映演業","食物飲料販售","4.9799999999999995"
"107","電影映演業","衍生商品販售","0.02"
"107","電影映演業","其他電影商務收入","0.09"
"107","電影映演業","其他收入","0"
"108","電影映演業","電影放映收入","90.02"
"108","電影映演業","廣告收入","0.64"
"108","電影映演業","食物飲料販售","8.41"
"108","電影映演業","衍生商品販售","0.33999999999999997"
"108","電影映演業","其他電影商務收入","0.09"
"108","電影映演業","其他收入","0.51"
