"全台電影票房","","","","","","",""
"","","","","","","",""
"1. 上映部數係含當年度上映影片、跨年度上映影片、重新上映影片;已扣除影展電影片。
2. 電影片映演業依電影法第13條規定，提供予文化部影視局之電影片票房資訊。","(110年資料有問題,待改正後更新)","","","","","",""
"T","R","R","R","R","R","R","R"
"年(民國)","億元新臺幣","萬人次","億元新臺幣 ","%","部","部","%"
"","0","0","0","0","0","0","0"
"年度","總票房","觀影人次","國片票房","國片票房占比","總發行部數","國片發行部數","國片發行部數比重"
"106","105.7","4543","7.29","6.9","759","63","8.3"
"107","107.8","4623","8.1","7.5200000000000005","886","64","7.22"
"108","101.9","4319.9","7.03","6.9","827","77","9.31"
"109","51.59","2183","8.77","17.02","960","71","7.3999999999999995"
