產業,性別,總計,民意代表、主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農、林、漁、牧業生產人員,技藝有關工作人員、機械設備操作及勞力工
出版業,男性,17238,1905,8795,3175,2798,6,0,559
出版業,女性,21205,896,9002,5035,5708,0,0,563
出版業,合計,38442,2801,17797,8210,8506,6,0,1122
影片及電視節目業；聲音錄製及音樂發行業,男性,10252,524,3889,5178,342,138,0,181
影片及電視節目業；聲音錄製及音樂發行業,女性,9763,340,3829,2375,2520,615,0,84
影片及電視節目業；聲音錄製及音樂發行業,合計,20015,864,7718,7553,2862,753,0,265
廣播、電視節目編排及傳播業,男性,10140,762,4464,3172,648,24,0,1072
廣播、電視節目編排及傳播業,女性,11234,332,4699,3477,2693,33,0,0
廣播、電視節目編排及傳播業,合計,21374,1094,9162,6650,3340,57,0,1072
廣告業及市場研究業,男性,16415,670,5609,4940,1788,0,0,3408
廣告業及市場研究業,女性,25557,1340,10988,7745,5078,7,0,399
廣告業及市場研究業,合計,41973,2010,16598,12685,6866,7,0,3807
專門設計業,男性,31030,378,25174,4470,874,0,0,134
專門設計業,女性,46065,1078,32006,8134,4631,0,0,215
專門設計業,合計,77095,1456,57180,12604,5505,0,0,350
創作及藝術表演業,男性,13052,448,8626,2938,104,0,0,936
創作及藝術表演業,女性,11842,287,7663,2461,1195,104,0,133
創作及藝術表演業,合計,24894,735,16288,5399,1299,104,0,1069
運動、娛樂及休閒服務業,男性,40859,1312,177,16126,6464,9194,71,7516
運動、娛樂及休閒服務業,女性,34101,280,545,7718,13764,6137,172,5484
運動、娛樂及休閒服務業,合計,74960,1592,723,23844,20227,15332,243,13000
總就業人數,男性,138986,5998,56733,39999,13017,9362,71,13806
總就業人數,女性,159767,4554,68733,36945,35589,6897,172,6878
總就業人數,合計,298754,10552,125466,76945,48605,16259,243,20684
