產業,性別,總計,民意代表、主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農、林、漁、牧業生產人員,技藝有關工作人員、機械設備操作及勞力工
出版業,男性,18061,1615,9014,3385,2660,132,0,1254
出版業,女性,22380,902,10856,4369,5314,293,0,646
出版業,合計,40441,2524,19919,7773,7994,426,0,1905
專門設計業,男性,29751,512,23611,4502,848,0,0,278
專門設計業,女性,40671,735,27389,7683,4610,0,0,254
專門設計業,合計,70422,1229,50276,12012,5380,0,0,525
創作及藝術表演業,男性,10151,158,6470,2127,430,337,0,629
創作及藝術表演業,女性,10003,11,6324,2240,886,342,0,200
創作及藝術表演業,合計,20154,186,14063,4801,1447,746,0,911
廣播、電視節目編排及傳播業,男性,9626,503,3165,4726,449,0,0,783
廣播、電視節目編排及傳播業,女性,9255,259,3266,3720,2010,0,0,0
廣播、電視節目編排及傳播業,合計,18881,762,6431,8446,2459,0,0,783
運動、娛樂及休閒服務業,男性,36329,1976,685,11892,5498,8749,265,7263
運動、娛樂及休閒服務業,女性,30971,451,822,5788,12344,5994,100,5472
運動、娛樂及休閒服務業,合計,67300,2589,1608,18862,19035,15729,390,13587
廣告業及市場研究業,男性,13684,1019,5227,4187,1122,35,0,2094
廣告業及市場研究業,女性,22716,2770,8004,5655,5504,147,0,636
廣告業及市場研究業,合計,36400,3810,13304,9896,6662,183,0,2745
影片及電視節目業；聲音錄製及音樂發行業,男性,10307,702,4720,4372,275,61,0,178
影片及電視節目業；聲音錄製及音樂發行業,女性,9191,181,3183,3817,1522,488,0,0
影片及電視節目業；聲音錄製及音樂發行業,合計,19498,887,7944,8231,1806,551,0,179
總就業人數,男性,127909,6485,52893,35191,11282,9314,265,12479
總就業人數,女性,145187,5309,59843,33273,32190,7263,100,7209
總就業人數,合計,273096,11987,113545,70021,44783,17635,390,20635
