產業,性別,總計,民意代表、主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農、林、漁、牧業生產人員,技藝有關工作人員、機械設備操作及勞力工
出版業,男性,17227,1296,8474,4491,2382,69,-,515
出版業,女性,21482,1133,9025,4361,6097,268,-,599
出版業,合計,38709,2429,17499,8852,8480,337,-,1113
影片及電視節目業；聲音錄製及音樂發行業,男性,9961,482,4534,4110,210,267,-,358
影片及電視節目業；聲音錄製及音樂發行業,女性,9197,150,3542,3099,1236,1170,-,-
影片及電視節目業；聲音錄製及音樂發行業,合計,19158,632,8076,7209,1446,1437,-,358
廣播、電視節目編排及傳播業,男性,10092,668,3803,4183,603,24,-,811
廣播、電視節目編排及傳播業,女性,12376,276,5192,3755,2575,577,-,-
廣播、電視節目編排及傳播業,合計,22468,945,8995,7938,3179,601,-,811
廣告業及市場研究業,男性,16782,1512,5336,5361,2131,141,-,2300
廣告業及市場研究業,女性,22455,2202,9392,5022,5648,87,-,103
廣告業及市場研究業,合計,39237,3714,14728,10383,7780,228,-,2404
專門設計業,男性,31900,506,25547,4908,854,-,-,86
專門設計業,女性,44512,906,29846,8645,4957,-,-,158
專門設計業,合計,76412,1412,55393,13553,5812,-,-,244
創作及藝術表演業,男性,13112,350,7461,3848,217,72,-,1165
創作及藝術表演業,女性,13197,225,7556,2983,1783,410,-,241
創作及藝術表演業,合計,26309,574,15017,6831,2000,482,-,1406
運動、娛樂及休閒服務業,男性,37498,1212,480,15245,5673,8070,219,6599
運動、娛樂及休閒服務業,女性,30004,649,865,7598,9744,6421,95,4632
運動、娛樂及休閒服務業,合計,67502,1861,1345,22843,15417,14491,313,11231
總就業人數,男性,136572,6025,55635,42146,12071,8642,219,11834
總就業人數,女性,153223,5542,65417,35463,32041,8933,95,5732
總就業人數,合計,289795,11567,121052,77609,44112,17575,313,17566
